报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,69.64,1.2038,57.85,0.51286,-42.24%,-650.21万,-301.41%,6.48,135.7875,,8.9275,PE；PB,3.31亿,2.20亿,-12.68%,7.80亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,广东金晟信康投资中心(有限合伙)
2026-03-31,69.64,1.2038,57.85,0.51286,-42.24%,-650.21万,-301.41%,6.48,33.9469,,8.9275,PE；PB,3.31亿,2.20亿,-12.68%,7.80亿,,,广东金晟信康投资中心(有限合伙)
2025,35.127,1.2038,29.18,5.51,-5.97%,1486.34万,223.91%,6.48,6.3751,243.1667,4.5031,PE；PB,3.26亿,2.27亿,2.74%,7.81亿,,,广东金晟信康投资中心(有限合伙)
2024,27.278,1.2038,22.66,5.86,-21.74%,-1199.55万,-120.91%,6.13,4.6549,,3.6966,PE；PB,2.67亿,2.21亿,-1.79%,7.43亿,0.3,,广东金晟信康投资中心(有限合伙)
2023,29.096,1.2038,24.17,7.49,71.37%,5737.41万,150.78%,6.49,3.8846,50.3542,3.7242,PE；PB,3.20亿,2.69亿,7.81%,7.85亿,,,广东金晟信康投资中心(有限合伙)
2022,23.281,1.2038,19.34,4.37,14.51%,2287.80万,33.68%,5.94,5.3275,101.7895,3.2559,PE；PB,3.60亿,2.12亿,5.25%,7.18亿,0.1,,广东金晟信康投资中心(有限合伙)
2021,18.413,1.054,17.47,3.82,22.45%,1711.36万,-15.78%,4.31,4.8202,109.1875,4.0534,PE；PB,1.51亿,2.02亿,4.48%,4.56亿,0.3010584,,广东金晟信康投资中心(有限合伙)
2020,14.751,1.0635,13.87,3.12,-20.04%,2032.12万,-75.82%,4.39,4.7279,73.0,3.1595,PE；PB,1.71亿,2.18亿,6.54%,4.63亿,0.22999999999999998,,广东金晟信康投资中心(有限合伙)
2019,16.811,1.054,15.95,3.9,14.02%,8404.90万,0.53%,4.65,4.3105,20.1899,3.4301,PE；PB,2.02亿,2.24亿,21.57%,4.95亿,,,广东金晟信康投资中心(有限合伙)
2018,7.146,0.4216,16.95,3.42,36.76%,8360.65万,34.31%,3.87,2.0895,21.4476,4.3798,PE；PB,9948.06万,1.46亿,24.47%,4.08亿,1.5,,广东金晟信康投资中心(有限合伙)
2017,,,26.86,2.5,36.51%,6224.79万,52.47%,9.1,,39.5,2.9516,PE；PB,4960.88万,1.31亿,24.91%,3.84亿,,,广东金晟信康投资中心(有限合伙)
2016,,,,1.83,23.30%,4082.61万,23.36%,4.13,,,,PE；PB,4383.30万,7383.24万,22.30%,1.31亿,,,广东金晟信康投资中心(有限合伙)
2015,,,,1.48,16.77%,3309.48万,29.75%,2.83,,,,PE；PB,6267.57万,3500.21万,22.29%,8940.60万,,,广东金晟信康投资中心(有限合伙)
2014,,,,1.27,13.52%,2550.62万,-10.30%,9.59,,,,PE；PB,3639.46万,3565.81万,20.06%,5330.30万,,,广东金晟信康投资中心(有限合伙)
2013,,,,1.12,False,2843.60万,False,18.97,,,,PE；PB,2857.71万,5056.19万,25.39%,5691.70万,,,广东金晟信康投资中心(有限合伙)
