报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,60.929,1.728,35.26,0.22498,-52.88%,-83.86万,-190.89%,16.01,270.8196,,2.2024,PE；PB,9.79亿,2.38亿,-4.06%,27.65亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,宁波尤埃投资中心(有限合伙)
2026-03-31,60.929,1.728,35.26,0.22498,-52.88%,-83.86万,-190.89%,16.01,67.7049,,2.2024,PE；PB,9.79亿,2.38亿,-4.06%,27.65亿,,,宁波尤埃投资中心(有限合伙)
2025,46.31,1.728,26.8,1.7,-20.70%,-8556.59万,61.16%,16.01,27.2412,,1.674,PE；PB,13.86亿,2.39亿,-50.64%,27.66亿,,,宁波尤埃投资中心(有限合伙)
2024,21.645,1.28,16.91,2.14,-43.61%,-2.20亿,-2899.63%,16.51,10.1145,,1.0242,PE；PB,14.50亿,3.24亿,-103.47%,28.53亿,0.06,,宁波尤埃投资中心(有限合伙)
2023,28.966,1.28,22.63,3.79,-25.33%,786.85万,-62.19%,24.07,7.6427,497.3626,0.9402,PE；PB,16.64亿,5.52亿,1.15%,30.82亿,0.15,,宁波尤埃投资中心(有限合伙)
2022,16.384,0.8,20.48,5.08,-46.81%,2080.79万,-93.16%,24.16,3.2252,125.9533,0.8477,PE；PB,16.05亿,5.64亿,3.94%,30.96亿,1.35,,宁波尤埃投资中心(有限合伙)
2021,29.216,0.8,36.52,9.55,3.22%,3.04亿,4.01%,39.75,3.0593,14.1004,0.9187,PE；PB,23.52亿,6.55亿,31.76%,31.83亿,1.2,,宁波尤埃投资中心(有限合伙)
2020,,,,9.26,8.34%,2.92亿,10.24%,11.81,,,,PE；PB,3.73亿,4.50亿,31.68%,7.12亿,,,宁波尤埃投资中心(有限合伙)
2019,,,,8.54,17.10%,2.65亿,106.70%,7.94,,,,PE；PB,2.82亿,2.18亿,31.14%,4.78亿,,,宁波尤埃投资中心(有限合伙)
2018,,,,7.3,49.98%,1.28亿,210.84%,4.32,,,,PE；PB,1.68亿,2463.01万,17.64%,2.60亿,,,宁波尤埃投资中心(有限合伙)
2017,,,,4.86,50.52%,4126.45万,-47.23%,6.93,,,,PE；PB,948.07万,3460.24万,8.54%,1.74亿,,,宁波尤埃投资中心(有限合伙)
2016,,,,3.23,192.12%,7819.97万,294.20%,5.18,,,,PE；PB,2306.75万,7201.24万,16.16%,1.45亿,,,宁波尤埃投资中心(有限合伙)
2015,,,,1.33,1.32%,1983.77万,31.51%,2.59,,,,PE；PB,1087.26万,761.50万,14.97%,5703.82万,,,宁波尤埃投资中心(有限合伙)
2014,,,,1.31,False,1508.43万,False,10.89,,,,PE；PB,65.45万,2517.96万,11.53%,3265.68万,,,宁波尤埃投资中心(有限合伙)
