报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,21.746,1.6132,13.48,0.595359,2.76%,-552.94万,80.03%,7.7,36.5259,,1.7506,PE；PB,8.28亿,4.57亿,-9.29%,12.41亿,,,徐先林
2026-03-31,21.746,1.6132,13.48,0.595359,2.76%,-552.94万,80.03%,7.7,9.1315,,1.7506,PE；PB,8.28亿,4.57亿,-9.29%,12.41亿,,,徐先林
2025,25.654,1.6288,15.75,3.52,-19.30%,2432.72万,-21.49%,7.73,7.2881,105.0,2.0375,PE；PB,9.22亿,4.62亿,6.91%,12.47亿,0.5,,徐先林
2024,19.594,1.6438,11.92,4.36,-35.92%,3098.48万,-62.67%,8.01,4.494,62.7368,1.4881,PE；PB,10.33亿,5.19亿,7.10%,13.03亿,0.5,,徐先林
2023,20.195,1.6459,12.27,6.81,-22.28%,8299.97万,-44.54%,8.27,2.9655,24.0588,1.4837,PE；PB,10.85亿,5.69亿,12.19%,13.59亿,0.625,,徐先林
2022,10.386,1.0293,10.09,8.76,-14.61%,1.50亿,-12.72%,8.31,1.1856,10.8495,1.2142,PE；PB,11.17亿,5.95亿,17.06%,13.67亿,0.6,,徐先林
2021,11.62,1.0,11.62,10.26,6.87%,1.71亿,23.89%,12.32,1.1326,10.8598,0.9432,PE；PB,11.52亿,5.22亿,16.71%,12.68亿,0.5,,徐先林
2020,12.67,1.0,12.67,9.6,3.90%,1.38亿,-2.97%,11.44,1.3198,9.1812,1.1075,PE；PB,12.27亿,4.02亿,14.41%,11.44亿,0.35,,徐先林
2019,19.02,1.0,19.02,9.24,9.81%,1.43亿,19.33%,10.4,2.0584,10.2811,1.8288,PE；PB,10.90亿,2.98亿,15.43%,10.40亿,,,徐先林
2018,,,,8.42,20.77%,1.20亿,52.14%,5.56,,,,PE；PB,2.98亿,2.01亿,14.20%,4.17亿,,,徐先林
2017,,,,6.97,9.35%,7857.00万,11.20%,4.36,,,,PE；PB,3.83亿,1.23亿,11.27%,3.27亿,,,徐先林
2016,,,,6.37,1.82%,7065.64万,-12.40%,3.62,,,,PE；PB,2.89亿,7476.42万,11.09%,2.71亿,,,徐先林
2015,,,,6.26,-2.68%,8066.11万,37.88%,4.94,,,,PE；PB,2.38亿,1.70亿,12.89%,3.71亿,,,徐先林
2014,,,,6.43,3.60%,5850.21万,-28.98%,3.86,,,,PE；PB,1.71亿,9696.49万,9.10%,2.90亿,,,徐先林
2013,,,,6.21,33.41%,8237.81万,65.94%,3.68,,,,PE；PB,1.76亿,8923.54万,13.27%,2.76亿,,,徐先林
2012,,,,4.65,28.26%,4964.25万,36.59%,2.99,,,,PE；PB,1.34亿,4505.02万,10.67%,2.24亿,,,徐先林
2011,,,,3.63,False,3634.54万,False,2.32,,,,PE；PB,1.04亿,45.82万,10.02%,1.74亿,,,徐先林
