报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,79.759,4.33,18.42,5.5337,10.81,-11.01%,7884.81万,-71.87%,9.89,23.32亿,8.98亿,7.29%,42.83亿,6.59亿
2024,81.794,4.33,18.89,4.3952,18.61,-15.66%,3.40亿,-20.01%,10.03,29.14亿,9.62亿,18.25%,43.44亿,5.33亿
2023,113.706,4.33,26.26,5.1544,22.06,12.09%,4.25亿,7.03%,9.65,28.17亿,8.29亿,19.24%,41.77亿,5.51亿
2022,,,,,19.68,26.74%,3.97亿,6.86%,4.42,4.61亿,4.46亿,20.15%,15.93亿,4.76亿
2021,,,,,15.53,33.58%,3.71亿,23.13%,3.16,1.92亿,8904.76万,23.90%,11.39亿,3.94亿
2020,,,,,11.63,19.11%,3.01亿,45.07%,2.83,3.33万,8.33亿,25.93%,10.21亿,3.99亿
2019,,,,,9.76,False,2.08亿,False,2.17,3700.00,5.99亿,21.29%,7.80亿,4.17亿
