报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2026-03-31,2073.699,183.5132,11.3,2.144,241.8,8.41%,105.82亿,8.20%,14.40,750.03亿,45.18%,3561.10亿
2025,1849.813,183.5132,10.08,2.1034,879.42,8.82%,345.01亿,8.35%,14.06,769.05亿,41.26%,3495.82亿
2024,1662.63,183.5132,9.06,2.0573,808.15,8.78%,318.43亿,10.76%,12.73,667.30亿,41.21%,3136.58亿
2023,1062.541,183.5132,5.79,1.4302,742.93,5.28%,287.50亿,13.25%,11.47,637.99亿,40.40%,2591.16亿
2022,869.932,147.6965,5.89,1.2327,705.7,10.66%,253.86亿,28.90%,11.42,538.60亿,37.34%,2154.31亿
2021,654.295,147.6963,4.43,1.026,637.71,22.58%,196.94亿,30.72%,10.31,447.27亿,32.00%,1980.56亿
2020,587.83,147.6961,3.98,1.1299,520.26,15.68%,150.66亿,3.06%,9.35,392.60亿,30.02%,1820.79亿
2019,550.673,115.445,4.77,1.2244,449.74,27.68%,146.19亿,11.89%,9.53,352.66亿,33.26%,1364.36亿
2018,432.917,115.4445,3.75,1.229,352.24,4.09%,130.65亿,10.02%,8.89,345.97亿,37.65%,1245.05亿
2017,,,4.48,,338.39,7.58%,118.75亿,11.92%,7.90,293.89亿,35.51%,1128.28亿
2016,,,5.76,,314.56,11.81%,106.11亿,11.72%,7.16,228.79亿,33.92%,842.07亿
2015,,,,,280.47,10.74%,94.97亿,9.36%,6.27,192.51亿,33.89%,655.35亿
2014,,,,,253.26,13.44%,86.85亿,6.10%,5.38,163.39亿,34.35%,560.65亿
2013,,,,,223.26,12.51%,81.86亿,16.28%,4.60,135.06亿,36.73%,478.95亿
2012,,,,,198.42,20.08%,70.39亿,20.67%,3.75,86.09亿,35.52%,342.69亿
2011,,,,,165.24,44.35%,58.34亿,39.38%,3.06,71.59亿,35.31%,278.12亿
2010,,,,,114.48,35.83%,41.85亿,59.67%,False,37.32亿,36.56%,226.92亿
