报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2026-03-31,1843.469,590.8555,3.12,1.4488,318.11,-3.85%,114.59亿,-8.06%,8.54,2440.93亿,36.22%,5770.14亿
2025,1997.092,590.8555,3.38,1.5811,1263.11,-6.72%,388.26亿,-6.88%,8.46,2404.51亿,30.99%,6074.42亿
2024,2109.354,590.8555,3.57,1.5577,1354.15,-7.05%,416.96亿,2.22%,8.17,2189.17亿,30.95%,5902.31亿
2023,1500.773,590.8555,2.54,1.0301,1456.85,-3.92%,407.92亿,-8.96%,7.57,1992.82亿,28.20%,5547.85亿
2022,1361.605,540.3193,2.52,0.898,1516.32,-0.73%,448.07亿,3.23%,7.46,1792.99亿,29.70%,5100.13亿
2021,1383.217,540.3192,2.56,0.9055,1527.51,7.14%,434.07亿,14.73%,6.99,1559.68亿,28.57%,4843.66亿
2020,1566.925,540.3191,2.9,1.099,1425.72,7.28%,378.35亿,1.29%,6.45,1366.02亿,26.60%,4550.40亿
2019,1585.177,524.8932,3.02,1.1935,1328.12,20.47%,373.54亿,10.98%,6.10,1204.94亿,28.19%,3860.54亿
2018,1275.489,524.8927,2.43,1.157,1102.44,20.03%,336.59亿,6.70%,5.55,1002.96亿,30.59%,3224.73亿
2017,,,2.53,,918.5,-2.33%,315.45亿,4.01%,5.24,921.64亿,34.42%,3054.36亿
2016,,,2.39,,940.37,0.94%,303.29亿,2.71%,4.72,705.57亿,32.31%,2510.68亿
2015,,,2.46,,931.59,18.63%,295.28亿,2.23%,4.36,643.20亿,31.75%,2240.47亿
2014,,,2.74,,785.31,20.25%,288.83亿,8.12%,3.83,527.56亿,36.84%,1794.83亿
2013,,,1.39,,653.06,9.00%,267.15亿,13.24%,3.30,387.95亿,40.97%,1530.52亿
2012,,,1.57,,599.16,30.05%,235.91亿,30.57%,2.82,188.62亿,39.42%,1143.22亿
2011,,,1.42,,460.72,29.67%,180.68亿,41.26%,2.38,171.69亿,39.25%,961.50亿
2010,,,1.89,,355.3,46.46%,127.90亿,67.34%,2.01,69.63亿,36.01%,814.63亿
