报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2026-03-31,168.891,55.5562,3.04,1.5128,27.91,-8.69%,12.48亿,5.60%,6.90,153.35亿,44.71%,443.25亿
2025,172.224,55.5562,3.1,1.7176,100.27,-9.12%,31.28亿,9.51%,6.68,141.83亿,31.31%,450.91亿
2024,163.891,55.5562,2.95,1.4855,110.33,6.85%,28.56亿,11.24%,6.44,124.40亿,25.83%,411.11亿
2023,135.557,55.5562,2.44,1.3129,103.25,3.84%,25.68亿,10.82%,5.96,113.20亿,25.21%,390.49亿
2022,150.001,55.5561,2.7,1.5085,99.44,-3.43%,23.17亿,-24.41%,5.50,96.18亿,23.60%,364.83亿
2021,193.89,55.556,3.49,1.883,102.97,7.58%,30.66亿,3.58%,5.25,92.26亿,30.03%,350.50亿
2020,246.667,55.5556,4.44,2.577,95.72,9.65%,29.60亿,4.77%,4.83,82.29亿,31.11%,297.02亿
2019,303.334,55.5556,5.46,3.475,87.29,16.98%,28.25亿,16.78%,4.39,71.60亿,32.62%,252.62亿
2018,,,,,74.62,22.75%,24.19亿,13.23%,4.10,58.28亿,32.75%,213.43亿
2017,,,,,60.79,4.27%,21.36亿,10.89%,3.42,44.23亿,35.21%,179.19亿
2016,,,,,58.3,1.38%,19.27亿,3.38%,2.99,34.83亿,32.65%,157.48亿
2015,,,,,57.51,2.72%,18.64亿,7.64%,2.70,28.41亿,32.41%,134.89亿
2014,,,,,55.99,12.33%,17.31亿,4.92%,2.41,21.11亿,30.92%,120.74亿
2013,,,,,49.84,17.60%,16.50亿,38.87%,2.11,19.22亿,33.11%,105.35亿
2012,,,,,42.38,22.42%,11.88亿,110.18%,False,5.19亿,28.04%,89.68亿
2011,,,,,34.62,False,5.65亿,False,False,2.29亿,16.33%,32.14亿
