报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2026-03-31,100.321,20.1854,4.97,2.1885,11.46,1.22%,4.62亿,5.05%,9.59,38.29亿,40.32%,193.80亿
2025,101.936,20.1854,5.05,2.4196,42.13,0.92%,20.43亿,5.05%,9.35,33.67亿,48.51%,188.91亿
2024,84.228,18.3504,4.59,2.0179,41.74,3.17%,19.45亿,11.62%,9.83,25.97亿,46.61%,180.56亿
2023,62.747,18.0307,3.48,1.5508,40.46,0.21%,17.43亿,16.04%,8.75,22.25亿,43.14%,157.97亿
2022,67.976,18.0307,3.77,1.6838,40.37,5.30%,15.02亿,29.42%,7.88,18.13亿,37.37%,143.28亿
2021,68.336,18.0307,3.79,1.7824,38.34,2.17%,11.60亿,21.96%,7.29,14.41亿,30.29%,132.68亿
2020,67.435,18.0307,3.74,1.7968,37.53,6.59%,9.51亿,4.19%,6.67,12.76亿,25.55%,121.40亿
2019,69.418,18.0307,3.85,1.9715,35.21,11.79%,9.13亿,13.84%,6.38,12.02亿,25.99%,116.25亿
2018,57.634,14.4808,3.98,1.8297,31.5,15.54%,8.02亿,9.72%,6.30,13.43亿,25.72%,95.21亿
2017,,,5.25,,27.26,18.22%,7.31亿,12.43%,5.78,12.27亿,27.11%,84.73亿
2016,,,7.56,,23.06,-2.64%,6.50亿,7.58%,6.98,9.35亿,28.58%,78.79亿
2015,,,,,23.68,-2.53%,6.04亿,-21.27%,6.55,9.56亿,25.82%,66.60亿
2014,,,,,24.3,6.40%,7.68亿,-20.40%,6.00,9.61亿,31.97%,61.06亿
2013,,,,,22.84,8.45%,9.65亿,11.67%,5.42,10.99亿,42.60%,55.22亿
2012,,,,,21.06,23.11%,8.64亿,13.42%,4.73,8.66亿,41.37%,48.20亿
2011,,,,,17.1,40.33%,7.62亿,40.41%,4.25,7.97亿,44.89%,43.37亿
2010,,,,,12.19,23.15%,5.42亿,48.39%,False,6.31亿,44.64%,36.37亿
