报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2026-03-31,1096.539,159.1493,6.89,1.1134,246.22,35.33%,49.87亿,-1.50%,20.19,1646.58亿,20.79%,4055.56亿
2025,1075.849,159.1493,6.76,1.1705,919.14,-5.39%,272.00亿,-1.72%,19.84,1597.06亿,30.19%,3998.00亿
2024,1192.028,159.1493,7.49,1.227,971.46,4.23%,276.76亿,4.98%,18.97,1439.08亿,29.02%,3656.84亿
2023,787.789,159.1493,4.95,0.8452,932.07,-0.64%,263.63亿,5.30%,17.50,1298.39亿,28.80%,3217.62亿
2022,679.568,159.1493,4.27,0.7244,938.08,-2.15%,250.35亿,6.37%,16.37,1163.60亿,27.17%,3233.22亿
2021,664.728,153.8722,4.32,0.6934,958.7,0.59%,235.35亿,10.62%,15.49,1054.31亿,24.93%,3007.02亿
2020,706.273,153.8722,4.59,0.741,953.09,12.48%,212.75亿,-2.88%,14.34,962.38亿,22.63%,2826.55亿
2019,832.449,153.8722,5.41,0.9824,847.34,17.32%,219.05亿,5.04%,13.49,874.86亿,26.10%,2693.37亿
2018,652.675,128.2269,5.09,0.9036,722.27,8.80%,208.54亿,5.22%,12.81,824.36亿,29.06%,2187.15亿
2017,,,6.07,,663.84,3.70%,198.19亿,0.72%,11.55,680.23亿,30.03%,1694.98亿
2016,,,6.0,,640.15,8.80%,196.77亿,4.20%,12.37,583.60亿,30.86%,1529.73亿
2015,,,6.48,,588.44,7.21%,188.83亿,5.02%,11.01,475.74亿,32.21%,1183.88亿
2014,,,5.82,,548.85,21.38%,179.81亿,15.96%,11.39,386.95亿,32.84%,1020.99亿
2013,,,3.51,,452.19,13.68%,155.06亿,21.17%,9.59,302.88亿,34.30%,860.19亿
2012,,,3.1,,397.78,18.58%,127.97亿,38.77%,10.90,180.01亿,32.17%,747.23亿
2011,,,3.28,,335.44,37.03%,92.22亿,53.97%,9.33,113.53亿,27.49%,639.30亿
2010,,,3.13,,244.79,42.90%,59.90亿,59.29%,7.11,54.35亿,24.47%,354.96亿
