报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2026-03-31,3794.501,211.6286,17.93,1.722,550.9,-1.07%,238.32亿,0.15%,39.34,5783.34亿,43.34%,9245.29亿
2025,4327.805,211.6286,20.45,2.0343,2127.41,0.24%,774.69亿,0.34%,38.83,5666.12亿,36.60%,9136.46亿
2024,3691.595,207.7431,17.77,1.7395,2122.26,0.66%,772.05亿,0.12%,36.88,5258.31亿,36.51%,8936.11亿
2023,2935.407,207.7429,14.13,1.3923,2108.31,-5.19%,771.16亿,-15.61%,34.20,4796.90亿,36.83%,8077.19亿
2022,2962.407,207.7424,14.26,1.3322,2223.74,0.51%,913.77亿,10.52%,31.79,4426.27亿,41.56%,7572.98亿
2021,3047.574,207.7419,14.67,1.3775,2212.36,8.91%,826.80亿,24.10%,28.80,3879.76亿,37.89%,6942.98亿
2020,3207.535,207.7419,15.44,1.579,2031.37,12.04%,666.26亿,1.15%,25.50,3366.26亿,33.32%,6248.03亿
2019,2908.387,207.7419,14.0,1.6041,1813.08,14.54%,658.68亿,8.66%,23.37,2973.89亿,36.79%,5496.52亿
2018,2112.735,207.7419,10.17,1.3347,1582.87,13.08%,606.20亿,5.98%,21.18,2578.01亿,38.69%,4725.84亿
2017,,,11.1,,1399.75,-10.89%,572.00亿,6.22%,18.82,2149.77亿,41.25%,4227.52亿
2016,,,10.15,,1570.87,1.76%,538.50亿,7.26%,17.02,1735.24亿,34.59%,3544.10亿
2015,,,10.33,,1543.48,23.58%,502.07亿,6.51%,15.10,1416.56亿,32.82%,3173.77亿
2014,,,9.7,,1248.98,14.28%,471.38亿,14.38%,12.86,1196.07亿,38.06%,2610.96亿
2013,,,5.69,,1092.87,24.73%,412.11亿,18.70%,10.49,923.68亿,37.98%,2011.71亿
2012,,,5.99,,876.19,46.35%,347.18亿,36.12%,13.35,712.83亿,39.86%,1706.35亿
2011,,,4.38,,598.7,37.77%,255.05亿,37.71%,10.68,564.27亿,42.75%,1160.78亿
2010,,,4.6,,434.56,37.18%,185.21亿,39.44%,15.35,400.39亿,42.62%,919.95亿
