报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2026-03-31,393.23,61.5384,6.39,2.7483,35.77,13.02%,15.64亿,14.01%,8.22,137.14亿,43.80%,527.37亿
2025,345.846,61.5384,5.62,2.633,131.35,5.12%,57.13亿,14.58%,7.96,122.71亿,43.49%,536.64亿
2024,253.354,48.35,5.24,2.0275,124.96,4.55%,49.86亿,17.77%,8.27,102.96亿,39.57%,483.35亿
2023,164.785,47.0813,3.5,1.3787,119.52,8.03%,42.34亿,18.02%,7.09,90.56亿,35.72%,418.23亿
2022,163.078,45.8083,3.56,1.474,110.64,8.82%,35.87亿,18.17%,6.34,74.86亿,32.82%,355.89亿
2021,209.802,45.8083,4.58,2.0636,101.67,28.11%,30.36亿,20.52%,5.86,62.10亿,30.22%,326.05亿
2020,,,,,79.36,7.14%,25.19亿,7.74%,5.36,53.08亿,32.06%,272.99亿
2019,,,,,74.07,15.69%,23.38亿,8.61%,4.96,47.10亿,31.82%,226.56亿
2018,,,,,64.02,18.00%,21.52亿,6.83%,4.54,38.83亿,33.88%,208.77亿
2017,,,,,54.26,5.27%,20.15亿,22.71%,3.95,30.29亿,37.34%,184.35亿
2016,,,,,51.54,21.79%,16.42亿,38.33%,3.80,21.25亿,32.09%,128.79亿
2015,,,,,42.32,19.84%,11.87亿,8.89%,3.51,17.41亿,28.27%,100.52亿
2014,,,,,35.31,24.62%,10.90亿,8.03%,3.05,14.13亿,31.01%,72.24亿
2013,,,,,28.34,15.11%,10.09亿,17.13%,2.53,10.31亿,35.68%,60.02亿
2012,,,,,24.62,16.15%,8.61亿,9.12%,False,4.13亿,34.95%,53.28亿
2011,,,,,21.19,-7.93%,7.89亿,136.81%,False,815.56万,37.17%,44.01亿
2010,,,,,23.02,25.08%,3.33亿,-31.31%,False,-5.47亿,14.48%,36.26亿
