报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2026-03-31,811.661,42.3844,19.15,3.2739,61.98,6.54%,31.57亿,4.81%,21.70,445.95亿,50.93%,1029.87亿
2025,683.237,42.3844,16.12,2.8947,236.03,2.70%,132.83亿,3.31%,20.84,414.38亿,56.28%,993.43亿
2024,680.956,41.6997,16.33,2.963,229.82,5.90%,128.58亿,10.17%,19.15,356.36亿,55.92%,859.04亿
2023,385.97,38.1393,10.12,1.7785,217.02,7.22%,116.71亿,16.22%,17.10,303.75亿,53.78%,713.20亿
2022,478.235,36.844,12.98,2.3627,202.41,13.14%,100.42亿,28.24%,14.81,254.38亿,49.62%,614.26亿
2021,353.639,36.1225,9.79,1.9767,178.9,22.54%,78.31亿,29.98%,12.72,210.30亿,43.77%,520.22亿
2020,303.79,36.1225,8.41,2.0808,146.0,14.73%,60.25亿,8.53%,11.08,177.22亿,41.29%,461.15亿
2019,246.717,36.1225,6.83,1.9388,127.25,9.79%,55.51亿,19.40%,9.84,151.04亿,43.66%,356.30亿
2018,210.233,36.1225,5.82,1.8139,115.9,20.05%,46.49亿,18.95%,8.64,126.43亿,40.15%,312.76亿
2017,,,,,96.54,11.99%,39.09亿,51.64%,7.68,102.78亿,40.53%,250.24亿
2016,,,,,86.21,-3.89%,25.77亿,-8.48%,6.74,82.95亿,30.00%,219.84亿
2015,,,,,89.59,-1.89%,28.16亿,-20.63%,6.22,73.68亿,31.49%,202.79亿
2014,,,,,91.31,29.19%,35.48亿,19.26%,5.58,60.23亿,38.90%,181.99亿
2013,,,,,70.68,25.74%,29.75亿,17.06%,4.68,40.86亿,42.06%,152.09亿
2012,,,,,56.21,13.22%,25.42亿,5.72%,3.96,35.77亿,45.21%,129.00亿
2011,,,,,49.65,35.88%,24.04亿,47.91%,3.36,18.75亿,48.41%,109.48亿
2010,,,,,36.54,54.12%,16.25亿,50.01%,False,6.36亿,44.48%,90.13亿
