报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2026-03-31,219.738,36.562,6.01,1.5827,34.71,14.60%,14.77亿,2.37%,18.05,397.06亿,43.23%,732.79亿
2025,214.619,36.562,5.87,1.651,129.99,-12.94%,52.49亿,1.66%,17.59,382.29亿,41.08%,715.68亿
2024,209.135,36.562,5.72,1.4007,149.31,-1.09%,51.64亿,-7.16%,16.92,348.73亿,35.59%,690.40亿
2023,169.648,36.562,4.64,1.1238,150.96,-3.50%,55.62亿,-8.92%,15.46,319.17亿,37.32%,635.34亿
2022,171.841,36.562,4.7,1.0985,156.43,4.26%,61.07亿,1.02%,14.13,286.05亿,39.93%,586.53亿
2021,193.779,36.562,5.3,1.2915,150.04,-6.70%,60.45亿,2.07%,12.95,248.58亿,41.69%,540.60亿
2020,199.84,32.1803,6.21,1.2427,160.81,9.64%,59.22亿,2.10%,11.79,212.25亿,38.20%,444.52亿
2019,230.411,32.1803,7.16,1.5708,146.68,16.00%,58.00亿,12.91%,10.58,175.06亿,40.89%,403.27亿
2018,127.342,22.9859,5.54,1.0071,126.45,1.35%,51.37亿,13.39%,12.98,145.78亿,41.35%,358.43亿
2017,,,6.74,,124.77,22.82%,45.31亿,23.98%,10.75,117.89亿,36.77%,256.30亿
2016,,,7.84,,101.59,31.85%,36.54亿,13.42%,9.20,100.02亿,36.31%,220.00亿
2015,,,,,77.05,34.17%,32.22亿,32.27%,7.76,78.44亿,42.05%,141.34亿
2014,,,,,57.43,50.27%,24.36亿,35.03%,5.87,54.55亿,42.61%,107.11亿
2013,,,,,38.22,10.17%,18.04亿,11.23%,4.40,36.67亿,47.33%,79.58亿
2012,,,,,34.69,28.43%,16.22亿,39.98%,3.72,27.42亿,46.71%,66.78亿
2011,,,,,27.01,37.22%,11.58亿,41.09%,2.94,16.29亿,42.79%,53.39亿
2010,,,,,19.68,31.97%,8.21亿,100.45%,False,7.45亿,41.71%,37.34亿
