报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,88.17,5.6195,15.69,0.6176,107.07,17.15%,2.00亿,10.72%,8.33,7.85亿,23.28亿,2.02%,49.39亿,49.24亿
2024,51.388,4.021,12.78,0.4088,125.69,45.00%,1.28亿,-28.69%,11.23,11.06亿,21.80亿,1.34%,47.46亿,41.23亿
2023,61.562,4.0001,15.39,0.7102,86.68,-1.12%,1.80亿,-15.24%,10.95,3.85亿,20.56亿,2.02%,45.63亿,32.88亿
2022,,,,,87.67,10.98%,2.12亿,-70.47%,9.19,2.14亿,18.92亿,2.32%,34.78亿,20.83亿
2021,,,,,78.99,63.62%,7.19亿,21.09%,8.96,2.72亿,16.80亿,9.03%,32.21亿,20.02亿
2020,,,,,48.28,12.80%,5.94亿,10.32%,6.90,2.87亿,10.22亿,12.20%,24.80亿,11.51亿
2019,,,,,42.8,7.67%,5.38亿,67.65%,5.21,4.41亿,4.84亿,12.56%,18.76亿,7.15亿
2018,,,,,39.75,28.87%,3.21亿,59.44%,13.30,1.01亿,-476.43万,8.09%,13.32亿,9.78亿
2017,,,,,30.85,False,2.01亿,False,28.96,1.11亿,4.77亿,6.53%,10.86亿,8.90亿
