报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,10364.665,282.647,36.67,2.7775,932.91,-15.33%,195.05亿,-32.28%,21.17,2.15万亿,5038.11亿,21.52%,6119.87亿
2025,12860.438,282.647,45.5,2.0888,6156.78,16.48%,1540.78亿,44.09%,21.06,2.21万亿,4856.03亿,25.43%,6083.93亿
2024,11650.709,282.647,41.22,2.2042,5285.67,30.50%,1069.35亿,108.92%,18.03,1.99万亿,3623.77亿,20.61%,5212.48亿
2023,7736.048,282.647,27.37,1.9099,4050.4,1.43%,511.84亿,59.54%,16.28,4075.74亿,2684.40亿,2.70%,3377.16亿
2022,9983.092,282.647,35.32,1.2085,8260.55,-3.78%,320.82亿,-36.80%,15.43,3527.35亿,2016.88亿,4.06%,4451.21亿
2021,7914.116,282.647,28.0,0.9218,8585.08,4.06%,507.66亿,1.01%,16.93,2676.58亿,2010.41亿,6.11%,4871.34亿
2020,9889.819,282.647,34.99,1.1987,8250.49,10.71%,502.57亿,-13.78%,15.92,2191.97亿,1838.56亿,6.23%,4569.37亿
2019,8818.586,282.647,31.2,1.1834,7451.65,15.87%,582.87亿,411.51%,14.01,1966.88亿,1704.87亿,7.92%,4093.42亿
2018,5124.39,282.647,18.13,0.7968,6431.01,-1.55%,113.95亿,-64.67%,10.99,1913.02亿,1330.22亿,1.86%,3232.90亿
2017,,,26.64,,6531.95,18.81%,322.53亿,68.63%,11.35,1869.97亿,1392.02亿,5.01%,3253.10亿
2016,,,20.89,,5498.02,7.51%,191.27亿,-44.88%,10.74,2764.44亿,1225.58亿,3.56%,3076.48亿
2015,,,24.05,,5113.67,14.71%,346.99亿,7.72%,11.41,2142.47亿,1230.55亿,6.88%,3262.14亿
2014,,,28.7,,4457.73,5.23%,322.11亿,30.07%,10.05,1001.73亿,1099.37亿,7.29%,2873.31亿
2013,,,12.44,,4236.13,4.50%,247.65亿,123.89%,7.80,555.65亿,950.37亿,5.90%,2225.85亿
2012,,,17.44,,4053.79,5.19%,110.61亿,-39.66%,7.82,1034.52亿,803.92亿,2.78%,2231.01亿
2011,,,14.17,,3853.88,-0.88%,183.31亿,-45.49%,6.78,796.11亿,798.94亿,4.80%,1933.88亿
2010,,,16.74,,3887.91,13.67%,336.26亿,2.27%,7.38,575.32亿,799.33亿,8.70%,2104.75亿
