报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,2008.99,31.1955,64.4,2.2692,221.33,-33.74%,65.01亿,10.52%,39.60,6866.09亿,1333.80亿,29.38%,1235.92亿
2025,2174.326,31.1955,69.7,1.3784,1577.45,19.00%,362.84亿,38.34%,35.75,6226.79亿,1265.19亿,23.00%,1115.78亿
2024,1488.961,31.1955,47.73,1.1233,1325.55,85.27%,262.29亿,201.07%,30.85,5243.89亿,1081.76亿,19.79%,962.69亿
2023,895.623,31.1955,28.71,1.2518,715.47,-33.78%,87.12亿,-59.48%,33.68,4020.47亿,921.24亿,12.18%,1050.92亿
2022,844.774,31.1955,27.08,0.7819,1080.48,-3.62%,215.00亿,43.84%,32.98,970.68亿,769.10亿,4.58%,979.96亿
2021,1037.25,31.1955,33.25,0.4664,2223.8,7.67%,149.47亿,4.57%,34.77,854.76亿,523.31亿,6.72%,1085.14亿
2020,1493.329,31.1955,47.87,0.723,2065.38,18.32%,142.94亿,-1.82%,32.59,450.97亿,459.43亿,6.92%,1016.80亿
2019,1235.342,31.1955,39.6,0.7077,1745.66,13.23%,145.59亿,83.78%,27.07,361.77亿,400.77亿,8.34%,844.61亿
2018,1045.985,31.1955,33.53,0.6785,1541.67,6.96%,79.22亿,47.17%,21.02,188.85亿,314.11亿,5.14%,655.96亿
2017,,,55.08,,1441.32,-1.40%,53.83亿,8.92%,20.42,151.35亿,272.00亿,3.74%,637.23亿
2016,,,34.08,,1461.73,-7.75%,49.42亿,-42.54%,18.95,258.10亿,243.52亿,3.38%,591.25亿
2015,,,40.36,,1584.53,10.66%,86.01亿,34.26%,18.54,273.90亿,211.79亿,5.43%,578.41亿
2014,,,38.11,,1431.87,10.49%,64.06亿,44.87%,15.50,211.41亿,149.39亿,4.47%,483.64亿
2013,,,17.48,,1295.94,10.84%,44.22亿,50.77%,12.60,188.07亿,102.89亿,3.41%,393.18亿
2012,,,22.01,,1169.21,7.06%,29.33亿,4.79%,11.50,293.58亿,67.83亿,2.51%,358.78亿
2011,,,20.98,,1092.09,6.53%,27.99亿,24.46%,10.04,182.96亿,57.21亿,2.56%,313.13亿
2010,,,,,1025.13,39.14%,22.49亿,-15.45%,5.47,332.57亿,34.78亿,2.19%,65.73亿
