报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,3175.282,442.2399,7.18,0.5344,1485.36,-5.14%,88.14亿,-31.40%,7.20,4451.42亿,2299.59亿,8.10%,4342.19亿
2025,3958.047,442.2399,8.95,0.5916,6690.44,7.57%,466.46亿,8.81%,7.00,4357.01亿,2189.83亿,9.42%,4201.89亿
2024,3263.73,442.2399,7.38,0.5247,6219.72,12.45%,428.69亿,88.24%,6.10,3438.92亿,1869.46亿,9.30%,3672.26亿
2023,2016.614,442.2399,4.56,0.3646,5530.97,4.43%,227.73亿,-10.23%,5.50,4048.90亿,1536.03亿,5.69%,3316.69亿
2022,2118.329,442.2399,4.79,0.4,5296.33,3.88%,253.69亿,17.24%,5.01,605.28亿,1441.79亿,5.53%,3030.04亿
2021,1848.563,442.2399,4.18,0.3093,5976.91,2.40%,216.38亿,7.82%,4.96,798.57亿,1183.85亿,5.12%,2967.05亿
2020,2516.345,442.2399,5.69,0.4311,5836.96,5.07%,200.69亿,-10.41%,4.57,575.37亿,1050.73亿,4.84%,2731.36亿
2019,2848.025,442.2399,6.44,0.5127,5555.15,10.27%,224.01亿,66.55%,4.14,510.96亿,939.39亿,5.71%,2468.39亿
2018,2007.769,442.2399,4.54,0.3985,5037.99,3.21%,134.50亿,-19.20%,3.45,592.32亿,770.92亿,3.87%,2054.26亿
2017,,,,,4881.41,9.78%,166.46亿,16.13%,3.23,534.22亿,669.97亿,4.87%,1859.59亿
2016,,,,,4446.72,10.41%,143.34亿,-25.25%,2.96,750.67亿,639.49亿,4.68%,1701.52亿
2015,,,,,4027.36,15.52%,191.76亿,49.60%,2.72,635.64亿,521.75亿,6.74%,1562.28亿
2014,,,,,3486.29,16.85%,128.18亿,6.32%,2.18,513.20亿,362.62亿,5.24%,1251.42亿
2013,,,,,2983.61,18.82%,120.56亿,18.84%,False,587.99亿,256.45亿,4.04%,948.01亿
2012,,,,,2511.07,11.31%,101.44亿,28.44%,False,813.73亿,185.68亿,4.04%,833.41亿
2011,,,,,2255.88,False,78.98亿,False,False,603.93亿,124.79亿,3.50%,479.34亿
