报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,3581.653,96.2034,37.23,0.9675,925.47,-1.25%,100.41亿,4.30%,33.22,8065.98亿,1999.06亿,11.20%,3521.54亿
2025,4031.884,96.2034,41.91,0.9265,4351.56,7.69%,535.05亿,19.01%,31.41,7776.57亿,1894.47亿,12.73%,3342.24亿
2024,3184.333,96.2034,33.1,0.788,4040.89,24.74%,449.60亿,64.95%,30.29,6965.56亿,1518.90亿,11.49%,3184.81亿
2023,2142.45,96.2034,22.27,0.6614,3239.45,-2.47%,272.57亿,-27.08%,25.94,6130.57亿,1214.48亿,8.62%,2677.04亿
2022,2125.133,96.2034,22.09,0.6398,3321.4,3.34%,373.81亿,39.30%,23.75,596.94亿,925.88亿,5.54%,2016.72亿
2021,2248.273,96.2034,23.37,0.5102,4406.43,4.37%,268.34亿,9.15%,23.57,448.98亿,931.69亿,6.27%,2324.05亿
2020,3045.8,96.2034,31.66,0.7214,4221.82,9.52%,245.84亿,-11.38%,22.37,333.51亿,815.33亿,6.01%,2208.35亿
2019,2713.163,90.62,29.94,0.7038,3854.89,8.78%,277.41亿,53.95%,19.69,198.03亿,706.02亿,7.36%,1833.20亿
2018,1985.484,90.62,21.91,0.5603,3543.63,10.80%,180.19亿,22.90%,16.51,271.58亿,546.10亿,5.20%,1540.48亿
2017,,,31.15,,3198.09,19.76%,146.62亿,21.61%,15.17,278.47亿,457.22亿,4.69%,1411.19亿
2016,,,20.48,,2670.37,8.01%,120.57亿,-31.99%,14.54,424.47亿,387.72亿,4.60%,1347.63亿
2015,,,20.49,,2472.02,12.48%,177.28亿,60.45%,14.71,317.15亿,377.28亿,7.30%,1356.82亿
2014,,,22.54,,2197.78,13.79%,110.49亿,19.31%,12.93,289.84亿,266.94亿,5.12%,1191.95亿
2013,,,12.64,,1931.37,12.65%,92.61亿,82.41%,10.92,214.87亿,207.50亿,4.86%,1003.86亿
2012,,,15.02,,1714.51,8.56%,50.77亿,-38.93%,10.61,255.89亿,195.96亿,2.99%,975.69亿
2011,,,12.62,,1579.34,11.49%,83.13亿,-2.85%,8.93,178.10亿,179.93亿,5.31%,780.55亿
2010,,,14.79,,1416.62,35.80%,85.57亿,16.33%,9.34,185.64亿,132.21亿,6.12%,815.51亿
