报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,10750.506,181.0764,59.37,1.2306,2184.05,-6.18%,250.22亿,-7.38%,56.24,3.55万亿,7917.84亿,15.23%,1.43万亿
2025,12385.626,181.0764,68.4,1.1796,10500.0,2.10%,1347.78亿,6.45%,55.25,3.46万亿,7669.14亿,15.07%,1.42万亿
2024,9167.03,182.1023,50.34,0.89,10300.0,12.60%,1266.07亿,47.79%,50.99,3.06万亿,6934.70亿,14.26%,1.30万亿
2023,6663.123,182.1023,36.59,0.7292,9137.89,3.80%,856.65亿,-22.83%,49.37,2.38万亿,6217.23亿,11.96%,1.23万亿
2022,7416.293,182.8024,40.57,0.8424,8803.55,-5.92%,1110.08亿,9.24%,46.97,2.25万亿,5928.56亿,9.67%,1.19万亿
2021,7535.115,182.8024,41.22,0.6386,11800.0,-3.11%,1016.18亿,-28.99%,44.44,1.96万亿,5695.07亿,10.32%,1.08万亿
2020,12554.869,182.8024,68.68,1.0291,12200.0,4.23%,1430.99亿,-4.22%,41.72,1.76万亿,5216.77亿,13.08%,9879.05亿
2019,11995.493,182.8024,65.62,1.0253,11700.0,19.66%,1494.07亿,39.11%,36.82,1.41万亿,4336.44亿,14.06%,8523.70亿
2018,7695.981,182.8024,42.1,0.7879,9768.32,9.65%,1074.04亿,20.56%,30.44,1.30万亿,3341.82亿,12.33%,6836.43亿
2017,,,51.02,,8908.82,25.04%,890.88亿,42.78%,25.89,7096.49亿,2368.63亿,11.22%,5879.17亿
2016,,,25.33,,7124.53,14.91%,623.94亿,15.11%,20.98,7236.46亿,1759.32亿,10.16%,4864.61亿
2015,,,25.31,,6199.9,33.94%,542.03亿,37.99%,18.28,5484.59亿,1350.11亿,10.51%,4135.71亿
2014,,,25.94,,4628.82,27.65%,392.79亿,39.51%,32.56,4939.22亿,987.48亿,10.35%,3538.16亿
2013,,,14.24,,3626.31,21.13%,281.54亿,40.42%,23.08,3796.95亿,842.99亿,9.93%,2397.05亿
2012,,,15.26,,2993.72,20.27%,200.50亿,2.95%,20.16,4109.78亿,601.03亿,8.94%,2096.49亿
2011,,,11.5,,2489.15,31.40%,194.75亿,12.50%,16.53,2718.89亿,432.19亿,9.07%,1713.42亿
2010,,,18.52,,1894.39,28.14%,173.11亿,24.69%,14.66,1262.18亿,282.82亿,9.47%,1168.83亿
