报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,91.603,4.6405,19.74,3.98,108.42%,2.04亿,151.19%,8.61,23.0158,45.907,2.2927,PB；PE,184.46亿,20.78亿,51.32%,41.53亿,0.22999999999999998,,福建省瑞达控股有限责任公司
2026-03-31,91.603,4.6405,19.74,3.98,108.42%,2.04亿,151.19%,8.61,5.754,45.907,2.2927,PB；PE,184.46亿,20.78亿,51.32%,41.53亿,0.22999999999999998,,福建省瑞达控股有限责任公司
2025,119.357,4.4503,26.82,12.27,23.20%,5.47亿,42.95%,7.76,9.7275,21.8049,3.4562,PB；PE,156.45亿,18.75亿,44.79%,36.90亿,0.38,,福建省瑞达控股有限责任公司
2024,62.126,4.4503,13.96,9.96,95.45%,3.83亿,56.93%,6.25,6.2376,16.2326,2.2336,PB；PE,94.05亿,15.53亿,21.20%,29.32亿,0.35000000000000003,,福建省瑞达控股有限责任公司
2023,62.838,4.4503,14.12,9.26,-54.34%,2.44亿,-16.96%,5.73,6.786,25.6727,2.4642,PB；PE,76.65亿,13.51亿,26.32%,26.98亿,0.22000000000000003,,福建省瑞达控股有限责任公司
2022,55.362,4.4503,12.44,20.29,-4.67%,2.94亿,-41.74%,5.41,2.7285,18.8485,2.2994,PB；PE,93.31亿,12.39亿,14.49%,25.57亿,0.32999999999999996,,福建省瑞达控股有限责任公司
2021,100.259,4.45,22.53,21.28,58.56%,5.04亿,102.51%,5.07,4.7114,19.9381,4.4438,PB；PE,104.95亿,11.55亿,23.67%,24.04亿,0.27,,福建省瑞达控股有限责任公司
2020,96.476,4.45,21.68,13.42,41.08%,2.49亿,105.98%,4.21,7.189,38.7143,5.1496,PB；PE,62.97亿,8.76亿,18.54%,19.82亿,0.18,,福建省瑞达控股有限责任公司
2019,146.538,4.45,32.93,9.51,101.93%,1.21亿,5.30%,3.84,15.4088,113.5517,8.5755,PB；PE,34.90亿,7.57亿,12.70%,17.08亿,,,福建省瑞达控股有限责任公司
2018,,,,4.71,-8.19%,1.15亿,-27.79%,3.43,,,,PB；PE,24.26亿,6.61亿,24.36%,13.71亿,,,福建省瑞达控股有限责任公司
2017,,,,5.13,10.52%,1.59亿,-25.22%,3.25,,,,PB；PE,31.87亿,6.19亿,30.96%,13.00亿,,,福建省瑞达控股有限责任公司
2016,,,,4.64,-19.87%,2.12亿,-17.70%,2.86,,,,PB；PE,36.26亿,4.92亿,45.76%,11.42亿,,,福建省瑞达控股有限责任公司
2015,,,,5.79,86.07%,2.58亿,155.87%,3.1,,,,PB；PE,57.89亿,3.23亿,44.55%,9.30亿,,,福建省瑞达控股有限责任公司
2014,,,,3.11,25.25%,1.01亿,36.42%,2.24,,,,PB；PE,23.22亿,1.17亿,32.40%,6.72亿,,,福建省瑞达控股有限责任公司
2013,,,,2.49,-1.48%,7395.41万,-9.67%,2.04,,,,PB；PE,16.27亿,7393.96万,29.74%,6.11亿,,,福建省瑞达控股有限责任公司
2012,,,,2.52,False,8186.80万,False,1.79,,,,PB；PE,12.14亿,1478.31万,32.44%,5.37亿,,,福建省瑞达控股有限责任公司
