报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,78.909,10.0778,7.83,0.817804,23.53%,1250.91万,939.69%,1.86,96.4889,631.4516,4.2097,PB；PE,76.87亿,8827.53万,15.30%,18.73亿,,,江苏省苏豪控股集团有限公司
2026-03-31,78.909,10.0778,7.83,0.817804,23.53%,1250.91万,939.69%,1.86,24.1222,631.4516,4.2097,PB；PE,76.87亿,8827.53万,15.30%,18.73亿,,,江苏省苏豪控股集团有限公司
2025,106.825,10.0778,10.6,2.88,-20.53%,399.27万,-86.61%,1.85,37.092,2650.0,5.7297,PB；PE,83.22亿,7576.63万,1.39%,18.65亿,0.01,,江苏省苏豪控股集团有限公司
2024,97.049,10.0778,9.63,3.62,47.99%,2982.62万,282.80%,1.86,26.8091,325.3378,5.1774,PB；PE,74.90亿,8678.46万,1.04%,18.77亿,0.004,,江苏省苏豪控股集团有限公司
2023,112.468,10.0778,11.16,19.43,27.20%,779.15万,-37.07%,1.83,5.7884,1449.3506,6.0984,PB；PE,52.76亿,6593.54万,0.40%,18.47亿,0.03,,江苏省苏豪控股集团有限公司
2022,136.05,10.0778,13.5,15.28,-6.84%,1238.19万,-84.56%,1.82,8.9038,1022.7273,7.4176,PB；PE,69.08亿,6053.74万,0.81%,18.37亿,,,江苏省苏豪控股集团有限公司
2021,,,,16.4,5.03%,8021.15万,20.94%,1.85,,,,PB；PE,49.84亿,8563.38万,4.89%,16.82亿,,,江苏省苏豪控股集团有限公司
2020,,,,15.61,141.98%,6632.25万,211.87%,1.82,,,,PB；PE,39.09亿,6750.40万,4.25%,16.47亿,,,江苏省苏豪控股集团有限公司
2019,,,,6.45,4.72%,2126.64万,-73.59%,1.76,,,,PB；PE,29.61亿,2613.69万,3.30%,15.99亿,,,江苏省苏豪控股集团有限公司
2018,,,,6.16,17.78%,8051.41万,-12.80%,1.82,,,,PB；PE,30.44亿,7958.78万,13.07%,16.47亿,,,江苏省苏豪控股集团有限公司
2017,,,,5.23,59.83%,9233.21万,33.45%,1.81,,,,PB；PE,40.65亿,8978.91万,17.65%,16.42亿,,,江苏省苏豪控股集团有限公司
2016,,,,3.27,4.63%,6918.88万,11.47%,1.77,,,,PB；PE,33.87亿,6980.13万,21.14%,16.09亿,,,江苏省苏豪控股集团有限公司
2015,,,,3.13,7.65%,6207.15万,24.08%,1.74,,,,PB；PE,42.02亿,6162.97万,19.84%,15.78亿,,,江苏省苏豪控股集团有限公司
2014,,,,2.91,False,5002.69万,False,1.71,,,,PB；PE,23.48亿,4442.07万,17.21%,11.65亿,,,江苏省苏豪控股集团有限公司
