报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,386.897,57.9187,6.68,17.98,16.46%,8.22亿,6.49%,4.47,21.5182,47.7143,1.4944,PB；PE,88.44亿,46.16%,263.34亿,0.16999999999999998,,江苏交通控股有限公司
2026-03-31,386.897,57.9187,6.68,17.98,16.46%,8.22亿,6.49%,4.47,5.3795,47.7143,1.4944,PB；PE,88.44亿,46.16%,263.34亿,0.16999999999999998,,江苏交通控股有限公司
2025,354.494,57.9238,6.12,61.09,15.75%,32.41亿,10.12%,4.33,5.8028,10.9286,1.4134,PB；PE,80.22亿,53.22%,255.23亿,0.4,,江苏交通控股有限公司
2024,207.834,42.5018,4.89,52.78,10.26%,29.43亿,10.63%,4.17,3.9377,7.8871,1.1727,PB；PE,77.56亿,55.77%,245.81亿,0.32,,江苏交通控股有限公司
2023,126.948,29.8702,4.25,47.87,10.14%,26.60亿,10.30%,4.2,2.6519,6.746,1.0119,PB；PE,67.21亿,55.57%,178.49亿,0.35,,江苏交通控股有限公司
2022,96.767,29.8665,3.24,43.46,10.29%,24.12亿,16.36%,5.35,2.2266,5.5862,0.6056,PB；PE,55.74亿,55.49%,159.70亿,0.35,,江苏交通控股有限公司
2021,83.925,29.8665,2.81,39.41,5.00%,20.72亿,10.40%,4.87,2.1295,4.0143,0.577,PB；PE,45.95亿,52.59%,145.52亿,0.3,,江苏交通控股有限公司
2020,86.016,29.8665,2.88,37.53,22.43%,18.77亿,18.56%,4.36,2.2919,4.5714,0.6606,PB；PE,38.68亿,50.02%,130.10亿,0.24,,江苏交通控股有限公司
2019,94.378,29.8665,3.16,30.66,25.82%,15.83亿,26.56%,4.02,3.0782,5.9623,0.7861,PB；PE,30.91亿,51.65%,119.97亿,0.2,,江苏交通控股有限公司
2018,85.717,29.8665,2.87,24.37,25.42%,12.51亿,23.79%,3.69,3.5173,6.6744,0.7778,PB；PE,24.24亿,51.34%,110.18亿,0.12,,江苏交通控股有限公司
2017,,,,19.43,7.34%,10.11亿,22.64%,2.66,,,,PB；PE,17.88亿,52.02%,62.47亿,,,江苏交通控股有限公司
2016,,,,18.1,36.32%,8.24亿,12.51%,2.3,,,,PB；PE,11.83亿,45.64%,53.90亿,,,江苏交通控股有限公司
2015,,,,13.25,25.46%,7.32亿,20.87%,1.99,,,,PB；PE,6.83亿,55.30%,46.60亿,,,江苏交通控股有限公司
2014,,,,10.56,11.50%,6.06亿,20.61%,1.72,,,,PB；PE,2.16亿,57.40%,40.28亿,,,江苏交通控股有限公司
2013,,,,9.47,33.70%,5.02亿,30.81%,1.6,,,,PB；PE,5.36亿,53.06%,35.06亿,,,江苏交通控股有限公司
2012,,,,7.08,33.18%,3.84亿,33.32%,0.0,,,,PB；PE,5.28亿,54.23%,30.58亿,,,江苏交通控股有限公司
2011,,,,5.32,73.06%,2.88亿,69.29%,0.0,,,,PB；PE,3.94亿,54.17%,27.74亿,,,江苏交通控股有限公司
2010,,,,3.07,52.77%,1.70亿,54.38%,0.0,,,,PB；PE,1.73亿,55.38%,13.48亿,,,江苏交通控股有限公司
