报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,151.374,51.1397,2.96,4.29,-39.20%,2.90亿,-25.04%,3.64,35.2853,52.2046,0.8132,PB；PE,57.09亿,67.54%,185.92亿,0.06,40%: 最新年度营业收入下滑；最新年度净利润同比下降,陕西煤业化工集团有限责任公司
2026-03-31,151.374,51.1397,2.96,4.29,-39.20%,2.90亿,-25.04%,3.64,8.8213,52.2046,0.8132,PB；PE,57.09亿,67.54%,185.92亿,0.06,,陕西煤业化工集团有限责任公司
2025,173.364,51.1397,3.39,29.52,0.85%,14.33亿,5.25%,3.7,5.8728,12.1028,0.9162,PB；PE,57.70亿,48.52%,189.44亿,0.08,,陕西煤业化工集团有限责任公司
2024,174.386,51.1397,3.41,29.28,4.08%,13.61亿,25.73%,3.5,5.9558,12.8147,0.9743,PB；PE,48.89亿,46.49%,178.88亿,0.10999999999999999,,陕西煤业化工集团有限责任公司
2023,144.214,51.1397,2.82,28.13,46.05%,10.82亿,29.18%,3.34,5.1267,13.3207,0.8443,PB；PE,43.14亿,38.48%,170.89亿,0.03,,陕西煤业化工集团有限责任公司
2022,110.199,39.6401,2.78,19.26,0.91%,8.38亿,14.44%,3.17,5.7217,13.1504,0.877,PB；PE,35.69亿,43.51%,162.18亿,0.03,,陕西煤业化工集团有限责任公司
2021,116.542,39.6401,2.94,19.09,-10.22%,7.32亿,6.79%,3.09,6.1049,15.9177,0.9515,PB；PE,30.43亿,38.37%,122.52亿,0.03,,陕西煤业化工集团有限责任公司
2020,134.776,39.6401,3.4,21.26,21.08%,6.86亿,17.91%,2.98,6.3394,19.6532,1.1409,PB；PE,25.66亿,32.26%,117.95亿,0.03,,陕西煤业化工集团有限责任公司
2019,156.975,39.6401,3.96,17.56,70.89%,5.82亿,82.03%,2.77,8.9394,26.9939,1.4296,PB；PE,21.02亿,33.12%,109.77亿,0.02,,陕西煤业化工集团有限责任公司
2018,73.554,30.9049,2.38,10.27,-10.71%,3.19亿,-9.30%,2.63,7.162,26.0965,0.9049,PB；PE,19.27亿,31.10%,104.15亿,0.02,,陕西煤业化工集团有限责任公司
2017,,,3.63,11.51,13.52%,3.52亿,-31.64%,2.57,,32.6733,1.4125,PB；PE,17.18亿,30.61%,79.31亿,0.02,,陕西煤业化工集团有限责任公司
2016,,,6.37,10.14,-11.94%,5.15亿,13.50%,2.5,,38.2124,2.548,PB；PE,14.94亿,50.83%,77.28亿,0.03,,陕西煤业化工集团有限责任公司
2015,,,6.43,11.51,37.76%,4.54亿,29.47%,4.95,,35.1943,1.299,PB；PE,11.33亿,39.44%,76.54亿,0.03,,陕西煤业化工集团有限责任公司
2014,,,5.33,8.35,0.32%,3.51亿,12.00%,3.14,,18.4621,1.6975,PB；PE,8.28亿,41.97%,38.14亿,0.03,,陕西煤业化工集团有限责任公司
2013,,,3.36,8.33,44.50%,3.13亿,20.12%,2.89,,13.0384,1.1626,PB；PE,5.73亿,37.59%,35.09亿,0.034999999999999996,,陕西煤业化工集团有限责任公司
2012,,,2.61,5.76,89.31%,2.61亿,68.85%,5.64,,10.6227,0.4628,PB；PE,3.90亿,45.22%,32.63亿,0.06,,陕西煤业化工集团有限责任公司
2011,,,2.03,3.04,38.27%,1.54亿,89.35%,2.37,,4.7133,0.8565,PB；PE,2.43亿,50.70%,8.50亿,0.05,,陕西煤业化工集团有限责任公司
2010,,,1.97,2.2,-7.46%,8151.70万,86.75%,2.07,,8.6631,0.9517,PB；PE,1.20亿,37.02%,7.43亿,0.05,,陕西煤业化工集团有限责任公司
