报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,137.228,7.1772,19.12,4.33,60.66%,2.05亿,138.82%,8.02,31.6924,65.931,2.384,PB；PE,497.64亿,25.76亿,47.43%,57.68亿,,,横店集团控股有限公司
2026-03-31,137.228,7.1772,19.12,4.33,60.66%,2.05亿,138.82%,8.02,7.9231,65.931,2.384,PB；PE,497.64亿,25.76亿,47.43%,57.68亿,,,横店集团控股有限公司
2025,118.903,6.1007,19.49,13.88,2.45%,4.86亿,6.18%,7.8,8.5665,24.3625,2.4987,PB；PE,446.42亿,23.72亿,35.07%,56.06亿,0.076,,横店集团控股有限公司
2024,72.171,6.1007,11.83,13.54,-8.56%,4.58亿,13.96%,6.75,5.3302,15.7733,1.7526,PB；PE,362.04亿,19.47亿,8.02%,41.25亿,0.066,,横店集团控股有限公司
2023,72.293,6.1007,11.85,62.47,-8.45%,4.02亿,63.32%,6.07,1.1572,17.9545,1.9522,PB；PE,243.20亿,15.42亿,6.45%,37.13亿,0.05600000000000001,,横店集团控股有限公司
2022,54.601,6.1007,8.95,68.23,-35.11%,2.46亿,1.01%,5.44,0.8002,22.1919,1.6452,PB；PE,206.78亿,12.07亿,3.60%,33.25亿,0.04,,横店集团控股有限公司
2021,77.082,5.8,13.29,105.15,6.05%,2.44亿,158.67%,4.98,0.7331,32.8716,2.6687,PB；PE,181.63亿,10.17亿,2.31%,30.55亿,,,横店集团控股有限公司
2020,104.342,5.8,17.99,99.15,3.96%,9417.34万,18.47%,4.24,1.0524,110.7759,4.2429,PB；PE,130.83亿,8.26亿,0.93%,24.76亿,0.048,,横店集团控股有限公司
2019,152.598,5.8,26.31,95.38,107.91%,7949.32万,-35.84%,4.19,1.5999,176.5772,6.2792,PB；PE,80.06亿,7.84亿,0.83%,24.41亿,,,横店集团控股有限公司
2018,,,,45.87,125.14%,1.24亿,-30.67%,4.02,,,,PB；PE,67.44亿,7.19亿,2.69%,20.65亿,,,横店集团控股有限公司
2017,,,,20.42,162.69%,1.79亿,16.19%,3.73,,,,PB；PE,74.54亿,6.10亿,8.69%,19.18亿,,,横店集团控股有限公司
2016,,,,7.77,-12.52%,1.54亿,85.77%,3.45,,,,PB；PE,103.74亿,4.59亿,19.66%,17.72亿,,,横店集团控股有限公司
2015,,,,8.89,-18.76%,8278.85万,-22.88%,3.11,,,,PB；PE,87.02亿,3.44亿,9.13%,16.09亿,,,横店集团控股有限公司
2014,,,,10.94,42.57%,1.07亿,-18.54%,2.77,,,,PB；PE,60.25亿,2.73亿,9.82%,14.13亿,,,横店集团控股有限公司
2013,,,,7.67,56.34%,1.32亿,14.06%,2.55,,,,PB；PE,42.56亿,1.84亿,17.18%,13.02亿,,,横店集团控股有限公司
2012,,,,4.91,False,1.16亿,False,2.31,,,,PB；PE,36.41亿,7030.24万,23.55%,11.77亿,,,横店集团控股有限公司
