报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,49.852,1.9681,25.33,0.3476,107.55,26.29%,2.20亿,62.46%,11.03,4.33亿,15.46亿,2.32%,22.74亿
2024,41.232,1.9681,20.95,0.3498,117.88,20.55%,2.05亿,2.42%,10.02,5.76亿,13.58亿,1.74%,20.55亿
2023,53.768,1.9681,27.32,0.5499,97.78,7.55%,2.01亿,-31.05%,9.12,8.00亿,11.80亿,2.28%,18.52亿
2022,95.093,1.9684,48.31,1.0459,90.92,29.69%,2.91亿,15.15%,11.50,11.23亿,10.19亿,4.03%,24.51亿
2021,120.201,1.9689,61.05,1.7147,70.1,78.29%,2.53亿,35.55%,10.42,10.77亿,7.92亿,4.21%,22.14亿
2020,96.934,1.8286,53.01,2.4653,39.32,9.65%,1.86亿,22.38%,5.68,4.86亿,5.71亿,5.28%,11.83亿
2019,56.583,1.8229,31.04,1.5779,35.86,63.24%,1.52亿,29.38%,4.73,3.93亿,4.22亿,4.99%,9.89亿
2018,46.566,1.8,25.87,2.1195,21.97,93.54%,1.18亿,58.30%,4.04,3.34亿,3.04亿,6.24%,8.32亿
2017,,,24.0,,11.35,30.75%,7433.87万,20.78%,2.17,5.10亿,2.07亿,7.53%,6.50亿
2016,,,,,8.68,18.54%,6154.89万,-6.51%,2.17,1.91亿,1.36亿,7.32%,3.07亿
2015,,,,,7.32,16.93%,6583.17万,30.29%,1.86,1.98亿,9595.42万,9.24%,2.60亿
2014,,,,,6.26,25.53%,5052.87万,69.04%,2.48,1.41亿,5776.22万,8.15%,1.89亿
2013,,,,,4.99,7.84%,2989.08万,-4.12%,55.85,5427.16万,8162.42万,5.97%,1.37亿
2012,,,,,4.63,False,3117.53万,False,44.90,5803.59万,6457.30万,6.76%,1.10亿
