报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,27.83,0.444,62.68,20.6658,1.01,-3.92%,-4175.41万,33.90%,9.43,3.07亿,-2.96亿,-41.32%,4.19亿
2024,18.564,0.444,41.81,13.166,1.41,16.42%,-1.15亿,-8.02%,9.46,3.32亿,-2.54亿,-82.25%,4.20亿
2023,21.343,0.444,48.07,17.6388,1.21,3.73%,-1.07亿,-31.29%,12.44,4.30亿,-1.39亿,-88.32%,5.53亿
2022,15.118,0.444,34.05,13.0328,1.16,-12.56%,-8121.57万,-11.32%,14.79,5.30亿,-3250.72万,-69.80%,6.57亿
2021,24.464,0.444,55.1,18.394,1.33,-4.13%,-7295.75万,-334.30%,17.39,6.49亿,4868.15万,-54.81%,7.72亿
2020,46.9,0.444,105.63,33.741,1.39,-15.62%,3113.91万,-48.98%,18.94,7.47亿,1.31亿,22.43%,8.41亿
2019,,,,,1.65,7.40%,6103.77万,16.62%,6.12,1.58亿,1.47亿,37.10%,2.04亿
2018,,,,,1.53,17.75%,5234.02万,8.32%,4.89,1.28亿,1.12亿,34.17%,1.63亿
2017,,,,,1.3,24.80%,4832.04万,56.77%,3.32,8384.15万,6449.14万,37.14%,1.10亿
2016,,,,,1.04,56.04%,3082.32万,67.28%,2.12,4905.23万,2914.48万,29.57%,7050.32万
2015,,,,,0.668129,66.57%,1842.64万,121.61%,3.57,4680.35万,1313.58万,27.58%,3968.00万
2014,,,,,0.401119,71.60%,831.47万,54.24%,7.53,1554.91万,1149.41万,20.73%,1505.37万
2013,,,,,0.233753,False,539.09万,False,3.37,496.76万,417.34万,23.06%,673.89万
