报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,1216.696,5.376,226.32,27.9829,32.61,39.67%,12.06亿,85.29%,13.96,97.44亿,62.12亿,36.99%,75.03亿
2024,1074.447,5.376,199.86,25.6615,41.87,17.47%,18.23亿,30.00%,14.83,92.50亿,66.73亿,43.55%,79.74亿
2023,576.684,5.376,107.27,16.1808,35.64,0.14%,14.02亿,-17.07%,13.61,81.70亿,60.32亿,39.35%,73.19亿
2022,357.396,5.376,66.48,10.042,35.59,1.40%,16.91亿,-11.52%,13.48,75.38亿,59.75亿,47.52%,72.45亿
2021,513.838,5.376,95.58,14.6393,35.1,23.43%,19.11亿,10.86%,12.05,72.75亿,52.51亿,54.45%,64.77亿
2020,436.37,5.376,81.17,15.3435,28.44,63.23%,17.24亿,92.05%,9.72,61.25亿,39.85亿,60.62%,52.24亿
2019,380.997,5.376,70.87,21.8712,17.42,25.61%,8.98亿,41.60%,7.42,40.88亿,27.18亿,51.53%,39.90亿
2018,132.68,5.376,24.68,9.566,13.87,-1.62%,6.34亿,-12.64%,6.21,34.35亿,20.78亿,45.71%,33.40亿
2017,,,31.73,,14.1,-18.69%,7.26亿,-40.11%,5.90,35.07亿,19.93亿,51.48%,31.69亿
2016,,,43.08,,17.34,20.23%,12.12亿,26.57%,5.49,33.52亿,18.36亿,69.89%,29.53亿
2015,,,43.89,,14.42,442.91%,9.57亿,1483.35%,3.96,30.42亿,11.39亿,66.38%,21.27亿
2014,,,14.0,,2.66,44.44%,6045.55万,175.78%,4.43,12.31亿,2.70亿,22.76%,11.91亿
2013,,,3.66,,1.84,6.89%,2192.19万,-15.51%,8.48,10.27亿,2.24亿,11.92%,11.39亿
2012,,,2.09,,1.72,-20.09%,2594.62万,-57.97%,8.37,9.95亿,2.13亿,15.08%,11.25亿
2011,,,2.43,,2.15,0.39%,6173.16万,-32.36%,8.32,10.22亿,2.09亿,28.68%,11.18亿
2010,,,5.36,,2.14,12.38%,9126.69万,22.12%,8.07,11.60亿,1.78亿,42.56%,10.85亿
