报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-11,3780.722,148.2055,25.51,231.55,40.91%,102.16亿,54.60%,19.67,16.3279,38.0746,1.2969,PB；PE,1.28万亿,1228.32亿,45.17%,3402.56亿,0.7,,中国中信金融控股有限公司
2026-03-31,3780.722,148.2055,25.51,231.55,40.91%,102.16亿,54.60%,19.67,4.082,38.0746,1.2969,PB；PE,1.28万亿,1228.32亿,45.17%,3402.56亿,0.7,,中国中信金融控股有限公司
2025,4143.826,148.2055,27.96,748.54,28.80%,300.76亿,38.58%,19.01,5.5359,14.2653,1.4708,PB；PE,1.24万亿,1130.02亿,41.42%,3258.22亿,0.27999999999999997,,中国中信金融控股有限公司
2024,4173.467,148.2055,28.16,581.19,6.20%,217.04亿,10.06%,17.7,7.1809,19.9716,1.591,PB；PE,1.06万亿,995.30亿,35.41%,2987.67亿,0.715,,中国中信金融控股有限公司
2023,2818.869,148.2055,19.02,600.68,-7.74%,197.21亿,-7.49%,17.01,4.6928,14.6308,1.1182,PB；PE,9278.39亿,934.50亿,34.19%,2741.99亿,0.49000000000000005,,中国中信金融控股有限公司
2022,2353.967,129.2678,18.21,651.09,-14.92%,213.17亿,-7.72%,16.15,3.6154,12.8239,1.1276,PB；PE,514.03万,4950.68万,34.05%,1.21亿,0.54,,中国中信金融控股有限公司
2021,2864.574,129.2678,22.16,765.24,40.71%,231.00亿,55.01%,15.35,3.7434,13.1124,1.4436,PB；PE,8248.85亿,776.61亿,31.37%,2138.08亿,0.4,,中国中信金融控股有限公司
2020,2940.774,121.1691,24.27,543.83,26.06%,149.02亿,21.86%,14.06,5.4075,20.9224,1.7262,PB；PE,6536.74亿,647.67亿,28.53%,1858.83亿,0.5,,中国中信金融控股有限公司
2019,2491.237,121.1691,20.56,431.4,15.90%,122.29亿,30.23%,13.34,5.7748,20.3564,1.5412,PB；PE,5055.00亿,601.04亿,29.32%,1654.50亿,0.35,,中国中信金融控股有限公司
2018,1552.176,121.1691,12.81,372.21,-14.02%,93.90亿,-17.87%,12.64,4.1702,16.6364,1.0134,PB；PE,3671.62亿,551.98亿,26.53%,1568.31亿,0.4,,中国中信金融控股有限公司
2017,,,14.13,432.92,13.92%,114.33亿,10.30%,12.36,,15.0319,1.1432,PB；PE,2769.70亿,520.07亿,27.67%,1531.43亿,0.35,,中国中信金融控股有限公司
2016,,,12.28,380.02,-32.16%,103.65亿,-47.65%,11.78,,14.2791,1.0424,PB；PE,2924.76亿,471.92亿,28.90%,1457.89亿,0.5,,中国中信金融控股有限公司
2015,,,14.37,560.13,91.84%,198.00亿,74.64%,11.48,,8.4035,1.2517,PB；PE,3161.11亿,447.87亿,36.35%,1417.37亿,0.28185,,中国中信金融控股有限公司
2014,,,24.85,291.98,81.18%,113.37亿,116.20%,9.0,,24.1262,2.7611,PB；PE,2359.46亿,327.10亿,40.63%,1011.31亿,0.15,,中国中信金融控股有限公司
2013,,,9.24,161.15,37.81%,52.44亿,23.75%,7.96,,19.25,1.1608,PB；PE,1255.78亿,256.32亿,32.94%,894.02亿,0.3,,中国中信金融控股有限公司
2012,,,9.42,116.94,-53.29%,42.37亿,-66.31%,7.85,,24.7895,1.2,PB；PE,909.80亿,252.20亿,36.83%,866.84亿,0.43,,中国中信金融控股有限公司
2011,,,6.61,250.33,-9.94%,125.76亿,11.18%,7.86,,5.374,0.841,PB；PE,798.29亿,268.46亿,50.35%,869.90亿,0.5,,中国中信金融控股有限公司
2010,,,8.23,277.95,26.30%,113.11亿,25.91%,7.08,,7.2193,1.1624,PB；PE,789.75亿,206.62亿,43.66%,708.48亿,0.5,,中国中信金融控股有限公司
