报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,343.864,46.7842,7.35,9.72,-21.61%,4.33亿,-17.40%,5.25,35.377,81.6667,1.4,PB；PE,596.13亿,64.72亿,45.48%,264.52亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,安徽省国有资本运营控股集团有限公司
2026-03-31,343.864,46.7842,7.35,9.72,-21.61%,4.33亿,-17.40%,5.25,8.8442,81.6667,1.4,PB；PE,596.13亿,64.72亿,45.48%,264.52亿,,,安徽省国有资本运营控股集团有限公司
2025,318.505,46.9772,6.78,50.68,31.11%,21.08亿,41.92%,5.04,6.2846,15.0667,1.3452,PB；PE,541.62亿,60.39亿,41.65%,238.89亿,0.14,,安徽省国有资本运营控股集团有限公司
2024,278.101,46.9766,5.92,38.66,24.40%,14.86亿,16.56%,4.71,7.1935,18.5,1.2569,PB；PE,577.25亿,49.58亿,32.77%,225.22亿,0.1,,安徽省国有资本运营控股集团有限公司
2023,218.911,46.9766,4.66,36.52,15.60%,12.74亿,7.78%,4.4,5.9943,17.2593,1.0591,PB；PE,406.98亿,44.73亿,35.37%,211.49亿,0.1,,安徽省国有资本运营控股集团有限公司
2022,201.53,46.9766,4.29,31.59,-9.31%,11.82亿,-16.97%,4.2,6.3796,17.16,1.0214,PB；PE,406.92亿,40.82亿,36.43%,202.11亿,0.1,,安徽省国有资本运营控股集团有限公司
2021,179.241,36.2104,4.95,34.83,3.78%,14.24亿,12.32%,4.15,5.1462,15.0,1.1928,PB；PE,395.15亿,37.29亿,39.84%,196.44亿,0.12,,安徽省国有资本运营控股集团有限公司
2020,235.365,36.21,6.5,33.57,3.87%,12.68亿,14.39%,3.9,7.0112,20.3125,1.6667,PB；PE,323.56亿,31.39亿,37.70%,148.83亿,0.1,,安徽省国有资本运营控股集团有限公司
2019,212.191,36.21,5.86,32.32,83.48%,11.08亿,100.16%,3.66,6.5653,18.9032,1.6011,PB；PE,263.05亿,26.09亿,37.57%,136.38亿,0.06,,安徽省国有资本运营控股集团有限公司
2018,135.788,36.21,3.75,17.61,-8.15%,5.54亿,-14.77%,3.46,7.7108,25.0,1.0838,PB；PE,243.29亿,21.71亿,32.81%,128.30亿,0.06,,安徽省国有资本运营控股集团有限公司
2017,,,5.72,19.18,10.65%,6.50亿,7.93%,3.39,,31.7778,1.6873,PB；PE,179.61亿,19.76亿,34.01%,125.74亿,0.06,,安徽省国有资本运营控股集团有限公司
2016,,,9.81,17.33,-54.55%,6.02亿,-67.72%,3.27,,46.7143,3.0,PB；PE,186.18亿,17.50亿,34.85%,120.69亿,,,安徽省国有资本运营控股集团有限公司
2015,,,,38.16,125.86%,18.65亿,171.83%,2.38,,,,PB；PE,221.54亿,17.70亿,48.87%,67.82亿,,,安徽省国有资本运营控股集团有限公司
2014,,,,16.9,79.49%,6.86亿,266.53%,1.76,,,,PB；PE,129.20亿,6.55亿,40.71%,49.99亿,,,安徽省国有资本运营控股集团有限公司
2013,,,,9.41,13.14%,1.87亿,11.60%,1.53,,,,PB；PE,63.03亿,1.96亿,20.12%,43.50亿,,,安徽省国有资本运营控股集团有限公司
2012,,,,8.32,31.89%,1.68亿,103.69%,1.46,,,,PB；PE,68.47亿,5851.77万,20.75%,41.42亿,,,安徽省国有资本运营控股集团有限公司
2011,,,,6.31,-49.56%,8234.54万,-85.05%,1.41,,,,PB；PE,84.24亿,2.66亿,13.91%,34.42亿,,,安徽省国有资本运营控股集团有限公司
2010,,,,12.51,-19.97%,5.51亿,-31.77%,0.0,,,,PB；PE,86.41亿,4.44亿,44.42%,36.06亿,,,安徽省国有资本运营控股集团有限公司
