报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,318.338,100.7399,3.16,4.37,-31.06%,22.36万,-99.07%,2.72,72.8462,,1.1618,PB；PE,588.53亿,12.84亿,-1.67%,278.29亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,湖北宏泰集团有限公司
2026-03-31,318.338,100.7399,3.16,4.37,-31.06%,22.36万,-99.07%,2.72,18.2116,,1.1618,PB；PE,588.53亿,12.84亿,-1.67%,278.29亿,,,湖北宏泰集团有限公司
2025,360.496,86.6576,4.16,28.54,5.70%,1.56亿,624.52%,2.72,12.6313,208.0,1.5294,PB；PE,571.82亿,12.85亿,6.43%,278.58亿,,,湖北宏泰集团有限公司
2024,388.226,86.6576,4.48,27.0,-21.21%,-2970.91万,-109.67%,2.7,14.3787,,1.6593,PB；PE,616.10亿,11.55亿,1.16%,241.82亿,,,湖北宏泰集团有限公司
2023,267.772,86.6576,3.09,34.27,99.10%,3.07亿,120.44%,2.73,7.8136,77.25,1.1319,PB；PE,614.70亿,12.18亿,12.22%,245.86亿,,,湖北宏泰集团有限公司
2022,248.707,86.6576,2.87,17.21,-60.94%,-15.03亿,-356.27%,2.67,14.4513,,1.0749,PB；PE,569.76亿,9.50亿,-84.58%,238.54亿,0.006,,湖北宏泰集团有限公司
2021,269.305,66.6597,4.04,44.06,1.06%,5.86亿,28.91%,2.9,6.1122,57.7143,1.3931,PB；PE,523.31亿,26.13亿,13.56%,258.23亿,0.005,,湖北宏泰集团有限公司
2020,314.944,51.8,6.08,43.6,13.35%,4.55亿,47.80%,2.62,7.2235,86.8571,2.3206,PB；PE,424.28亿,22.94亿,15.78%,222.43亿,0.006,,湖北宏泰集团有限公司
2019,336.182,51.8,6.49,38.46,17.35%,3.08亿,1.62%,2.34,8.7411,129.8,2.7735,PB；PE,320.21亿,20.13亿,10.94%,175.07亿,0.007000000000000001,,湖北宏泰集团有限公司
2018,284.382,51.8,5.49,32.77,9.75%,3.03亿,-26.16%,2.38,8.6781,85.7812,2.3067,PB；PE,272.00亿,18.94亿,9.66%,184.90亿,,,湖北宏泰集团有限公司
2017,,,,29.86,-3.61%,4.10亿,-38.93%,2.4,,,,PB；PE,255.94亿,16.53亿,20.59%,182.83亿,,,湖北宏泰集团有限公司
2016,,,,30.98,-3.59%,6.72亿,-28.37%,2.3,,,,PB；PE,245.95亿,14.05亿,30.82%,234.81亿,,,湖北宏泰集团有限公司
2015,,,,32.13,188.91%,9.38亿,351.31%,1.97,,,,PB；PE,141.37亿,9.05亿,31.16%,129.74亿,,,湖北宏泰集团有限公司
2014,,,,11.12,66.34%,2.08亿,106.09%,1.6,,,,PB；PE,49.32亿,2.13亿,19.43%,37.48亿,,,湖北宏泰集团有限公司
2013,,,,6.69,89.27%,1.01亿,439.09%,1.28,,,,PB；PE,25.03亿,6744.77万,15.38%,22.20亿,,,湖北宏泰集团有限公司
2012,,,,3.53,79.75%,1869.86万,71.95%,1.13,,,,PB；PE,27.82亿,828.73万,5.45%,17.82亿,,,湖北宏泰集团有限公司
2011,,,,1.97,9.39%,1087.46万,-65.00%,0.0,,,,PB；PE,21.87亿,3011.25万,5.62%,11.03亿,,,湖北宏泰集团有限公司
2010,,,,1.8,-14.22%,3106.95万,-41.14%,0.0,,,,PB；PE,13.24亿,5229.45万,15.90%,4.83亿,,,湖北宏泰集团有限公司
