报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,422.839,79.1834,5.34,31.07,25.14%,4.69亿,26.80%,5.64,13.6092,106.8,0.9468,PB；PE,1408.46亿,89.90亿,17.92%,532.40亿,,,枣庄矿业(集团)有限责任公司
2026-03-31,422.839,79.1834,5.34,31.07,25.14%,4.69亿,26.80%,5.64,3.4023,106.8,0.9468,PB；PE,1408.46亿,89.90亿,17.92%,532.40亿,,,枣庄矿业(集团)有限责任公司
2025,452.961,69.6863,6.5,113.93,17.58%,14.35亿,53.07%,5.61,3.9758,36.1111,1.1586,PB；PE,1350.43亿,86.75亿,14.68%,528.68亿,0.025,,枣庄矿业(集团)有限责任公司
2024,455.748,69.6863,6.54,96.9,-14.66%,9.37亿,-47.92%,5.41,4.7033,59.4545,1.2089,PB；PE,1056.53亿,84.83亿,9.93%,452.59亿,0.04,,枣庄矿业(集团)有限责任公司
2023,473.17,69.6863,6.79,127.62,36.86%,18.00亿,204.94%,5.3,3.7076,28.2917,1.2811,PB；PE,927.57亿,85.13亿,16.15%,423.28亿,0.026000000000000002,,枣庄矿业(集团)有限责任公司
2022,440.417,69.6863,6.32,93.25,-29.09%,5.90亿,-81.56%,5.05,4.723,79.0,1.2515,PB；PE,935.56亿,75.34亿,7.54%,396.70亿,0.063,,枣庄矿业(集团)有限责任公司
2021,679.441,69.6863,9.75,131.5,27.02%,32.00亿,26.72%,5.14,5.1669,21.1957,1.8969,PB；PE,994.76亿,76.18亿,25.09%,371.60亿,0.10900000000000001,,枣庄矿业(集团)有限责任公司
2020,1246.688,69.6863,17.89,103.52,6.63%,25.25亿,12.26%,4.78,12.043,49.6944,3.7427,PB；PE,831.78亿,61.48亿,24.93%,344.30亿,,,枣庄矿业(集团)有限责任公司
2019,,,,97.09,38.20%,22.49亿,122.91%,4.45,,,,PB；PE,642.59亿,45.47亿,23.63%,350.07亿,,,枣庄矿业(集团)有限责任公司
2018,,,,70.25,-14.00%,10.09亿,-43.79%,4.08,,,,PB；PE,536.37亿,39.72亿,15.23%,328.51亿,,,枣庄矿业(集团)有限责任公司
2017,,,,81.69,-2.14%,17.95亿,-26.79%,4.27,,,,PB；PE,430.14亿,37.41亿,23.21%,341.38亿,,,枣庄矿业(集团)有限责任公司
2016,,,,83.47,-44.52%,24.52亿,-59.55%,4.08,,,,PB；PE,573.12亿,39.14亿,30.35%,328.00亿,,,枣庄矿业(集团)有限责任公司
2015,,,,150.45,156.12%,60.62亿,223.58%,0.0,,,,PB；PE,628.81亿,39.51亿,40.48%,321.87亿,,,枣庄矿业(集团)有限责任公司
2014,,,,58.74,43.94%,18.74亿,115.44%,2.75,,,,PB；PE,359.47亿,31.30亿,32.04%,145.31亿,,,枣庄矿业(集团)有限责任公司
2013,,,,40.81,35.53%,8.70亿,83.33%,2.28,,,,PB；PE,176.51亿,18.33亿,21.53%,120.03亿,,,枣庄矿业(集团)有限责任公司
2012,,,,30.11,-1.17%,4.74亿,8.13%,2.19,,,,PB；PE,213.63亿,14.95亿,15.80%,115.61亿,,,枣庄矿业(集团)有限责任公司
2011,,,,30.47,-33.01%,4.39亿,-69.84%,0.0,,,,PB；PE,220.38亿,14.85亿,14.44%,111.18亿,,,枣庄矿业(集团)有限责任公司
2010,,,,45.49,-18.09%,14.55亿,-37.41%,0.0,,,,PB；PE,338.14亿,11.67亿,32.41%,107.60亿,,,枣庄矿业(集团)有限责任公司
