报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,407.289,32.3245,12.6,9.13,-11.55%,3.53亿,-7.02%,9.53,44.61,121.1538,1.3221,PB；PE,532.87亿,60.83亿,38.69%,338.39亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,中国东方资产管理股份有限公司
2026-03-31,407.289,32.3245,12.6,9.13,-11.55%,3.53亿,-7.02%,9.53,11.1525,121.1538,1.3221,PB；PE,532.87亿,60.83亿,38.69%,338.39亿,,,中国东方资产管理股份有限公司
2025,448.664,32.3245,13.88,47.11,10.25%,21.02亿,36.10%,9.36,9.5238,21.4529,1.4829,PB；PE,501.23亿,58.15亿,44.65%,332.88亿,0.16599999999999998,,中国东方资产管理股份有限公司
2024,350.721,32.3245,10.85,42.73,97.89%,15.44亿,88.39%,8.77,8.2078,22.6987,1.2372,PB；PE,513.26亿,49.67亿,16.55%,283.99亿,0.15600000000000003,,中国东方资产管理股份有限公司
2023,257.95,32.3245,7.98,47.35,38.08%,8.20亿,58.50%,8.37,5.4477,31.4173,0.9534,PB；PE,313.61亿,45.12亿,17.35%,271.08亿,0.05,,中国东方资产管理股份有限公司
2022,240.494,32.3245,7.44,34.29,-36.21%,5.17亿,-68.70%,8.06,7.0135,46.5,0.9231,PB；PE,351.78亿,41.28亿,15.08%,260.89亿,0.26,,中国东方资产管理股份有限公司
2021,299.514,27.5796,10.86,53.76,-5.48%,16.52亿,7.31%,8.25,5.5713,18.6598,1.3164,PB；PE,412.78亿,49.05亿,30.74%,266.93亿,0.16999999999999998,,中国东方资产管理股份有限公司
2020,337.574,27.5796,12.24,56.87,27.10%,15.40亿,26.13%,7.67,5.9359,21.9355,1.5958,PB；PE,315.83亿,42.28亿,27.08%,211.85亿,0.13999999999999999,,中国东方资产管理股份有限公司
2019,329.576,27.5796,11.95,44.75,19.88%,12.21亿,21.10%,7.36,7.3648,26.9752,1.6236,PB；PE,280.83亿,36.69亿,30.74%,203.29亿,0.11000000000000001,,中国东方资产管理股份有限公司
2018,237.736,27.5796,8.62,33.14,-8.77%,10.08亿,-23.01%,7.12,7.1737,23.5519,1.2107,PB；PE,212.47亿,41.53亿,30.42%,196.77亿,0.15,,中国东方资产管理股份有限公司
2017,,,12.78,36.33,1.51%,13.09亿,-3.23%,6.97,,26.9053,1.8336,PB；PE,227.20亿,39.44亿,36.11%,192.53亿,0.15,,中国东方资产管理股份有限公司
2016,,,17.66,35.73,-33.37%,13.53亿,-33.83%,6.64,,33.5104,2.6596,PB；PE,213.74亿,35.59亿,37.86%,183.55亿,0.25,,中国东方资产管理股份有限公司
2015,,,26.1,53.63,106.21%,20.45亿,96.49%,5.43,,30.8876,4.8066,PB；PE,206.98亿,33.16亿,38.15%,135.95亿,0.16,,中国东方资产管理股份有限公司
2014,,,,25.98,27.73%,10.41亿,55.66%,3.71,,,,PB；PE,116.32亿,24.97亿,40.06%,74.35亿,,,中国东方资产管理股份有限公司
2013,,,,20.34,42.10%,6.68亿,30.30%,3.02,,,,PB；PE,57.54亿,17.42亿,32.87%,60.53亿,,,中国东方资产管理股份有限公司
2012,,,,14.31,29.94%,5.13亿,16.41%,2.68,,,,PB；PE,77.14亿,12.48亿,35.84%,53.69亿,,,中国东方资产管理股份有限公司
2011,,,,11.02,-14.51%,4.41亿,-13.64%,2.36,,,,PB；PE,65.65亿,8.55亿,40.01%,47.30亿,,,中国东方资产管理股份有限公司
2010,,,,12.88,-4.41%,5.10亿,0.81%,0.0,,,,PB；PE,117.86亿,11.18亿,39.61%,31.25亿,,,中国东方资产管理股份有限公司
