报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,180.215,23.4045,7.7,13.26,34.80%,4.10亿,102.84%,8.83,13.5909,42.7778,0.872,PB；PE,752.48亿,74.28亿,31.72%,211.22亿,0.15,,吉林亚泰(集团)股份有限公司
2026-03-31,180.215,23.4045,7.7,13.26,34.80%,4.10亿,102.84%,8.83,3.3977,42.7778,0.872,PB；PE,752.48亿,74.28亿,31.72%,211.22亿,0.15,,吉林亚泰(集团)股份有限公司
2025,214.151,23.4045,9.15,50.69,17.78%,14.51亿,66.13%,8.6,4.2247,14.7581,1.064,PB；PE,672.79亿,69.45亿,29.41%,205.89亿,0.22,,吉林亚泰(集团)股份有限公司
2024,177.64,23.4045,7.59,43.04,0.46%,8.74亿,30.70%,8.17,4.1273,20.5135,0.929,PB；PE,591.37亿,64.51亿,14.27%,195.86亿,0.1,,吉林亚泰(集团)股份有限公司
2023,156.576,23.4045,6.69,64.75,27.53%,6.68亿,189.44%,7.9,2.4182,23.069,0.8468,PB；PE,576.78亿,62.04亿,10.74%,188.99亿,0.1,,吉林亚泰(集团)股份有限公司
2022,141.363,23.4045,6.04,50.77,-32.10%,2.31亿,-85.78%,7.71,2.7844,61.1955,0.7834,PB；PE,537.37亿,59.80亿,5.37%,186.57亿,0.1,,吉林亚泰(集团)股份有限公司
2021,187.938,23.4045,8.03,74.78,13.14%,16.24亿,21.80%,7.71,2.5132,11.5723,1.0415,PB；PE,533.63亿,61.31亿,22.81%,186.88亿,0.1,,吉林亚泰(集团)股份有限公司
2020,207.832,23.4045,8.88,66.1,-17.06%,13.33亿,32.40%,7.12,3.1442,15.5872,1.2472,PB；PE,449.49亿,52.04亿,22.20%,174.13亿,0.1,,吉林亚泰(集团)股份有限公司
2019,194.725,23.4045,8.32,79.69,17.53%,10.07亿,234.19%,6.66,2.4435,19.3488,1.2492,PB；PE,468.33亿,45.53亿,13.09%,161.50亿,0.1,,吉林亚泰(集团)股份有限公司
2018,129.427,23.4045,5.53,67.8,37.40%,3.01亿,-54.82%,6.42,1.909,42.5385,0.8614,PB；PE,316.14亿,49.03亿,4.60%,161.24亿,0.1,,吉林亚泰(集团)股份有限公司
2017,,,7.64,49.34,9.91%,6.67亿,-49.28%,6.7,,27.2857,1.1403,PB；PE,191.75亿,50.57亿,14.26%,168.06亿,0.1,,吉林亚泰(集团)股份有限公司
2016,,,10.66,44.82,-33.56%,13.15亿,-50.00%,6.66,,18.3793,1.6006,PB；PE,330.56亿,47.55亿,30.39%,166.01亿,0.2,,吉林亚泰(集团)股份有限公司
2015,,,14.03,67.46,118.24%,26.30亿,148.11%,5.82,,11.0472,2.4107,PB；PE,387.70亿,42.31亿,39.91%,118.28亿,0.06,,吉林亚泰(集团)股份有限公司
2014,,,15.97,30.91,74.92%,10.60亿,120.81%,4.43,,29.5741,3.605,PB；PE,151.20亿,24.72亿,34.77%,88.24亿,0.08,,吉林亚泰(集团)股份有限公司
2013,,,6.29,17.67,47.22%,4.80亿,218.77%,7.6,,25.16,0.8276,PB；PE,98.53亿,17.94亿,27.34%,75.42亿,0.2,,吉林亚泰(集团)股份有限公司
2012,,,6.57,12.0,48.25%,1.51亿,199.37%,7.36,,32.85,0.8927,PB；PE,102.03亿,16.45亿,12.60%,72.13亿,,,吉林亚泰(集团)股份有限公司
2011,,,4.88,8.1,-52.37%,-1.52亿,-128.75%,4.83,,,1.0104,PB；PE,96.97亿,15.35亿,-18.65%,30.93亿,0.2,,吉林亚泰(集团)股份有限公司
2010,,,8.68,17.0,-14.71%,5.27亿,-42.26%,5.42,,10.5854,1.6015,PB；PE,131.19亿,18.14亿,31.03%,34.69亿,0.15,,吉林亚泰(集团)股份有限公司
