报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,206.588,26.25,7.87,11.66,7.41%,3.94亿,30.76%,9.61,17.7177,52.4667,0.8189,PB；PE,657.71亿,92.40亿,33.75%,252.44亿,,,泸州老窖集团有限责任公司
2026-03-31,206.588,26.25,7.87,11.66,7.41%,3.94亿,30.76%,9.61,4.4294,52.4667,0.8189,PB；PE,657.71亿,92.40亿,33.75%,252.44亿,,,泸州老窖集团有限责任公司
2025,243.6,26.25,9.28,46.15,17.75%,14.70亿,101.98%,9.44,5.2784,16.5714,0.9831,PB；PE,605.59亿,88.47亿,31.81%,247.92亿,0.125,,泸州老窖集团有限责任公司
2024,215.513,26.25,8.21,39.2,23.22%,7.28亿,71.31%,8.97,5.4978,29.3214,0.9153,PB；PE,560.58亿,81.13亿,18.54%,235.63亿,0.05,,泸州老窖集团有限责任公司
2023,199.5,26.25,7.6,31.81,-5.77%,4.25亿,0.61%,8.68,6.2716,47.5,0.8756,PB；PE,463.25亿,77.50亿,13.21%,228.02亿,0.03,,泸州老窖集团有限责任公司
2022,192.938,26.25,7.35,33.76,-34.10%,4.22亿,-74.12%,8.54,5.715,45.9375,0.8607,PB；PE,543.44亿,75.24亿,12.38%,224.40亿,0.1,,泸州老窖集团有限责任公司
2021,249.375,26.25,9.5,51.22,9.38%,16.32亿,-14.11%,8.52,4.8687,15.3226,1.115,PB；PE,504.16亿,74.97亿,32.85%,224.04亿,0.11100000000000002,,泸州老窖集团有限责任公司
2020,312.375,26.25,11.9,46.83,18.93%,19.00亿,32.75%,8.12,6.6704,16.5278,1.4655,PB；PE,415.83亿,65.63亿,40.61%,213.67亿,0.076,,泸州老窖集团有限责任公司
2019,273.787,26.25,10.43,39.37,54.70%,14.32亿,69.39%,7.49,6.9542,18.9636,1.3925,PB；PE,320.80亿,53.87亿,36.36%,196.94亿,0.076,,泸州老窖集团有限责任公司
2018,206.588,26.25,7.87,25.45,-4.73%,8.45亿,-17.07%,6.99,8.1174,23.8485,1.1259,PB；PE,193.17亿,45.34亿,33.20%,184.00亿,0.038,,泸州老窖集团有限责任公司
2017,,,,26.72,-1.50%,10.19亿,-38.85%,6.07,,,,PB；PE,206.63亿,40.26亿,38.20%,128.20亿,,,泸州老窖集团有限责任公司
2016,,,,27.1,-54.90%,16.66亿,-37.84%,5.66,,,,PB；PE,201.25亿,33.95亿,60.79%,119.91亿,,,泸州老窖集团有限责任公司
2015,,,,60.11,89.74%,26.81亿,287.85%,4.97,,,,PB；PE,283.85亿,22.40亿,44.63%,105.53亿,,,泸州老窖集团有限责任公司
2014,,,,31.68,61.13%,6.91亿,5.67%,3.67,,,,PB；PE,175.34亿,3.79亿,21.83%,77.82亿,,,泸州老窖集团有限责任公司
2013,,,,19.66,29.90%,6.54亿,61.92%,4.94,,,,PB；PE,104.94亿,28.42亿,33.21%,70.46亿,,,泸州老窖集团有限责任公司
2012,,,,15.14,-9.21%,4.04亿,-33.80%,4.48,,,,PB；PE,131.50亿,23.65亿,26.69%,63.27亿,,,泸州老窖集团有限责任公司
2011,,,,16.67,-26.01%,6.10亿,-39.39%,0.0,,,,PB；PE,125.14亿,22.77亿,36.61%,61.21亿,,,泸州老窖集团有限责任公司
2010,,,,22.53,-11.56%,10.07亿,-1.90%,0.0,,,,PB；PE,151.16亿,21.47亿,44.69%,42.26亿,,,泸州老窖集团有限责任公司
