报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,1355.866,109.344,12.4,73.55,15.66%,33.20亿,10.09%,11.09,18.4346,44.2857,1.1181,PB；PE,4689.71亿,410.43亿,45.15%,1561.31亿,,,中国银河金融控股有限责任公司
2026-03-31,1355.866,109.344,12.4,73.55,15.66%,33.20亿,10.09%,11.09,4.6087,44.2857,1.1181,PB；PE,4689.71亿,410.43亿,45.15%,1561.31亿,,,中国银河金融控股有限责任公司
2025,1718.888,109.344,15.72,283.02,24.34%,125.20亿,24.81%,10.78,6.0734,15.2621,1.4583,PB；PE,4144.76亿,377.04亿,44.24%,1477.96亿,0.321,,中国银河金融控股有限责任公司
2024,1634.693,109.344,14.95,227.62,5.43%,100.31亿,27.31%,10.12,7.1817,18.4568,1.4773,PB；PE,3656.51亿,328.48亿,28.28%,1404.99亿,0.30400000000000005,,中国银河金融控股有限责任公司
2023,1165.787,101.3728,11.5,336.44,0.0062%,78.79亿,1.43%,9.2,3.4651,17.1642,1.25,PB；PE,3198.09亿,302.69亿,23.43%,1304.95亿,0.22532999999999997,,中国银河金融控股有限责任公司
2022,881.942,101.3726,8.7,336.42,-6.51%,77.68亿,-25.53%,8.55,2.6216,12.4286,1.0175,PB；PE,2879.18亿,279.74亿,23.07%,1026.22亿,0.31,,中国银河金融控股有限责任公司
2021,1026.904,101.3726,10.13,359.84,51.52%,104.30亿,43.99%,8.29,2.8538,10.4433,1.222,PB；PE,2495.81亿,267.50亿,29.23%,989.78亿,0.22000000000000003,,中国银河金融控股有限责任公司
2020,1123.208,101.3726,11.08,237.49,39.37%,72.44亿,38.54%,7.53,4.7295,15.6056,1.4714,PB；PE,1853.75亿,223.01亿,30.79%,820.08亿,0.16,,中国银河金融控股有限责任公司
2019,1030.959,101.3726,10.17,170.41,71.69%,52.28亿,81.09%,6.99,6.0499,19.5577,1.4549,PB；PE,1443.68亿,189.16亿,30.81%,719.22亿,0.09,,中国银河金融控股有限责任公司
2018,600.126,101.3726,5.92,99.25,-12.51%,28.87亿,-27.47%,6.51,6.0466,21.1429,0.9094,PB；PE,1117.52亿,160.80亿,29.54%,663.38亿,0.12,,中国银河金融控股有限责任公司
2017,,,8.98,113.44,-14.32%,39.81亿,-22.76%,6.36,,23.0256,1.4119,PB；PE,887.52亿,158.77亿,35.43%,648.86亿,0.155,,中国银河金融控股有限责任公司
2016,,,,132.4,-49.58%,51.54亿,-47.60%,6.08,,,,PB；PE,984.27亿,145.75亿,39.16%,583.54亿,,,中国银河金融控股有限责任公司
2015,,,,262.6,130.10%,98.36亿,160.84%,5.97,,,,PB；PE,1415.05亿,139.94亿,37.61%,572.49亿,,,中国银河金融控股有限责任公司
2014,,,,114.12,52.52%,37.71亿,76.59%,3.85,,,,PB；PE,591.34亿,82.54亿,33.21%,293.36亿,,,中国银河金融控股有限责任公司
2013,,,,74.82,34.76%,21.35亿,50.39%,3.34,,,,PB；PE,390.54亿,60.95亿,28.80%,254.22亿,,,中国银河金融控股有限责任公司
2012,,,,55.52,-6.26%,14.20亿,-10.03%,2.91,,,,PB；PE,420.60亿,51.62亿,25.80%,175.59亿,,,中国银河金融控股有限责任公司
2011,,,,59.23,-25.03%,15.78亿,-43.17%,2.67,,,,PB；PE,472.76亿,43.21亿,26.76%,161.27亿,,,中国银河金融控股有限责任公司
2010,,,,79.0,-19.42%,27.77亿,-38.83%,0.0,,,,PB；PE,622.82亿,35.04亿,35.32%,145.45亿,,,中国银河金融控股有限责任公司
