报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,213.439,19.3508,11.03,2.96,-28.82%,146.87万,-97.91%,5.86,72.1078,13787.5,1.8823,PB；PE,248.24亿,-2.07亿,0.50%,113.38亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,江西省交通投资集团有限责任公司
2026-03-31,213.439,19.3508,11.03,2.96,-28.82%,146.87万,-97.91%,5.86,18.0269,13787.5,1.8823,PB；PE,248.24亿,-2.07亿,0.50%,113.38亿,,,江西省交通投资集团有限责任公司
2025,325.867,19.3508,16.84,17.87,2.29%,2.73亿,63.05%,5.85,18.2354,119.348,2.8786,PB；PE,223.33亿,-2.05亿,15.27%,113.30亿,,,江西省交通投资集团有限责任公司
2024,253.302,19.3508,13.09,17.47,7.11%,1.67亿,658.34%,5.75,14.4993,151.3295,2.2765,PB；PE,209.80亿,-3.70亿,11004.33%,111.27亿,,,江西省交通投资集团有限责任公司
2023,180.349,19.3508,9.32,18.74,-1.08%,-2998.41万,93.13%,5.65,9.6237,,1.6496,PB；PE,139.80亿,-4.69亿,-2123.17%,109.31亿,,,江西省交通投资集团有限责任公司
2022,143.389,19.3508,7.41,18.94,-19.33%,-4.37亿,-668.02%,5.66,7.5707,,1.3092,PB；PE,147.79亿,-3.61亿,-57923.37%,109.52亿,,,江西省交通投资集团有限责任公司
2021,185.768,19.3508,9.6,23.48,6.43%,7688.86万,121.01%,5.88,7.9118,241.8136,1.6327,PB；PE,154.95亿,9441.41万,14556.74%,113.73亿,,,江西省交通投资集团有限责任公司
2020,266.073,19.3508,13.75,22.06,32.12%,-3.66亿,-573.14%,5.84,12.0613,,2.3545,PB；PE,157.33亿,9583.96万,-8148.43%,112.97亿,,,江西省交通投资集团有限责任公司
2019,245.949,19.3508,12.71,16.7,37.79%,7732.96万,118.02%,6.06,14.7275,317.75,2.0974,PB；PE,174.81亿,4.96亿,5696.34%,117.27亿,,,江西省交通投资集团有限责任公司
2018,150.978,14.978,10.08,12.12,-35.32%,-4.29亿,-168.75%,6.02,12.4569,,1.6744,PB；PE,174.90亿,7.64亿,-23125.55%,116.58亿,0.010029699999999999,,江西省交通投资集团有限责任公司
2017,,,14.94,18.73,14.10%,6.24亿,25.27%,8.21,,35.8617,1.8197,PB；PE,86.07亿,12.05亿,98.07%,123.07亿,0.02,,江西省交通投资集团有限责任公司
2016,,,16.12,16.42,56.44%,4.98亿,1803.97%,12.35,,32.5854,1.3053,PB；PE,101.71亿,6.01亿,60.59%,115.73亿,,,江西省交通投资集团有限责任公司
2015,,,17.57,10.49,-29.90%,2616.35万,-71.98%,3.86,,134.3272,4.5518,PB；PE,6412.55万,1.11亿,2.48%,7.78亿,0.4,,江西省交通投资集团有限责任公司
2014,,,6.53,14.97,0.69%,9335.92万,3.02%,4.13,,13.9889,1.5811,PB；PE,9389.24万,1.65亿,6.24%,8.26亿,0.3,,江西省交通投资集团有限责任公司
2013,,,5.57,14.87,16.68%,9062.50万,38.25%,3.97,,12.2931,1.403,PB；PE,1.41亿,1.42亿,6.10%,7.93亿,0.25,,江西省交通投资集团有限责任公司
2012,,,3.16,12.74,-17.80%,6555.39万,-8.93%,3.76,,8.8367,0.8404,PB；PE,1.88亿,1.09亿,5.14%,7.52亿,0.2,,江西省交通投资集团有限责任公司
2011,,,,15.5,17.29%,7198.57万,-1.51%,2.61,,,,PB；PE,1.44亿,8869.84万,4.64%,3.92亿,,,江西省交通投资集团有限责任公司
2010,,,,13.22,68.83%,7309.22万,10.28%,2.23,,,,PB；PE,1.10亿,3797.09万,5.53%,3.35亿,,,江西省交通投资集团有限责任公司
