报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,272.736,42.024,6.49,8.47,28.21%,1.97亿,67.14%,4.21,32.2002,129.8,1.5416,PB；PE,326.69亿,33.66亿,25.31%,182.65亿,,,北京国有资本运营管理有限公司
2026-03-31,272.736,42.024,6.49,8.47,28.21%,1.97亿,67.14%,4.21,8.0501,129.8,1.5416,PB；PE,326.69亿,33.66亿,25.31%,182.65亿,,,北京国有资本运营管理有限公司
2025,288.705,42.024,6.87,36.86,4.37%,8.41亿,-6.89%,4.11,7.8325,34.35,1.6715,PB；PE,307.67亿,31.82亿,24.62%,178.61亿,0.074,,北京国有资本运营管理有限公司
2024,347.118,42.024,8.26,35.32,41.91%,9.04亿,173.28%,3.88,9.8278,37.5455,2.1289,PB；PE,305.95亿,29.12亿,27.28%,168.12亿,0.042,,北京国有资本运营管理有限公司
2023,239.537,42.024,5.7,24.89,-4.70%,3.31亿,-17.50%,3.53,9.6238,71.25,1.6147,PB；PE,264.74亿,24.96亿,15.57%,152.93亿,0.04,,北京国有资本运营管理有限公司
2022,230.712,42.024,5.49,26.11,-19.77%,4.01亿,-46.22%,3.48,8.8362,54.9,1.5776,PB；PE,308.84亿,24.91亿,17.81%,152.61亿,0.04,,北京国有资本运营管理有限公司
2021,297.95,42.024,7.09,32.55,4.32%,7.45亿,-8.29%,3.43,9.1536,39.3889,2.0671,PB；PE,258.23亿,24.44亿,25.31%,149.89亿,0.04,,北京国有资本运营管理有限公司
2020,335.53,35.024,9.58,31.2,20.77%,8.13亿,58.40%,3.31,10.7542,45.619,2.8943,PB；PE,238.36亿,21.01亿,28.18%,144.35亿,0.025,,北京国有资本运营管理有限公司
2019,278.091,35.024,7.94,25.83,45.96%,5.13亿,312.58%,2.58,10.7662,52.9333,3.0775,PB；PE,231.80亿,16.15亿,22.57%,95.14亿,0.01,,北京国有资本运营管理有限公司
2018,181.775,35.024,5.19,17.7,-9.40%,1.24亿,-70.59%,2.51,10.2698,144.1667,2.0677,PB；PE,173.82亿,16.44亿,7.44%,91.64亿,0.02,,北京国有资本运营管理有限公司
2017,,,9.35,19.54,-3.75%,4.23亿,-24.73%,2.53,,77.2727,3.6957,PB；PE,147.55亿,16.74亿,22.11%,91.90亿,0.04,,北京国有资本运营管理有限公司
2016,,,20.69,20.28,-32.64%,5.62亿,-44.99%,3.93,,121.7059,5.2646,PB；PE,137.63亿,14.62亿,29.08%,91.21亿,0.08,,北京国有资本运营管理有限公司
2015,,,,30.1,61.93%,10.21亿,100.97%,3.12,,,,PB；PE,167.61亿,12.33亿,34.47%,65.75亿,,,北京国有资本运营管理有限公司
2014,,,,18.59,80.18%,5.08亿,212.19%,2.61,,,,PB；PE,114.18亿,5.97亿,27.84%,54.69亿,,,北京国有资本运营管理有限公司
2013,,,,10.32,-0.65%,1.63亿,-22.50%,2.31,,,,PB；PE,64.41亿,2.64亿,16.31%,48.19亿,,,北京国有资本运营管理有限公司
2012,,,,10.38,16.18%,2.10亿,15.67%,2.26,,,,PB；PE,72.05亿,1.89亿,20.24%,47.03亿,,,北京国有资本运营管理有限公司
2011,,,,8.94,-10.32%,1.82亿,-47.91%,2.15,,,,PB；PE,71.27亿,4101.87万,18.91%,44.81亿,,,北京国有资本运营管理有限公司
2010,,,,9.97,-0.07%,3.49亿,-17.28%,0.0,,,,PB；PE,59.76亿,5.66亿,34.97%,31.03亿,,,北京国有资本运营管理有限公司
