报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,357.105,46.4376,7.69,16.51,54.41%,6.17亿,113.03%,8.21,21.6296,59.1538,0.9367,PB；PE,805.36亿,113.11亿,37.37%,386.23亿,,,浙江省创新投资集团有限公司
2026-03-31,357.105,46.4376,7.69,16.51,54.41%,6.17亿,113.03%,8.21,5.4074,59.1538,0.9367,PB；PE,805.36亿,113.11亿,37.37%,386.23亿,,,浙江省创新投资集团有限公司
2025,404.936,46.4376,8.72,69.22,10.13%,26.32亿,12.50%,8.04,5.85,15.2982,1.0846,PB；PE,784.59亿,107.09亿,38.02%,378.45亿,0.17,,浙江省创新投资集团有限公司
2024,371.964,46.4374,8.01,62.86,-3.55%,23.40亿,3.90%,7.73,5.9173,16.02,1.0362,PB；PE,759.37亿,96.41亿,37.21%,364.27亿,0.15000000000000002,,浙江省创新投资集团有限公司
2023,345.958,46.4373,7.45,65.17,35.03%,22.52亿,48.43%,7.35,5.3085,15.5208,1.0136,PB；PE,690.55亿,86.44亿,34.54%,346.27亿,0.15000000000000002,,浙江省创新投资集团有限公司
2022,240.464,35.8901,6.7,48.27,-24.67%,15.17亿,-40.88%,6.99,4.9816,19.7059,0.9585,PB；PE,654.01亿,76.83亿,31.42%,329.75亿,0.2,,浙江省创新投资集团有限公司
2021,349.569,35.89,9.74,64.08,-1.84%,25.66亿,11.98%,6.89,5.4552,14.3235,1.4136,PB；PE,549.63亿,73.85亿,40.00%,252.17亿,0.2,,浙江省创新投资集团有限公司
2020,390.483,35.89,10.88,65.28,31.82%,22.92亿,22.34%,6.26,5.9817,17.2698,1.738,PB；PE,454.60亿,63.40亿,35.11%,234.57亿,0.16,,浙江省创新投资集团有限公司
2019,345.98,35.89,9.64,49.52,56.32%,18.73亿,128.75%,5.81,6.9867,18.5385,1.6592,PB；PE,328.11亿,52.85亿,37.88%,213.48亿,0.06999999999999999,,浙江省创新投资集团有限公司
2018,218.929,35.89,6.1,31.68,-21.13%,8.19亿,-45.55%,5.34,6.9106,27.7273,1.1423,PB；PE,194.17亿,49.04亿,25.66%,196.76亿,0.18,,浙江省创新投资集团有限公司
2017,,,15.28,40.17,-5.73%,15.04亿,-15.79%,5.65,,33.9556,2.7044,PB；PE,208.34亿,51.01亿,36.81%,208.11亿,,,浙江省创新投资集团有限公司
2016,,,,42.56,-58.45%,17.86亿,-41.93%,4.72,,,,PB；PE,254.08亿,40.97亿,41.76%,153.38亿,,,浙江省创新投资集团有限公司
2015,,,,102.41,127.47%,30.75亿,259.41%,3.92,,,,PB；PE,266.74亿,27.89亿,32.43%,128.02亿,,,浙江省创新投资集团有限公司
2014,,,,45.02,99.29%,8.56亿,162.13%,3.02,,,,PB；PE,206.82亿,9.99亿,22.52%,102.61亿,,,浙江省创新投资集团有限公司
2013,,,,22.59,60.05%,3.26亿,232.24%,2.52,,,,PB；PE,119.28亿,4.16亿,19.15%,53.09亿,,,浙江省创新投资集团有限公司
2012,,,,14.12,15.26%,9825.37万,120.02%,3.01,,,,PB；PE,107.73亿,11.65亿,11.20%,48.94亿,,,浙江省创新投资集团有限公司
2011,,,,12.25,-29.66%,4465.67万,-90.83%,0.0,,,,PB；PE,113.23亿,10.83亿,7.56%,46.97亿,,,浙江省创新投资集团有限公司
2010,,,,17.41,3.74%,4.87亿,-18.50%,0.0,,,,PB；PE,118.50亿,12.01亿,32.68%,39.39亿,,,浙江省创新投资集团有限公司
