报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,3116.795,176.2893,17.68,162.32,58.91%,63.88亿,-47.82%,18.52,19.2015,49.1111,0.9546,PB；PE,1.21万亿,818.08亿,41.30%,3514.06亿,,20%: 最新年度净利润同比下降,香港中央结算(代理人)有限公司
2026-03-31,3116.795,176.2893,17.68,162.32,58.91%,63.88亿,-47.82%,18.52,4.8004,49.1111,0.9546,PB；PE,1.21万亿,818.08亿,41.30%,3514.06亿,,,香港中央结算(代理人)有限公司
2025,1829.717,89.0373,20.55,631.07,87.40%,278.09亿,113.52%,18.3,2.8994,11.8103,1.123,PB；PE,1.15万亿,753.16亿,46.22%,3462.03亿,0.42999999999999994,,香港中央结算(代理人)有限公司
2024,1625.091,89.0461,18.25,336.75,20.08%,130.24亿,38.94%,17.5,4.8258,13.1295,1.0429,PB；PE,6194.93亿,632.80亿,31.22%,1774.74亿,0.55,,香港中央结算(代理人)有限公司
2023,1250.496,89.0667,14.04,361.41,1.89%,93.74亿,-18.55%,16.51,3.46,14.3265,0.8504,PB；PE,5344.50亿,585.06亿,27.35%,1733.78亿,0.53,,香港中央结算(代理人)有限公司
2022,1100.194,89.0845,12.35,354.71,-17.16%,115.09亿,-23.34%,16.03,3.1017,9.88,0.7704,PB；PE,5104.67亿,566.83亿,32.76%,1638.45亿,0.6799999999999999,,香港中央结算(代理人)有限公司
2021,1382.591,89.0845,15.52,428.17,21.64%,150.13亿,34.99%,15.4,3.2291,9.4061,1.0078,PB；PE,4545.64亿,541.32亿,35.74%,1506.37亿,0.5599999999999999,,香港中央结算(代理人)有限公司
2020,1311.25,89.0795,14.72,352.0,17.53%,111.22亿,28.77%,15.44,3.7251,12.2667,0.9534,PB；PE,3814.95亿,465.04亿,33.34%,1462.38亿,0.39,,香港中央结算(代理人)有限公司
2019,1324.519,87.1394,15.2,299.49,31.83%,86.37亿,28.76%,13.63,4.4226,16.8889,1.1152,PB；PE,3096.73亿,413.36亿,30.22%,1460.94亿,0.275,,香港中央结算(代理人)有限公司
2018,1079.656,87.1393,12.39,227.19,-4.56%,67.08亿,-32.11%,14.17,4.7522,17.7,0.8744,PB；PE,2258.28亿,380.70亿,31.12%,1336.73亿,0.4,,香港中央结算(代理人)有限公司
2017,,,14.57,238.04,-7.61%,98.82亿,0.41%,14.13,,13.1261,1.0311,PB；PE,1847.34亿,383.47亿,44.04%,1336.95亿,0.39,,香港中央结算(代理人)有限公司
2016,,,14.32,257.65,-31.47%,98.41亿,-37.32%,11.8,,11.8347,1.2136,PB；PE,1975.53亿,345.57亿,44.06%,1107.52亿,0.52,,香港中央结算(代理人)有限公司
2015,,,17.89,375.97,110.25%,157.00亿,132.32%,11.19,,8.095,1.5987,PB；PE,2534.85亿,319.38亿,44.41%,1016.37亿,0.1,,香港中央结算(代理人)有限公司
2014,,,,178.82,98.49%,67.58亿,134.73%,6.89,,,,PB；PE,1618.37亿,222.59亿,40.11%,472.99亿,,,香港中央结算(代理人)有限公司
2013,,,,90.09,15.52%,28.79亿,15.62%,5.58,,,,PB；PE,823.24亿,176.35亿,33.61%,350.02亿,,,香港中央结算(代理人)有限公司
2012,,,,77.99,4.75%,24.90亿,-8.08%,5.2,,,,PB；PE,700.08亿,156.17亿,32.86%,325.53亿,,,香港中央结算(代理人)有限公司
2011,,,,74.45,-14.96%,27.09亿,-32.80%,5.84,,,,PB；PE,688.23亿,138.63亿,37.53%,282.25亿,,,香港中央结算(代理人)有限公司
2010,,,,87.55,-29.10%,40.31亿,-36.03%,0.0,,,,PB；PE,701.93亿,123.19亿,46.46%,267.47亿,,,香港中央结算(代理人)有限公司
