报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,490.99,32.43,15.14,10.92,13.01%,4.52亿,120.87%,6.85,44.9625,126.1667,2.2102,PB；PE,673.92亿,89.41亿,41.83%,298.88亿,,,中国信达资产管理股份有限公司
2026-03-31,490.99,32.43,15.14,10.92,13.01%,4.52亿,120.87%,6.85,11.2406,126.1667,2.2102,PB；PE,673.92亿,89.41亿,41.83%,298.88亿,,,中国信达资产管理股份有限公司
2025,574.335,32.43,17.71,40.44,22.86%,18.94亿,38.74%,6.5,14.2022,32.7963,2.7246,PB；PE,691.16亿,84.59亿,48.25%,287.53亿,0.07400000000000001,,中国信达资产管理股份有限公司
2024,483.856,32.43,14.92,32.92,-5.51%,13.65亿,-6.95%,5.95,14.6979,36.3902,2.5076,PB；PE,566.01亿,74.74亿,42.98%,244.41亿,0.08299999999999999,,中国信达资产管理股份有限公司
2023,577.903,32.43,17.82,34.83,1.33%,14.67亿,19.52%,5.48,16.5921,38.7391,3.2518,PB；PE,459.07亿,68.11亿,44.28%,183.40亿,0.044,,中国信达资产管理股份有限公司
2022,,,,34.38,-9.61%,12.27亿,4.75%,4.69,,,,PB；PE,473.60亿,59.15亿,38.35%,141.81亿,,,中国信达资产管理股份有限公司
2021,,,,38.03,20.27%,11.72亿,42.95%,4.26,,,,PB；PE,432.77亿,51.43亿,31.86%,128.43亿,,,中国信达资产管理股份有限公司
2020,,,,31.62,42.26%,8.20亿,290.20%,3.86,,,,PB；PE,244.37亿,43.26亿,27.06%,116.34亿,,,中国信达资产管理股份有限公司
2019,,,,22.23,34.01%,2.10亿,200.28%,3.57,,,,PB；PE,216.60亿,37.62亿,8.38%,95.24亿,,,中国信达资产管理股份有限公司
2018,,,,16.59,-16.87%,6995.74万,-66.43%,3.67,,,,PB；PE,159.33亿,36.02亿,5.43%,97.90亿,,,中国信达资产管理股份有限公司
2017,,,,19.95,-11.03%,2.08亿,-52.13%,3.63,,,,PB；PE,258.24亿,36.20亿,11.83%,96.99亿,,,中国信达资产管理股份有限公司
2016,,,,22.43,-57.16%,4.35亿,-79.09%,0.0,,,,PB；PE,283.36亿,35.39亿,19.45%,89.36亿,,,中国信达资产管理股份有限公司
2015,,,,52.35,69.01%,20.82亿,127.85%,0.0,,,,PB；PE,329.01亿,35.70亿,39.69%,90.37亿,,,中国信达资产管理股份有限公司
2014,,,,30.97,75.16%,9.14亿,181.46%,0.0,,,,PB；PE,184.38亿,21.73亿,31.04%,69.77亿,,,中国信达资产管理股份有限公司
2013,,,,16.61,22.40%,3.25亿,50.16%,0.0,,,,PB；PE,111.08亿,15.69亿,19.43%,57.70亿,,,中国信达资产管理股份有限公司
2012,,,,13.57,10.56%,2.16亿,6.89%,0.0,,,,PB；PE,93.29亿,13.48亿,15.93%,54.40亿,,,中国信达资产管理股份有限公司
2011,,,,12.28,-21.05%,2.02亿,-50.03%,0.0,,,,PB；PE,105.38亿,13.89亿,16.48%,54.28亿,,,中国信达资产管理股份有限公司
2010,,,,15.55,-12.79%,4.05亿,-37.57%,0.0,,,,PB；PE,134.20亿,12.43亿,26.03%,32.71亿,,,中国信达资产管理股份有限公司
