报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,325.579,40.3443,8.07,12.77,0.02%,6.21亿,2.56%,8.09,25.4956,53.8,0.9975,PB；PE,823.38亿,69.69亿,48.98%,331.20亿,,,华能资本服务有限公司
2026-03-31,325.579,40.3443,8.07,12.77,0.02%,6.21亿,2.56%,8.09,6.3739,53.8,0.9975,PB；PE,823.38亿,69.69亿,48.98%,331.20亿,,,华能资本服务有限公司
2025,411.512,40.3443,10.2,51.96,29.24%,23.52亿,48.86%,7.9,7.9198,17.5862,1.2911,PB；PE,738.79亿,63.22亿,45.28%,323.68亿,0.16799999999999998,,华能资本服务有限公司
2024,324.772,40.3443,8.05,40.2,0.73%,15.80亿,9.82%,7.44,8.0789,20.641,1.082,PB；PE,744.18亿,52.75亿,39.64%,304.90亿,0.153,,华能资本服务有限公司
2023,310.248,40.3443,7.69,39.91,27.66%,14.38亿,60.00%,7.09,7.7737,21.3611,1.0846,PB；PE,718.35亿,47.47亿,35.77%,290.69亿,0.1,,华能资本服务有限公司
2022,243.928,31.0341,7.86,31.26,-59.69%,8.99亿,-49.08%,6.83,7.8032,30.2308,1.1508,PB；PE,608.42亿,41.24亿,29.22%,280.81亿,0.15,,华能资本服务有限公司
2021,374.271,31.0341,12.06,77.57,12.93%,17.66亿,17.58%,6.31,4.8249,21.1579,1.9113,PB；PE,534.01亿,39.40亿,23.79%,201.13亿,0.1,,华能资本服务有限公司
2020,368.064,31.0341,11.86,68.69,76.16%,15.02亿,51.35%,5.82,5.3583,24.7083,2.0378,PB；PE,393.87亿,29.68亿,22.28%,185.27亿,0.11000000000000001,,华能资本服务有限公司
2019,393.512,31.0341,12.68,38.99,41.62%,9.92亿,69.40%,5.45,10.0926,39.625,2.3266,PB；PE,369.55亿,22.37亿,26.02%,173.52亿,0.2,,华能资本服务有限公司
2018,277.755,31.0341,8.95,27.53,-6.92%,5.86亿,-34.18%,5.32,10.0892,42.619,1.6823,PB；PE,243.14亿,23.63亿,21.41%,166.83亿,,,华能资本服务有限公司
2017,,,,29.58,-15.29%,8.90亿,-8.57%,5.14,,,,PB；PE,212.92亿,19.48亿,30.36%,144.71亿,,,华能资本服务有限公司
2016,,,,34.84,-30.50%,9.73亿,-46.76%,0.0,,,,PB；PE,202.77亿,15.96亿,28.08%,139.15亿,,,华能资本服务有限公司
2015,,,,50.12,102.92%,18.28亿,153.73%,4.92,,,,PB；PE,236.73亿,16.01亿,36.56%,138.29亿,,,华能资本服务有限公司
2014,,,,24.7,59.32%,7.21亿,84.31%,3.49,,,,PB；PE,157.55亿,11.33亿,29.25%,72.91亿,,,华能资本服务有限公司
2013,,,,15.5,1.79%,3.91亿,135.58%,3.01,,,,PB；PE,76.02亿,6.08亿,25.43%,62.51亿,,,华能资本服务有限公司
2012,,,,15.23,9.41%,1.66亿,-17.96%,0.0,,,,PB；PE,96.14亿,4.29亿,16.26%,64.33亿,,,华能资本服务有限公司
2011,,,,13.92,-23.43%,2.02亿,-56.42%,0.0,,,,PB；PE,99.36亿,3.91亿,21.03%,62.63亿,,,华能资本服务有限公司
2010,,,,18.18,-17.04%,4.64亿,-35.02%,0.0,,,,PB；PE,126.68亿,5.51亿,32.16%,64.20亿,,,华能资本服务有限公司
