报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,291.695,43.9963,6.63,7.23,-4.45%,2.93亿,5.93%,5.37,40.3451,94.7143,1.2346,PB；PE,357.21亿,31.54亿,40.78%,239.68亿,,20%: 最新年度营业收入下滑,南京紫金投资集团有限责任公司
2026-03-31,291.695,43.9963,6.63,7.23,-4.45%,2.93亿,5.93%,5.37,10.0863,94.7143,1.2346,PB；PE,357.21亿,31.54亿,40.78%,239.68亿,,,南京紫金投资集团有限责任公司
2025,291.96,36.8636,7.92,28.06,2.83%,10.78亿,7.59%,5.24,10.4048,27.3103,1.5115,PB；PE,348.26亿,28.44亿,38.58%,233.90亿,0.13,,南京紫金投资集团有限责任公司
2024,314.447,36.8636,8.53,27.29,27.12%,10.02亿,47.95%,4.85,11.5224,31.5926,1.7588,PB；PE,294.52亿,25.63亿,32.06%,182.23亿,0.128,,南京紫金投资集团有限责任公司
2023,284.956,36.8636,7.73,24.76,23.30%,6.77亿,4.85%,4.66,11.5087,42.9444,1.6588,PB；PE,178.44亿,23.48亿,27.59%,175.19亿,0.1,,南京紫金投资集团有限责任公司
2022,279.795,36.8636,7.59,20.08,-26.75%,6.46亿,-33.93%,4.48,13.934,42.1667,1.6942,PB；PE,189.62亿,22.35亿,32.37%,168.50亿,0.1,,南京紫金投资集团有限责任公司
2021,345.043,36.8636,9.36,27.42,15.91%,9.77亿,20.71%,4.46,12.5836,34.6667,2.0987,PB；PE,182.43亿,21.75亿,35.96%,167.94亿,0.13,,南京紫金投资集团有限责任公司
2020,377.715,32.9882,11.45,23.65,7.43%,8.10亿,14.06%,4.28,15.971,47.7083,2.6752,PB；PE,162.54亿,19.56亿,34.46%,159.04亿,0.06999999999999999,,南京紫金投资集团有限责任公司
2019,329.882,27.4902,12.0,22.02,78.44%,7.10亿,206.24%,3.36,14.981,54.5455,3.5714,PB；PE,113.69亿,16.19亿,32.48%,112.05亿,0.1,,南京紫金投资集团有限责任公司
2018,183.36,27.4902,6.67,12.34,-11.13%,2.32亿,-43.55%,3.85,14.859,95.2857,1.7325,PB；PE,71.07亿,14.04亿,19.10%,107.02亿,,,南京紫金投资集团有限责任公司
2017,,,,13.88,-7.67%,4.11亿,-16.81%,3.79,,,,PB；PE,81.92亿,12.45亿,29.77%,94.00亿,,,南京紫金投资集团有限责任公司
2016,,,,15.0,-50.01%,4.94亿,-65.07%,3.74,,,,PB；PE,110.34亿,12.05亿,32.92%,92.80亿,,,南京紫金投资集团有限责任公司
2015,,,,30.0,111.08%,14.13亿,154.85%,3.74,,,,PB；PE,157.27亿,12.44亿,47.10%,92.74亿,,,南京紫金投资集团有限责任公司
2014,,,,14.21,40.04%,5.54亿,104.64%,2.43,,,,PB；PE,80.84亿,5.25亿,39.08%,46.61亿,,,南京紫金投资集团有限责任公司
2013,,,,10.15,18.56%,2.71亿,54.77%,2.14,,,,PB；PE,55.44亿,2.26亿,26.86%,41.09亿,,,南京紫金投资集团有限责任公司
2012,,,,8.56,-5.55%,1.75亿,-7.28%,0.0,,,,PB；PE,65.90亿,1.27亿,20.57%,39.49亿,,,南京紫金投资集团有限责任公司
2011,,,,9.06,-28.07%,1.89亿,-56.18%,0.0,,,,PB；PE,70.29亿,6.71亿,20.91%,37.28亿,,,南京紫金投资集团有限责任公司
2010,,,,12.6,-20.02%,4.31亿,-37.99%,0.0,,,,PB；PE,89.03亿,8.92亿,34.23%,36.53亿,,,南京紫金投资集团有限责任公司
