报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,1430.66,76.0585,18.81,116.82,64.33%,47.07亿,70.73%,17.61,12.2467,32.431,1.0681,PB；PE,6662.26亿,531.47亿,43.76%,1782.33亿,,,吉林敖东药业集团股份有限公司
2026-03-31,1430.66,76.0585,18.81,116.82,64.33%,47.07亿,70.73%,17.61,3.0617,32.431,1.0681,PB；PE,6662.26亿,531.47亿,43.76%,1782.33亿,,,吉林敖东药业集团股份有限公司
2025,1678.164,76.2109,22.02,354.93,34.33%,137.02亿,42.18%,17.03,4.7282,13.1071,1.293,PB；PE,5581.35亿,478.77亿,42.13%,1624.58亿,0.5,,吉林敖东药业集团股份有限公司
2024,1201.846,76.2109,15.77,264.22,16.74%,96.37亿,38.11%,15.88,4.5487,13.713,0.9931,PB；PE,4122.20亿,424.35亿,38.77%,1530.85亿,0.4,,吉林敖东药业集团股份有限公司
2023,1027.323,76.2109,13.48,233.0,-7.29%,69.78亿,-12.00%,14.86,4.4091,16.241,0.9071,PB；PE,3348.90亿,401.49亿,33.75%,1406.76亿,0.35,,吉林敖东药业集团股份有限公司
2022,1090.578,76.2109,14.31,251.32,-26.62%,79.29亿,-26.95%,14.32,4.3394,14.0294,0.9993,PB；PE,2869.77亿,392.66亿,35.41%,1247.93亿,0.5,,吉林敖东药业集团股份有限公司
2021,1681.212,76.2109,22.06,342.5,17.48%,108.54亿,8.13%,13.86,4.9086,15.5352,1.5916,PB；PE,2437.85亿,381.40亿,35.20%,1108.01亿,0.45,,吉林敖东药业集团股份有限公司
2020,1079.146,76.2109,14.16,291.53,27.81%,100.38亿,33.15%,12.88,3.7017,10.7273,1.0994,PB；PE,1705.09亿,339.53亿,36.95%,1022.74亿,0.35,,吉林敖东药业集团股份有限公司
2019,983.883,76.2109,12.91,228.1,49.37%,75.39亿,75.32%,11.97,4.3134,13.0404,1.0785,PB；PE,1618.12亿,296.56亿,35.56%,941.37亿,0.2,,吉林敖东药业集团股份有限公司
2018,810.884,76.2109,10.64,152.7,-29.43%,43.00亿,-49.97%,11.16,5.3103,19.0,0.9534,PB；PE,1487.21亿,260.35亿,30.33%,886.29亿,0.4,,吉林敖东药业集团股份有限公司
2017,,,13.57,216.39,4.16%,85.95亿,7.04%,11.13,,12.0088,1.2192,PB；PE,1201.50亿,257.68亿,42.10%,886.26亿,0.35,,吉林敖东药业集团股份有限公司
2016,,,13.43,207.14,-38.07%,80.30亿,-39.17%,10.3,,12.7905,1.3039,PB；PE,1422.15亿,219.88亿,40.60%,813.53亿,0.8,,吉林敖东药业集团股份有限公司
2015,,,14.8,334.47,149.70%,132.01亿,162.83%,10.17,,7.9144,1.4553,PB；PE,1904.85亿,222.33亿,40.70%,798.21亿,0.2,,吉林敖东药业集团股份有限公司
2014,,,19.61,133.95,63.20%,50.23亿,78.58%,6.69,,23.0706,2.9312,PB；PE,946.77亿,138.48亿,38.41%,413.77亿,0.2,,吉林敖东药业集团股份有限公司
2013,,,9.24,82.08,17.73%,28.13亿,28.34%,5.85,,19.25,1.5795,PB；PE,556.14亿,114.55亿,34.27%,347.88亿,0.15,,吉林敖东药业集团股份有限公司
2012,,,11.27,69.71,17.25%,21.91亿,6.19%,5.58,,30.4595,2.0197,PB；PE,586.28亿,102.44亿,31.42%,330.61亿,0.5,,吉林敖东药业集团股份有限公司
2011,,,7.54,59.46,-41.82%,20.64亿,-48.75%,10.69,,19.3333,0.7053,PB；PE,514.49亿,101.36亿,34.62%,316.68亿,0.5,,吉林敖东药业集团股份有限公司
2010,,,18.81,102.19,-2.40%,40.27亿,-14.13%,7.74,,11.6111,2.4302,PB；PE,594.65亿,99.15亿,41.08%,194.31亿,2.0,,吉林敖东药业集团股份有限公司
