报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,301.101,43.6378,6.9,13.27,-12.59%,5.42亿,-15.38%,8.91,22.6904,57.5,0.7744,PB；PE,859.42亿,91.28亿,40.84%,388.95亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,安徽国元金融控股集团有限责任公司
2026-03-31,301.101,43.6378,6.9,13.27,-12.59%,5.42亿,-15.38%,8.91,5.6726,57.5,0.7744,PB；PE,859.42亿,91.28亿,40.84%,388.95亿,,,安徽国元金融控股集团有限责任公司
2025,364.376,43.6378,8.35,62.49,6.81%,24.26亿,8.10%,8.74,5.8309,14.9107,0.9554,PB；PE,770.62亿,85.86亿,38.83%,381.50亿,0.24,,安徽国元金融控股集团有限责任公司
2024,354.339,43.6378,8.12,58.5,23.49%,22.44亿,20.17%,8.49,6.0571,15.9216,0.9564,PB；PE,646.95亿,75.26亿,28.61%,370.60亿,0.15,,安徽国元金融控股集团有限责任公司
2023,282.773,43.6378,6.48,63.55,18.99%,18.68亿,7.75%,7.92,4.4496,15.0698,0.8182,PB；PE,481.56亿,68.28亿,29.40%,345.95亿,0.15,,安徽国元金融控股集团有限责任公司
2022,256.154,43.6378,5.87,53.41,-12.58%,17.33亿,-9.21%,7.55,4.796,14.675,0.7775,PB；PE,430.59亿,61.83亿,32.47%,329.55亿,0.18,,安徽国元金融控股集团有限责任公司
2021,301.974,43.6378,6.92,61.1,34.91%,19.09亿,39.35%,7.4,4.9423,15.7273,0.9351,PB；PE,411.66亿,56.30亿,31.27%,323.12亿,0.2,,安徽国元金融控股集团有限责任公司
2020,264.188,33.6545,7.85,45.29,41.57%,13.70亿,49.84%,7.07,5.8333,20.1282,1.1103,PB；PE,326.63亿,50.62亿,30.27%,308.72亿,0.15,,安徽国元金融控股集团有限责任公司
2019,238.274,33.6545,7.08,31.99,26.04%,9.14亿,36.40%,7.38,7.4484,26.2222,0.9593,PB；PE,327.59亿,45.65亿,28.60%,248.46亿,0.25,,安徽国元金融控股集团有限责任公司
2018,174.33,33.6545,5.18,25.38,-27.71%,6.70亿,-44.31%,7.32,6.8688,25.9,0.7077,PB；PE,181.08亿,49.97亿,26.42%,246.48亿,0.15,,安徽国元金融控股集团有限责任公司
2017,,,8.0,35.11,4.00%,12.04亿,-14.35%,7.54,,20.0,1.061,PB；PE,203.11亿,49.95亿,34.58%,253.85亿,0.3,,安徽国元金融控股集团有限责任公司
2016,,,9.48,33.76,-41.53%,14.05亿,-49.52%,10.56,,19.75,0.8977,PB；PE,194.04亿,46.77亿,41.93%,208.85亿,0.4,,安徽国元金融控股集团有限责任公司
2015,,,10.55,57.73,65.61%,27.84亿,102.97%,10.15,,7.4296,1.0394,PB；PE,251.73亿,44.54亿,48.23%,200.63亿,0.1,,安徽国元金融控股集团有限责任公司
2014,,,14.52,34.86,75.52%,13.72亿,106.17%,8.89,,20.7429,1.6333,PB；PE,145.12亿,26.99亿,39.35%,174.60亿,0.1,,安徽国元金融控股集团有限责任公司
2013,,,4.7,19.86,29.64%,6.65亿,63.59%,7.9,,13.8235,0.5949,PB；PE,77.82亿,19.19亿,33.46%,156.34亿,0.1,,安徽国元金融控股集团有限责任公司
2012,,,5.09,15.31,-13.74%,4.07亿,-27.72%,7.61,,24.2381,0.6689,PB；PE,104.85亿,16.16亿,26.56%,149.45亿,0.1,,安徽国元金融控股集团有限责任公司
2011,,,3.85,17.75,-20.83%,5.63亿,-39.16%,7.53,,13.2759,0.5113,PB；PE,140.29亿,15.08亿,31.70%,147.99亿,0.3,,安徽国元金融控股集团有限责任公司
2010,,,5.42,22.42,2.59%,9.25亿,-10.82%,7.63,,11.5319,0.7104,PB；PE,169.82亿,17.24亿,41.30%,149.80亿,0.5,,安徽国元金融控股集团有限责任公司
