报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,518.159,86.3599,6.0,26.65,13.44%,7.86亿,52.17%,6.56,19.4431,69.5249,0.9146,PB；PE,1804.84亿,129.89亿,38.56%,675.86亿,,,福建省财政厅
2026-03-31,518.159,86.3599,6.0,26.65,13.44%,7.86亿,52.17%,6.56,4.8608,69.5249,0.9146,PB；PE,1804.84亿,129.89亿,38.56%,675.86亿,,,福建省财政厅
2025,640.79,86.3599,7.42,118.41,21.03%,28.70亿,32.64%,6.48,5.4116,23.1875,1.1451,PB；PE,1728.57亿,122.58亿,31.36%,666.89亿,0.15000000000000002,,福建省财政厅
2024,529.386,86.3599,6.13,97.84,16.25%,21.64亿,10.16%,6.35,5.4107,25.7023,0.9654,PB；PE,1580.46亿,118.53亿,23.45%,629.19亿,0.13,,福建省财政厅
2023,484.479,86.3599,5.61,106.27,-0.30%,19.64亿,-25.51%,6.18,4.5589,24.812,0.9078,PB；PE,1522.52亿,118.41亿,25.10%,609.71亿,0.13,,福建省财政厅
2022,360.281,66.9667,5.38,106.6,-43.81%,26.37亿,-44.40%,6.05,3.3797,15.3714,0.8893,PB；PE,1429.79亿,117.54亿,31.36%,568.37亿,0.18,,福建省财政厅
2021,576.583,66.9667,8.61,189.72,7.92%,47.43亿,18.48%,6.15,3.0391,12.6618,1.4,PB；PE,1269.56亿,115.48亿,30.86%,453.55亿,0.18,,福建省财政厅
2020,498.232,66.9667,7.44,175.8,23.37%,40.03亿,127.13%,5.64,2.8341,12.4456,1.3191,PB；PE,984.99亿,92.79亿,26.08%,408.35亿,0.08,,福建省财政厅
2019,403.14,66.9667,6.02,142.5,119.24%,17.63亿,1202.23%,5.14,2.8291,22.8723,1.1712,PB；PE,961.87亿,69.79亿,13.44%,370.44亿,0.05,,福建省财政厅
2018,261.84,66.9667,3.91,64.99,-26.31%,1.35亿,-94.08%,4.85,4.0289,193.5644,0.8062,PB；PE,677.88亿,68.45亿,8.85%,353.08亿,0.15,,福建省财政厅
2017,,,5.94,88.2,16.21%,22.85亿,11.66%,4.99,,17.2926,1.1904,PB；PE,644.93亿,80.27亿,29.88%,358.78亿,0.15,,福建省财政厅
2016,,,6.13,75.89,-34.24%,20.46亿,-50.89%,4.73,,19.8961,1.296,PB；PE,639.29亿,73.19亿,30.88%,342.98亿,0.1,,福建省财政厅
2015,,,8.18,115.41,105.75%,41.67亿,133.90%,3.56,,10.856,2.2978,PB；PE,546.03亿,63.99亿,38.98%,192.88亿,0.05,,福建省财政厅
2014,,,11.21,56.09,80.97%,17.82亿,166.00%,2.82,,32.7204,3.9752,PB；PE,317.42亿,35.16亿,34.69%,152.26亿,0.08,,福建省财政厅
2013,,,3.47,31.0,22.21%,6.70亿,40.60%,5.0,,24.7857,0.694,PB；PE,192.66亿,23.98亿,25.25%,134.33亿,0.12,,福建省财政厅
2012,,,4.46,25.39,9.69%,4.76亿,9.42%,3.96,,20.2727,1.1263,PB；PE,166.37亿,21.69亿,22.60%,90.72亿,0.1,,福建省财政厅
2011,,,3.35,23.15,-15.43%,4.35亿,-44.70%,3.83,,16.75,0.8747,PB；PE,158.11亿,20.47亿,23.59%,87.65亿,0.15,,福建省财政厅
2010,,,5.77,27.38,-11.26%,7.87亿,-31.86%,3.82,,14.7949,1.5105,PB；PE,191.35亿,20.66亿,33.71%,87.47亿,,,福建省财政厅
