报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,284.265,44.6958,6.36,14.24,17.11%,2.84亿,-2.25%,6.83,19.9624,99.843,0.9312,PB；PE,989.38亿,47.75亿,20.30%,324.17亿,0.09,20%: 最新年度净利润同比下降,陕西投资集团有限公司
2026-03-31,284.265,44.6958,6.36,14.24,17.11%,2.84亿,-2.25%,6.83,4.9906,99.843,0.9312,PB；PE,989.38亿,47.75亿,20.30%,324.17亿,0.09,,陕西投资集团有限公司
2025,347.733,44.6958,7.78,59.85,-10.84%,17.54亿,24.97%,6.74,5.8101,19.8015,1.1543,PB；PE,824.86亿,45.02亿,30.29%,320.26亿,0.12,,陕西投资集团有限公司
2024,353.544,44.6958,7.91,67.12,-2.64%,14.03亿,20.38%,6.45,5.2673,25.1911,1.2264,PB；PE,733.32亿,37.18亿,21.28%,290.15亿,0.09999999999999999,,陕西投资集团有限公司
2023,272.197,44.6958,6.09,68.94,29.87%,11.66亿,170.76%,6.25,3.9483,23.3512,0.9744,PB；PE,732.91亿,32.85亿,17.37%,281.23亿,0.049,,陕西投资集团有限公司
2022,258.342,44.6958,5.78,53.08,-21.37%,4.31亿,-69.47%,6.04,4.867,60.0208,0.957,PB；PE,724.69亿,27.13亿,8.63%,271.65亿,0.10700000000000001,,陕西投资集团有限公司
2021,336.559,44.6958,7.53,67.51,30.22%,14.10亿,26.23%,6.06,4.9853,23.8669,1.2426,PB；PE,674.57亿,29.20亿,21.11%,272.09亿,0.076,,陕西投资集团有限公司
2020,328.122,35.0184,9.37,51.84,40.85%,11.17亿,83.07%,5.82,6.3295,29.373,1.61,PB；PE,490.72亿,23.66亿,21.84%,261.08亿,0.063,,陕西投资集团有限公司
2019,314.815,35.0184,8.99,36.81,64.51%,6.10亿,204.42%,5.04,8.5524,51.6073,1.7837,PB；PE,356.87亿,18.03亿,16.74%,177.37亿,0.057999999999999996,,陕西投资集团有限公司
2018,244.779,35.0184,6.99,22.37,-29.42%,2.00亿,-73.36%,4.96,10.9423,116.5,1.4093,PB；PE,359.82亿,17.89亿,9.02%,174.30亿,0.06999999999999999,,陕西投资集团有限公司
2017,,,11.12,31.7,-6.94%,7.52亿,-33.11%,5.02,,48.2848,2.2151,PB；PE,310.28亿,19.23亿,23.80%,176.57亿,0.11000000000000001,,陕西投资集团有限公司
2016,,,16.2,34.06,-39.61%,11.25亿,-42.99%,4.44,,40.2685,3.6486,PB；PE,298.75亿,17.80亿,32.68%,124.76亿,0.22000000000000003,,陕西投资集团有限公司
2015,,,25.43,56.41,191.00%,19.73亿,197.15%,4.34,,35.3194,5.8594,PB；PE,290.94亿,15.99亿,34.89%,121.94亿,0.15,,陕西投资集团有限公司
2014,,,14.44,19.38,71.19%,6.64亿,141.27%,4.46,,26.2545,3.2377,PB；PE,106.35亿,11.24亿,34.07%,54.13亿,0.063,,陕西投资集团有限公司
2013,,,5.06,11.32,42.34%,2.75亿,131.41%,3.87,,22.0,1.3075,PB；PE,81.06亿,7.34亿,24.28%,46.46亿,0.06999999999999999,,陕西投资集团有限公司
2012,,,5.58,7.93,-23.22%,1.19亿,-46.74%,3.71,,55.8,1.504,PB；PE,83.45亿,6.30亿,14.97%,44.56亿,0.45,,陕西投资集团有限公司
2011,,,,10.33,-32.78%,2.23亿,-58.44%,3.18,,,,PB；PE,77.66亿,10.87亿,21.56%,31.78亿,,,陕西投资集团有限公司
2010,,,,15.36,-11.89%,5.37亿,-32.15%,3.11,,,,PB；PE,100.26亿,9.32亿,34.96%,31.24亿,,,陕西投资集团有限公司
