报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,229.264,63.8617,3.59,9.77,30.18%,2.57亿,28.28%,3.58,23.4661,89.75,1.0028,PB；PE,458.79亿,21.05亿,27.96%,237.34亿,,,广西投资集团有限公司
2026-03-31,229.264,63.8617,3.59,9.77,30.18%,2.57亿,28.28%,3.58,5.8665,89.75,1.0028,PB；PE,458.79亿,21.05亿,27.96%,237.34亿,,,广西投资集团有限公司
2025,270.774,63.8617,4.24,34.55,7.22%,7.69亿,79.57%,3.53,7.8372,35.3333,1.2011,PB；PE,414.47亿,18.55亿,24.60%,234.37亿,0.041999999999999996,,广西投资集团有限公司
2024,270.135,63.8617,4.23,32.22,0.69%,4.28亿,31.02%,3.46,8.3841,60.4286,1.2225,PB；PE,354.58亿,15.90亿,12.12%,229.28亿,0.046,,广西投资集团有限公司
2023,187.836,54.4453,3.45,41.88,15.81%,3.27亿,31.18%,3.44,4.4851,57.5,1.0029,PB；PE,391.64亿,16.04亿,10.03%,227.19亿,0.034999999999999996,,广西投资集团有限公司
2022,174.769,54.4453,3.21,36.17,-30.05%,2.49亿,-67.40%,3.42,4.8319,64.2,0.9386,PB；PE,476.45亿,15.88亿,10.42%,193.36亿,0.034999999999999996,,广西投资集团有限公司
2021,213.97,54.4453,3.93,51.7,15.36%,7.65亿,5.41%,3.41,4.1387,28.0714,1.1525,PB；PE,403.53亿,16.06亿,17.54%,192.19亿,0.12,,广西投资集团有限公司
2020,229.325,42.1554,5.44,44.82,25.89%,7.25亿,48.73%,3.39,5.1166,41.8462,1.6047,PB；PE,350.38亿,16.55亿,18.06%,190.35亿,0.034999999999999996,,广西投资集团有限公司
2019,189.278,42.1554,4.49,35.6,67.73%,4.88亿,566.80%,3.32,5.3168,40.8182,1.3524,PB；PE,228.88亿,13.43亿,15.28%,145.11亿,0.02,,广西投资集团有限公司
2018,153.867,42.1554,3.65,21.23,-20.17%,7314.28万,-80.53%,3.22,7.2476,182.5,1.1335,PB；PE,181.47亿,10.95亿,5.27%,140.42亿,0.06,,广西投资集团有限公司
2017,,,4.04,26.59,-30.73%,3.76亿,-63.00%,3.26,,44.8889,1.2393,PB；PE,239.59亿,12.99亿,16.21%,142.16亿,0.1,,广西投资集团有限公司
2016,,,5.64,38.38,-22.62%,10.16亿,-43.36%,3.26,,23.5,1.7301,PB；PE,212.77亿,14.48亿,27.77%,142.14亿,0.1,,广西投资集团有限公司
2015,,,6.87,49.59,94.86%,17.93亿,159.83%,4.72,,14.617,1.4555,PB；PE,273.44亿,16.79亿,37.12%,138.19亿,0.15,,广西投资集团有限公司
2014,,,9.22,25.45,39.93%,6.90亿,123.50%,2.92,,30.7333,3.1575,PB；PE,129.41亿,7.59亿,28.11%,71.62亿,0.06,,广西投资集团有限公司
2013,,,6.03,18.19,24.60%,3.09亿,131.52%,2.68,,40.2,2.25,PB；PE,71.63亿,4.08亿,18.85%,64.76亿,0.03,,广西投资集团有限公司
2012,,,5.7,14.6,14.89%,1.33亿,76.57%,1.53,,81.4286,3.7255,PB；PE,82.37亿,2.41亿,11.24%,30.08亿,0.15,,广西投资集团有限公司
2011,,,2.11,12.71,-32.95%,7552.87万,-83.46%,3.74,,42.2,0.5642,PB；PE,88.23亿,11.79亿,9.00%,29.32亿,,,广西投资集团有限公司
2010,,,,18.95,-17.31%,4.57亿,7300.38%,0.99,,,,PB；PE,90.56亿,11.60亿,-14.16%,27.91亿,,,广西投资集团有限公司
