报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,425.363,45.738,9.3,23.59,40.82%,7.51亿,35.20%,8.24,18.0315,54.7059,1.1286,PB；PE,1169.52亿,102.76亿,34.91%,484.04亿,0.06999999999999999,,浙江上三高速公路有限公司
2026-03-31,425.363,45.738,9.3,23.59,40.82%,7.51亿,35.20%,8.24,4.5079,54.7059,1.1286,PB；PE,1169.52亿,102.76亿,34.91%,484.04亿,0.06999999999999999,,浙江上三高速公路有限公司
2025,491.226,45.738,10.74,88.41,35.95%,24.12亿,24.87%,8.04,5.5562,20.2642,1.3358,PB；PE,1118.48亿,95.47亿,32.15%,473.29亿,0.15000000000000002,,浙江上三高速公路有限公司
2024,466.158,38.7819,12.02,65.03,-10.33%,19.32亿,10.17%,7.69,7.1684,24.5306,1.5631,PB；PE,778.87亿,85.07亿,12.69%,365.24亿,0.13999999999999999,,浙江上三高速公路有限公司
2023,390.533,38.7818,10.07,176.38,4.90%,17.54亿,6.01%,6.79,2.2142,21.8913,1.4831,PB；PE,813.62亿,78.66亿,10.34%,282.71亿,0.13,,浙江上三高速公路有限公司
2022,366.099,38.7817,9.44,168.14,2.41%,16.54亿,-24.66%,6.56,2.1773,21.9535,1.439,PB；PE,869.79亿,71.40亿,10.12%,273.09亿,0.16999999999999998,,浙江上三高速公路有限公司
2021,452.478,36.1404,12.52,164.18,54.36%,21.96亿,34.94%,6.15,2.756,21.5862,2.0358,PB；PE,800.75亿,66.86亿,13.37%,238.37亿,0.13,,浙江上三高速公路有限公司
2020,483.669,33.3335,14.51,106.37,87.94%,16.27亿,68.17%,5.35,4.547,30.8723,2.7121,PB；PE,525.64亿,55.85亿,15.30%,193.49亿,0.09,,浙江上三高速公路有限公司
2019,341.666,33.3333,10.25,56.59,53.17%,9.68亿,31.29%,4.32,6.0376,35.3448,2.3727,PB；PE,415.68亿,46.75亿,17.10%,148.56亿,0.06999999999999999,,浙江上三高速公路有限公司
2018,210.333,33.3333,6.31,36.95,-19.87%,7.37亿,-30.71%,4.1,5.6924,28.6818,1.539,PB；PE,304.12亿,42.60亿,19.95%,136.64亿,0.1,,浙江上三高速公路有限公司
2017,,,15.57,46.11,0.34%,10.64亿,-14.29%,4.05,,45.7941,3.8444,PB；PE,251.73亿,40.40亿,23.07%,135.14亿,,,浙江上三高速公路有限公司
2016,,,,45.95,-25.76%,12.41亿,-32.36%,3.19,,,,PB；PE,267.34亿,32.37亿,27.01%,95.65亿,,,浙江上三高速公路有限公司
2015,,,,61.89,91.79%,18.34亿,144.52%,2.82,,,,PB；PE,287.81亿,24.71亿,29.64%,84.49亿,,,浙江上三高速公路有限公司
2014,,,,32.27,68.53%,7.50亿,86.06%,2.19,,,,PB；PE,143.18亿,11.48亿,23.25%,65.56亿,,,浙江上三高速公路有限公司
2013,,,,19.15,54.40%,4.03亿,138.13%,1.92,,,,PB；PE,76.53亿,6.19亿,21.06%,57.54亿,,,浙江上三高速公路有限公司
2012,,,,12.4,-5.76%,1.69亿,-43.69%,1.78,,,,PB；PE,90.64亿,3.04亿,13.65%,53.47亿,,,浙江上三高速公路有限公司
2011,,,,13.16,-22.53%,3.01亿,-51.38%,1.78,,,,PB；PE,98.11亿,11.21亿,22.85%,51.76亿,,,浙江上三高速公路有限公司
2010,,,,16.99,-1.30%,6.19亿,0.27%,0.0,,,,PB；PE,110.80亿,9.93亿,36.42%,38.12亿,,,浙江上三高速公路有限公司
