报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,549.904,82.321,6.68,34.0,14.70%,14.86亿,24.35%,6.37,16.1736,37.1111,1.0487,PB；PE,1757.22亿,195.09亿,43.94%,529.93亿,0.01,,新方正控股发展有限责任公司
2026-03-31,549.904,82.321,6.68,34.0,14.70%,14.86亿,24.35%,6.37,4.0434,37.1111,1.0487,PB；PE,1757.22亿,195.09亿,43.94%,529.93亿,0.01,,新方正控股发展有限责任公司
2025,641.281,82.321,7.79,105.04,36.08%,39.70亿,79.85%,6.17,6.1051,16.2292,1.2626,PB；PE,1421.22亿,180.28亿,37.24%,513.61亿,0.12029999999999999,,新方正控股发展有限责任公司
2024,675.032,82.321,8.2,77.18,8.42%,22.07亿,2.55%,5.85,8.7462,30.3704,1.4017,PB；PE,1187.79亿,155.95亿,28.07%,489.78亿,0.07100000000000001,,新方正控股发展有限责任公司
2023,647.866,82.321,7.87,71.19,-8.46%,21.52亿,0.21%,5.5,9.1005,30.2692,1.4309,PB；PE,1081.08亿,143.21亿,31.58%,460.91亿,0.012,,新方正控股发展有限责任公司
2022,512.037,82.321,6.22,77.77,-9.79%,21.48亿,17.88%,5.23,6.584,23.9231,1.1893,PB；PE,832.64亿,125.15亿,28.32%,438.76亿,0.04,,新方正控股发展有限责任公司
2021,624.816,82.321,7.59,86.21,14.31%,18.22亿,66.19%,5.02,7.2476,34.5,1.512,PB；PE,742.55亿,108.88亿,21.72%,421.44亿,0.01,,新方正控股发展有限责任公司
2020,825.68,82.321,10.03,75.42,14.36%,10.96亿,8.82%,4.81,10.9478,77.1538,2.0852,PB；PE,563.35亿,93.72亿,15.89%,403.57亿,,,新方正控股发展有限责任公司
2019,690.673,82.321,8.39,65.95,15.24%,10.08亿,52.35%,4.68,10.4727,69.9167,1.7927,PB；PE,622.78亿,84.68亿,14.90%,394.80亿,0.026000000000000002,,新方正控股发展有限责任公司
2018,421.484,82.321,5.12,57.23,-4.01%,6.61亿,-54.48%,4.59,7.3647,64.0,1.1155,PB；PE,620.97亿,81.74亿,11.89%,386.66亿,0.01,,新方正控股发展有限责任公司
2017,,,6.63,59.62,-23.28%,14.53亿,-43.45%,4.55,,36.8333,1.4571,PB；PE,621.56亿,80.46亿,24.40%,381.96亿,,,新方正控股发展有限责任公司
2016,,,7.31,77.6,-28.91%,25.69亿,-36.78%,4.3,,23.5806,1.7,PB；PE,667.86亿,69.99亿,33.28%,361.97亿,0.09,,新方正控股发展有限责任公司
2015,,,9.13,109.15,122.77%,40.64亿,126.28%,4.25,,18.6327,2.1482,PB；PE,727.92亿,58.79亿,37.55%,355.25亿,,,新方正控股发展有限责任公司
2014,,,13.39,49.0,41.89%,17.96亿,61.49%,3.69,,51.5,3.6287,PB；PE,276.42亿,31.88亿,36.74%,308.05亿,,,新方正控股发展有限责任公司
2013,,,5.62,34.53,47.60%,11.12亿,97.82%,2.53,,30.8283,2.2213,PB；PE,144.99亿,18.90亿,31.94%,159.20亿,0.037,,新方正控股发展有限责任公司
2012,,,4.17,23.32,36.43%,5.62亿,118.83%,2.37,,45.2278,1.7595,PB；PE,137.50亿,13.42亿,23.99%,148.17亿,0.06999999999999999,,新方正控股发展有限责任公司
2011,,,3.89,17.09,-44.65%,2.57亿,-79.42%,2.33,,77.1825,1.6695,PB；PE,177.27亿,13.55亿,14.70%,145.77亿,,,新方正控股发展有限责任公司
2010,,,,30.88,-6.77%,12.48亿,-9.91%,1.95,,,,PB；PE,194.02亿,11.67亿,41.21%,89.64亿,,,新方正控股发展有限责任公司
