报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,1538.416,86.9653,17.69,69.73,47.96%,32.71亿,41.73%,14.3,22.0625,49.1389,1.2371,PB；PE,4164.41亿,461.61亿,46.91%,1413.62亿,,,招商局金融控股有限公司
2026-03-31,1538.416,86.9653,17.69,69.73,47.96%,32.71亿,41.73%,14.3,5.5156,49.1389,1.2371,PB；PE,4164.41亿,461.61亿,46.91%,1413.62亿,,,招商局金融控股有限公司
2025,1447.103,86.9653,16.64,249.72,19.53%,123.50亿,18.91%,13.91,5.7949,12.3259,1.1963,PB；PE,4034.55亿,429.61亿,49.33%,1380.47亿,0.496,,招商局金融控股有限公司
2024,1620.164,86.9653,18.63,208.91,5.40%,103.86亿,18.51%,13.24,7.7553,16.4867,1.4071,PB；PE,4097.86亿,383.45亿,49.73%,1302.52亿,0.353,,招商局金融控股有限公司
2023,1125.331,86.9653,12.94,198.21,3.13%,87.64亿,8.60%,12.3,5.6775,13.766,1.052,PB；PE,3887.60亿,334.94亿,44.24%,1220.37亿,0.185,,招商局金融控股有限公司
2022,1082.718,86.9653,12.45,192.19,-34.69%,80.70亿,-30.70%,11.52,5.6336,14.4767,1.0807,PB；PE,3551.53亿,287.79亿,42.04%,1152.42亿,0.54,,招商局金融控股有限公司
2021,1381.879,86.9653,15.89,294.29,21.22%,116.45亿,22.69%,11.21,4.6956,12.712,1.4175,PB；PE,3532.83亿,277.33亿,39.61%,1125.90亿,0.437,,招商局金融控股有限公司
2020,1372.039,66.9941,20.48,242.78,29.77%,94.92亿,30.34%,10.43,5.6514,19.3208,1.9636,PB；PE,2564.34亿,229.19亿,39.15%,1058.25亿,0.335,,招商局金融控股有限公司
2019,878.963,66.9941,13.12,187.08,65.24%,72.82亿,64.57%,10.46,4.6983,16.0,1.2543,PB；PE,2000.74亿,192.56亿,39.09%,851.28亿,0.264,,招商局金融控股有限公司
2018,633.094,66.9941,9.45,113.22,-15.21%,44.25亿,-23.52%,9.81,5.5917,17.5,0.9633,PB；PE,1475.59亿,171.53亿,39.27%,807.92亿,0.346,,招商局金融控股有限公司
2017,,,11.79,133.53,14.17%,57.86亿,7.08%,9.59,,15.207,1.2294,PB；PE,1257.27亿,169.94亿,43.47%,793.34亿,0.189,,招商局金融控股有限公司
2016,,,11.11,116.95,-53.76%,54.03亿,-50.47%,8.93,,12.2478,1.2441,PB；PE,1095.17亿,143.58亿,46.32%,599.15亿,0.401,,招商局金融控股有限公司
2015,,,14.39,252.92,129.87%,109.09亿,183.29%,8.32,,7.6616,1.7296,PB；PE,1444.45亿,126.64亿,43.21%,484.32亿,0.769,,招商局金融控股有限公司
2014,,,18.07,110.02,80.69%,38.51亿,72.51%,7.15,,25.0138,2.5273,PB；PE,909.89亿,92.68亿,35.31%,415.96亿,0.153,,招商局金融控股有限公司
2013,,,8.0,60.89,30.45%,22.32亿,35.61%,5.83,,16.7049,1.3722,PB；PE,407.63亿,74.29亿,36.72%,271.84亿,0.142,,招商局金融控股有限公司
2012,,,6.57,46.66,-10.71%,16.46亿,-18.04%,5.53,,18.6066,1.1881,PB；PE,527.53亿,64.73亿,35.28%,257.68亿,0.15,,招商局金融控股有限公司
2011,,,6.25,52.25,-19.45%,20.08亿,-37.80%,5.29,,14.5045,1.1815,PB；PE,462.11亿,60.27亿,38.44%,246.69亿,0.3,,招商局金融控股有限公司
2010,,,8.81,64.86,-25.27%,32.29亿,-13.38%,6.69,,12.7681,1.3169,PB；PE,591.08亿,56.47亿,49.78%,239.76亿,0.5,,招商局金融控股有限公司
