报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,1084.229,250.3994,4.33,59.28,11.72%,23.56亿,19.15%,4.58,18.29,48.1111,0.9454,PB；PE,4403.33亿,412.08亿,44.18%,1434.59亿,,,中国建银投资有限责任公司
2026-03-31,1084.229,250.3994,4.33,59.28,11.72%,23.56亿,19.15%,4.58,4.5725,48.1111,0.9454,PB；PE,4403.33亿,412.08亿,44.18%,1434.59亿,,,中国建银投资有限责任公司
2025,1319.605,250.3994,5.27,242.56,30.29%,95.07亿,82.46%,4.46,5.4403,13.8684,1.1816,PB；PE,4172.71亿,388.17亿,43.40%,1401.77亿,0.08099999999999999,,中国建银投资有限责任公司
2024,1319.605,250.3994,5.27,186.17,15.04%,52.11亿,13.12%,4.18,7.0882,25.0952,1.2608,PB；PE,4036.61亿,337.41亿,25.27%,1333.49亿,0.07300000000000001,,中国建银投资有限责任公司
2023,1079.221,250.3994,4.31,215.01,4.32%,46.06亿,65.16%,4.0,5.0194,23.9444,1.0775,PB；PE,3474.28亿,322.05亿,25.47%,1287.94亿,0.03,,中国建银投资有限责任公司
2022,961.534,250.3994,3.84,206.1,-39.93%,27.89亿,-70.32%,3.8,4.6654,34.9091,1.0105,PB；PE,3922.38亿,301.49亿,15.23%,1166.80亿,0.1,,中国建银投资有限责任公司
2021,1204.421,250.3994,4.81,343.07,16.66%,93.98亿,21.02%,3.8,3.5107,12.6579,1.2658,PB；PE,3811.57亿,313.58亿,27.79%,1070.55亿,0.1,,中国建银投资有限责任公司
2020,1214.437,250.3994,4.85,294.09,19.58%,77.66亿,35.41%,3.53,4.1295,15.6452,1.3739,PB；PE,2633.62亿,271.84亿,26.78%,900.91亿,0.08,,中国建银投资有限责任公司
2019,1045.668,225.3594,4.64,245.93,60.98%,57.35亿,37.86%,3.32,4.2519,19.3333,1.3976,PB；PE,2027.72亿,234.64亿,23.60%,848.31亿,0.05,,中国建银投资有限责任公司
2018,732.066,200.5661,3.65,152.77,14.29%,41.60亿,-9.55%,3.08,4.7919,19.2105,1.1851,PB；PE,1677.66亿,201.42亿,27.80%,711.96亿,0.05,,中国建银投资有限责任公司
2017,,,4.76,133.68,-9.15%,46.00亿,-14.96%,2.75,,20.6957,1.7309,PB；PE,1237.01亿,181.73亿,35.35%,570.06亿,0.1,,中国建银投资有限责任公司
2016,,,5.45,147.14,-51.68%,54.09亿,-55.50%,2.61,,20.1852,2.0881,PB；PE,1330.67亿,166.53亿,37.56%,540.73亿,0.15,,中国建银投资有限责任公司
2015,,,6.8,304.63,115.24%,121.54亿,159.60%,3.38,,11.1475,2.0118,PB；PE,1981.89亿,202.44亿,40.80%,518.66亿,,,中国建银投资有限责任公司
2014,,,,141.53,44.37%,46.82亿,148.56%,3.21,,,,PB；PE,968.68亿,106.43亿,40.48%,395.96亿,,,中国建银投资有限责任公司
2013,,,,59.96,23.79%,18.84亿,33.80%,2.24,,,,PB；PE,356.41亿,68.51亿,32.07%,193.80亿,,,中国建银投资有限责任公司
2012,,,,48.25,-2.13%,14.08亿,-15.77%,0.0,,,,PB；PE,419.95亿,62.02亿,29.64%,181.35亿,,,中国建银投资有限责任公司
2011,,,,49.3,-29.97%,16.71亿,-42.89%,0.0,,,,PB；PE,429.25亿,51.98亿,35.05%,167.72亿,,,中国建银投资有限责任公司
2010,,,,70.4,-12.93%,29.27亿,-26.26%,0.0,,,,PB；PE,555.21亿,46.85亿,43.47%,160.69亿,,,中国建银投资有限责任公司
