报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,785.09,84.9665,9.24,40.9,5.29%,15.87亿,10.55%,9.63,19.1954,48.6316,0.9595,PB；PE,2436.66亿,122.13亿,38.80%,848.26亿,,,申能(集团)有限公司
2026-03-31,785.09,84.9665,9.24,40.9,5.29%,15.87亿,10.55%,9.63,4.7988,48.6316,0.9595,PB；PE,2436.66亿,122.13亿,38.80%,848.26亿,,,申能(集团)有限公司
2025,926.135,84.9665,10.9,153.58,26.18%,56.34亿,68.16%,9.38,6.0303,16.7692,1.162,PB；PE,2221.14亿,105.73亿,36.68%,826.89亿,0.22,,申能(集团)有限公司
2024,878.554,84.9665,10.34,121.72,12.29%,33.50亿,21.66%,8.99,7.2178,27.9459,1.1502,PB；PE,1932.82亿,81.51亿,17.46%,814.00亿,0.22499999999999998,,申能(集团)有限公司
2023,705.222,84.9665,8.3,170.9,-8.75%,27.54亿,-8.53%,8.68,4.1265,27.6667,0.9562,PB；PE,2011.63亿,87.57亿,16.13%,787.60亿,0.15,,申能(集团)有限公司
2022,587.467,69.9366,8.4,187.29,-23.15%,30.11亿,-43.95%,8.52,3.1367,24.0,0.9859,PB；PE,2056.26亿,88.38亿,16.07%,773.98亿,0.25,,申能(集团)有限公司
2021,924.562,69.9366,13.22,243.7,5.34%,53.71亿,97.26%,8.45,3.7939,18.3611,1.5645,PB；PE,1811.40亿,91.30亿,22.05%,641.43亿,0.25,,申能(集团)有限公司
2020,711.255,69.9366,10.17,231.34,21.42%,27.23亿,11.82%,7.89,3.0745,26.7632,1.289,PB；PE,1383.41亿,74.95亿,11.77%,602.31亿,0.15,,申能(集团)有限公司
2019,647.613,69.9366,9.26,190.52,84.91%,24.35亿,97.81%,7.72,3.3992,26.4571,1.1995,PB；PE,1158.42亿,67.74亿,13.01%,540.12亿,0.1,,申能(集团)有限公司
2018,474.87,69.9366,6.79,103.03,-2.17%,12.31亿,-65.36%,7.4,4.609,37.7222,0.9176,PB；PE,888.00亿,65.43亿,12.43%,522.72亿,0.2,,申能(集团)有限公司
2017,,,11.55,105.32,53.16%,35.54亿,53.57%,7.58,,20.2632,1.5237,PB；PE,903.75亿,84.75亿,34.21%,535.01亿,0.15,,申能(集团)有限公司
2016,,,12.82,68.76,-55.45%,23.14亿,-68.41%,6.51,,31.2683,1.9693,PB；PE,674.98亿,71.12亿,35.29%,409.38亿,0.35,,申能(集团)有限公司
2015,,,18.84,154.35,180.65%,73.25亿,212.82%,6.62,,12.9041,2.8459,PB；PE,872.14亿,74.49亿,47.78%,353.76亿,0.25,,申能(集团)有限公司
2014,,,,55.0,69.53%,23.42亿,132.44%,4.35,,,,PB；PE,310.77亿,43.83亿,42.89%,186.25亿,,,申能(集团)有限公司
2013,,,,32.44,36.23%,10.07亿,65.29%,3.68,,,,PB；PE,161.02亿,33.34亿,30.28%,157.78亿,,,申能(集团)有限公司
2012,,,,23.81,-7.46%,6.09亿,-32.92%,3.5,,,,PB；PE,130.29亿,31.27亿,24.81%,149.98亿,,,申能(集团)有限公司
2011,,,,25.73,-16.74%,9.09亿,-30.92%,3.36,,,,PB；PE,135.60亿,31.63亿,35.31%,144.06亿,,,申能(集团)有限公司
2010,,,,30.9,-18.92%,13.15亿,-31.30%,0.0,,,,PB；PE,207.15亿,28.29亿,42.56%,102.15亿,,,申能(集团)有限公司
