报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,384.853,27.3333,14.08,5.65,30.80%,1.97亿,30.19%,5.18,68.1156,201.1429,2.7181,PB；PE,313.98亿,18.83亿,34.76%,161.62亿,,,北京首都创业集团有限公司
2026-03-31,384.853,27.3333,14.08,5.65,30.80%,1.97亿,30.19%,5.18,17.0289,201.1429,2.7181,PB；PE,313.98亿,18.83亿,34.76%,161.62亿,,,北京首都创业集团有限公司
2025,513.593,27.3333,18.79,25.28,4.58%,10.56亿,7.26%,5.03,20.3162,48.1795,3.7356,PB；PE,271.65亿,16.28亿,41.77%,137.71亿,0.195,,北京首都创业集团有限公司
2024,595.319,27.3333,21.78,24.18,25.49%,9.85亿,40.49%,4.84,24.6203,60.5,4.5,PB；PE,264.75亿,14.76亿,40.75%,132.45亿,0.15500000000000003,,北京首都创业集团有限公司
2023,455.646,27.3333,16.67,19.27,21.33%,7.01亿,26.33%,4.52,23.6454,64.1154,3.6881,PB；PE,245.49亿,12.34亿,36.39%,123.62亿,0.185,,北京首都创业集团有限公司
2022,464.119,27.3333,16.98,15.88,-24.87%,5.55亿,-35.37%,4.43,29.2266,73.8261,3.833,PB；PE,228.22亿,12.54亿,34.86%,121.11亿,,,北京首都创业集团有限公司
2021,,,,21.13,27.47%,8.59亿,40.61%,3.95,,,,PB；PE,186.44亿,9.00亿,40.63%,97.30亿,,,北京首都创业集团有限公司
2020,,,,16.58,23.77%,6.11亿,40.70%,3.63,,,,PB；PE,138.81亿,3.59亿,36.88%,89.48亿,,,北京首都创业集团有限公司
2019,,,,13.4,64.32%,4.34亿,148.24%,6.89,,,,PB；PE,110.37亿,26.41亿,32.39%,44.94亿,,,北京首都创业集团有限公司
2018,,,,8.15,-12.39%,1.75亿,-44.58%,6.3,,,,PB；PE,76.17亿,24.01亿,21.46%,41.07亿,,,北京首都创业集团有限公司
2017,,,,9.31,-15.56%,3.15亿,-25.40%,0.0,,,,PB；PE,73.33亿,22.55亿,33.89%,39.14亿,,,北京首都创业集团有限公司
2016,,,,11.02,-32.56%,4.23亿,-40.99%,0.0,,,,PB；PE,85.80亿,20.29亿,38.85%,36.85亿,,,北京首都创业集团有限公司
2015,,,,16.33,109.63%,7.17亿,162.21%,0.0,,,,PB；PE,106.34亿,17.30亿,43.87%,33.85亿,,,北京首都创业集团有限公司
2014,,,,7.79,78.53%,2.73亿,87.92%,0.0,,,,PB；PE,51.60亿,12.33亿,35.07%,25.51亿,,,北京首都创业集团有限公司
2013,,,,4.36,22.57%,1.45亿,43.14%,0.0,,,,PB；PE,23.18亿,10.41亿,33.32%,21.32亿,,,北京首都创业集团有限公司
2012,,,,3.56,-57.25%,1.02亿,-29.50%,0.0,,,,PB；PE,24.01亿,9.41亿,28.53%,20.17亿,,,北京首都创业集团有限公司
2011,,,,8.33,-21.76%,1.44亿,-45.27%,0.0,,,,PB；PE,44.67亿,9.77亿,28.85%,22.62亿,,,北京首都创业集团有限公司
2010,,,,10.65,-5.57%,2.63亿,-15.93%,0.0,,,,PB；PE,48.55亿,8.75亿,37.05%,21.23亿,,,北京首都创业集团有限公司
