报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,265.14,66.4511,3.99,7.91,28.91%,3.10亿,26.39%,4.0,33.5196,79.8,0.9975,PB；PE,557.65亿,37.37亿,39.22%,266.01亿,,,重庆渝富资本运营集团有限公司
2026-03-31,265.14,66.4511,3.99,7.91,28.91%,3.10亿,26.39%,4.0,8.3799,79.8,0.9975,PB；PE,557.65亿,37.37亿,39.22%,266.01亿,,,重庆渝富资本运营集团有限公司
2025,297.701,66.4511,4.48,32.07,25.35%,10.62亿,51.90%,3.95,9.2829,28.0,1.1342,PB；PE,580.86亿,34.20亿,33.12%,262.49亿,0.085,,重庆渝富资本运营集团有限公司
2024,305.011,66.4511,4.59,25.59,10.17%,6.99亿,16.13%,3.88,11.9191,41.7273,1.183,PB；PE,445.53亿,31.39亿,27.26%,258.11亿,0.05499999999999999,,重庆渝富资本运营集团有限公司
2023,263.146,66.4511,3.96,23.29,30.33%,6.02亿,94.63%,3.82,11.2987,44.0,1.0366,PB；PE,476.72亿,30.59亿,25.70%,254.02亿,0.03,,重庆渝富资本运营集团有限公司
2022,239.888,66.4511,3.61,17.87,-42.29%,3.09亿,-70.20%,3.75,13.4241,72.2,0.9627,PB；PE,459.63亿,28.52亿,17.11%,249.36亿,0.08,,重庆渝富资本运营集团有限公司
2021,331.591,66.4511,4.99,30.96,-2.32%,10.38亿,-4.89%,3.82,10.7103,31.1875,1.3063,PB；PE,457.45亿,32.93亿,33.12%,252.83亿,0.1,,重庆渝富资本运营集团有限公司
2020,279.997,56.4511,4.96,31.7,-9.15%,10.91亿,4.75%,3.78,8.8327,27.5556,1.3122,PB；PE,440.64亿,31.88亿,33.37%,250.79亿,0.08,,重庆渝富资本运营集团有限公司
2019,265.32,56.4511,4.7,34.89,27.14%,10.42亿,359.35%,3.47,7.6045,26.1111,1.3545,PB；PE,310.92亿,27.71亿,27.65%,195.58亿,0.03,,重庆渝富资本运营集团有限公司
2018,176.692,56.4511,3.13,27.44,-10.34%,2.27亿,-66.08%,3.29,6.4392,78.25,0.9514,PB；PE,376.25亿,25.18亿,7.84%,189.77亿,0.05,,重庆渝富资本运营集团有限公司
2017,,,4.11,30.61,-15.72%,6.69亿,-27.11%,3.43,,34.25,1.1983,PB；PE,357.65亿,26.13亿,22.57%,200.49亿,0.1,,重庆渝富资本运营集团有限公司
2016,,,6.22,36.32,-57.26%,9.18亿,-74.19%,3.37,,38.875,1.8457,PB；PE,396.62亿,27.60亿,25.13%,196.68亿,0.13,,重庆渝富资本运营集团有限公司
2015,,,8.49,84.97,131.22%,35.55亿,165.46%,3.37,,13.4762,2.5193,PB；PE,385.82亿,28.73亿,41.72%,195.90亿,0.3,,重庆渝富资本运营集团有限公司
2014,,,9.42,36.75,87.10%,13.39亿,112.44%,5.93,,39.25,1.5885,PB；PE,263.45亿,11.30亿,36.65%,172.20亿,0.12,,重庆渝富资本运营集团有限公司
2013,,,4.14,19.64,54.90%,6.30亿,84.09%,4.66,,15.3333,0.8884,PB；PE,181.29亿,5.51亿,32.40%,109.24亿,0.1,,重庆渝富资本运营集团有限公司
2012,,,3.68,12.68,21.89%,3.42亿,30.35%,4.48,,24.5333,0.8214,PB；PE,111.20亿,2.99亿,27.00%,104.05亿,,,重庆渝富资本运营集团有限公司
2011,,,3.56,10.4,-46.28%,2.63亿,-67.38%,4.26,,32.3636,0.8357,PB；PE,119.23亿,5853.68万,25.25%,98.99亿,0.55,,重庆渝富资本运营集团有限公司
2010,,,4.55,19.36,-5.67%,8.05亿,-20.04%,4.79,,11.6667,0.9499,PB；PE,132.58亿,11.52亿,41.59%,111.23亿,,,重庆渝富资本运营集团有限公司
