报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,226.826,32.45,6.99,7.35,51.06%,2.53亿,114.53%,3.86,30.8607,87.375,1.8109,PB；PE,421.08亿,16.60亿,34.50%,125.15亿,,,唐山钢铁集团有限责任公司
2026-03-31,226.826,32.45,6.99,7.35,51.06%,2.53亿,114.53%,3.86,7.7152,87.375,1.8109,PB；PE,421.08亿,16.60亿,34.50%,125.15亿,,,唐山钢铁集团有限责任公司
2025,216.442,32.45,6.67,27.0,10.74%,7.47亿,8.82%,3.78,8.0164,29.0,1.7646,PB；PE,392.39亿,14.05亿,27.68%,122.64亿,0.13,,唐山钢铁集团有限责任公司
2024,226.501,32.45,6.98,24.38,5.48%,6.87亿,13.32%,3.68,9.2904,33.2381,1.8967,PB；PE,386.99亿,13.00亿,28.10%,119.45亿,0.1,,唐山钢铁集团有限责任公司
2023,234.938,32.45,7.24,23.17,40.96%,6.06亿,100.10%,3.57,10.1397,38.1053,2.028,PB；PE,343.46亿,11.42亿,26.16%,115.86亿,0.05,,唐山钢铁集团有限责任公司
2022,235.912,32.45,7.27,16.44,-34.89%,3.03亿,-55.51%,3.43,14.3499,80.7778,2.1195,PB；PE,315.37亿,8.75亿,18.40%,111.42亿,0.1,,唐山钢铁集团有限责任公司
2021,392.97,32.45,12.11,25.24,23.15%,6.80亿,27.93%,3.44,15.5693,55.0455,3.5203,PB；PE,311.57亿,9.90亿,26.96%,111.64亿,0.08,,唐山钢铁集团有限责任公司
2020,,,,20.5,13.04%,5.32亿,-12.68%,3.25,,,,PB；PE,255.16亿,7.73亿,25.95%,89.28亿,,,唐山钢铁集团有限责任公司
2019,,,,18.13,24.14%,6.09亿,727.32%,3.16,,,,PB；PE,229.17亿,6.73亿,33.60%,86.71亿,,,唐山钢铁集团有限责任公司
2018,,,,14.61,-0.60%,7363.24万,-75.19%,3.08,,,,PB；PE,196.68亿,7.52亿,5.04%,84.63亿,,,唐山钢铁集团有限责任公司
2017,,,,14.69,-19.55%,2.97亿,-54.79%,3.21,,,,PB；PE,151.90亿,11.11亿,20.21%,88.20亿,,,唐山钢铁集团有限责任公司
2016,,,,18.27,-53.18%,6.57亿,-67.89%,3.11,,,,PB；PE,178.64亿,9.11亿,35.95%,85.50亿,,,唐山钢铁集团有限责任公司
2015,,,,39.01,98.41%,20.45亿,154.38%,0.0,,,,PB；PE,202.69亿,4.33亿,52.54%,78.78亿,,,唐山钢铁集团有限责任公司
2014,,,,19.66,85.20%,8.04亿,247.05%,0.0,,,,PB；PE,137.91亿,6.29亿,40.89%,70.59亿,,,唐山钢铁集团有限责任公司
2013,,,,10.61,23.54%,2.32亿,70.64%,0.0,,,,PB；PE,71.61亿,1.77亿,21.79%,47.38亿,,,唐山钢铁集团有限责任公司
2012,,,,8.59,-20.55%,1.36亿,-59.99%,0.0,,,,PB；PE,93.53亿,5.85亿,15.78%,30.87亿,,,唐山钢铁集团有限责任公司
2011,,,,10.81,-32.90%,3.39亿,-52.42%,0.0,,,,PB；PE,87.70亿,6.05亿,31.34%,30.65亿,,,唐山钢铁集团有限责任公司
2010,,,,16.12,-23.18%,7.13亿,-34.17%,0.0,,,,PB；PE,101.64亿,6.51亿,44.28%,30.64亿,,,唐山钢铁集团有限责任公司
