报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,181.642,35.8977,5.06,7.82,3.95%,2.55亿,2.20%,5.22,23.2279,72.2857,0.9693,PB；PE,685.10亿,24.65亿,32.99%,190.30亿,,,山西金融投资控股集团有限公司
2026-03-31,181.642,35.8977,5.06,7.82,3.95%,2.55亿,2.20%,5.22,5.807,72.2857,0.9693,PB；PE,685.10亿,24.65亿,32.99%,190.30亿,,,山西金融投资控股集团有限公司
2025,215.027,35.8977,5.99,33.51,11.80%,9.24亿,29.86%,5.16,6.4168,23.0385,1.1609,PB；PE,610.77亿,22.10亿,26.53%,187.84亿,0.1,,山西金融投资控股集团有限公司
2024,221.848,35.8977,6.18,29.97,-9.18%,7.12亿,14.86%,5.01,7.4023,30.9,1.2335,PB；PE,614.09亿,19.36亿,21.91%,182.93亿,0.14,,山西金融投资控股集团有限公司
2023,185.232,35.8977,5.16,34.71,-16.58%,6.20亿,7.88%,4.94,5.3366,30.3529,1.0445,PB；PE,591.42亿,19.18亿,17.06%,181.53亿,0.08,,山西金融投资控股集团有限公司
2022,179.847,35.8977,5.01,41.61,4.17%,5.74亿,-28.51%,4.85,4.3222,31.3125,1.033,PB；PE,584.29亿,17.53亿,13.63%,178.43亿,0.12,,山西金融投资控股集团有限公司
2021,218.976,35.8977,6.1,39.94,19.51%,8.04亿,7.02%,4.8,5.4826,27.7273,1.2708,PB；PE,529.70亿,17.93亿,20.33%,177.06亿,0.11000000000000001,,山西金融投资控股集团有限公司
2020,230.259,28.2873,8.14,33.42,-34.50%,7.51亿,47.19%,5.27,6.8899,35.3913,1.5446,PB；PE,397.43亿,15.57亿,22.81%,174.51亿,0.1,,山西金融投资控股集团有限公司
2019,199.708,28.2873,7.06,51.02,-25.53%,5.10亿,130.06%,4.47,3.9143,39.2222,1.5794,PB；PE,379.82亿,13.83亿,10.19%,132.16亿,0.05,,山西金融投资控股集团有限公司
2018,141.719,28.2873,5.01,68.51,55.96%,2.22亿,-45.77%,4.4,2.0686,62.625,1.1386,PB；PE,349.22亿,12.89亿,3.20%,129.97亿,0.09,,山西金融投资控股集团有限公司
2017,,,7.71,43.93,87.28%,4.09亿,-12.57%,4.42,,55.0714,1.7443,PB；PE,294.71亿,14.16亿,10.07%,132.64亿,0.09,,山西金融投资控股集团有限公司
2016,,,9.95,23.46,-38.89%,4.68亿,-67.50%,4.34,,58.5294,2.2926,PB；PE,246.60亿,14.10亿,22.49%,130.30亿,0.2,,山西金融投资控股集团有限公司
2015,,,12.47,38.39,95.92%,14.39亿,145.41%,5.0,,21.8772,2.494,PB；PE,214.56亿,16.47亿,38.59%,132.21亿,0.05,,山西金融投资控股集团有限公司
2014,,,13.04,19.59,48.29%,5.86亿,123.99%,2.91,,56.6957,4.4811,PB；PE,101.93亿,7.55亿,29.93%,78.79亿,0.077,,山西金融投资控股集团有限公司
2013,,,5.56,13.21,25.57%,2.62亿,84.60%,2.74,,50.5455,2.0292,PB；PE,80.78亿,5.32亿,18.68%,73.26亿,0.05,,山西金融投资控股集团有限公司
2012,,,5.86,10.48,-4.56%,1.42亿,-26.55%,2.52,,97.6667,2.3254,PB；PE,93.95亿,4.83亿,13.68%,63.81亿,0.05,,山西金融投资控股集团有限公司
2011,,,5.14,10.98,-26.59%,1.93亿,-55.98%,2.48,,64.25,2.0726,PB；PE,102.34亿,5.02亿,17.64%,62.97亿,0.15,,山西金融投资控股集团有限公司
2010,,,9.5,14.96,-1.06%,4.39亿,-29.12%,2.58,,43.1818,3.6822,PB；PE,141.99亿,7.28亿,29.35%,65.33亿,,,山西金融投资控股集团有限公司
