报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,375.57,27.0,13.91,3.74,15.19%,9376.06万,-9.00%,2.72,100.4198,400.8646,5.114,PB；PE,150.95亿,24.14亿,25.08%,73.52亿,,20%: 最新年度净利润同比下降,深圳市立业集团有限公司
2026-03-31,375.57,27.0,13.91,3.74,15.19%,9376.06万,-9.00%,2.72,25.1049,400.8646,5.114,PB；PE,150.95亿,24.14亿,25.08%,73.52亿,,,深圳市立业集团有限公司
2025,413.91,27.0,15.33,16.98,18.34%,5.06亿,43.35%,2.69,24.3763,80.6842,5.6989,PB；PE,137.20亿,23.20亿,29.82%,72.58亿,0.04,,深圳市立业集团有限公司
2024,412.83,27.0,15.29,14.35,41.35%,3.53亿,1014.54%,2.47,28.7686,117.6154,6.1903,PB；PE,123.54亿,20.06亿,24.61%,66.60亿,0.004,,深圳市立业集团有限公司
2023,406.35,27.0,15.05,10.15,-27.38%,3168.61万,-93.18%,2.35,40.0345,1505.0,6.4043,PB；PE,107.35亿,17.80亿,3.12%,63.45亿,0.052000000000000005,,深圳市立业集团有限公司
2022,353.43,27.0,13.09,13.98,0.17%,4.65亿,-3.94%,2.36,25.2811,77.0,5.5466,PB；PE,108.71亿,18.96亿,33.25%,63.68亿,0.054000000000000006,,深圳市立业集团有限公司
2021,364.77,27.0,13.51,13.95,-6.34%,4.84亿,-40.46%,2.32,26.1484,75.0556,5.8233,PB；PE,101.75亿,16.77亿,34.67%,62.64亿,0.091,,深圳市立业集团有限公司
2020,399.33,27.0,14.79,14.9,47.42%,8.12亿,83.96%,2.23,26.8007,49.3,6.6323,PB；PE,95.28亿,15.48亿,54.54%,60.20亿,0.05,,深圳市立业集团有限公司
2019,394.47,27.0,14.61,10.11,0.98%,4.42亿,28.14%,1.98,39.0178,91.3125,7.3788,PB；PE,117.82亿,10.86亿,43.66%,53.38亿,0.039,,深圳市立业集团有限公司
2018,,,,10.01,-6.22%,3.45亿,-25.58%,1.68,,,,PB；PE,61.45亿,8.74亿,34.34%,40.86亿,,,深圳市立业集团有限公司
2017,,,,10.67,-19.05%,4.63亿,-21.38%,1.53,,,,PB；PE,81.04亿,6.32亿,43.30%,37.42亿,,,深圳市立业集团有限公司
2016,,,,13.18,-21.00%,5.89亿,-27.80%,1.39,,,,PB；PE,69.95亿,4.20亿,44.69%,33.87亿,,,深圳市立业集团有限公司
2015,,,,16.69,136.28%,8.16亿,333.82%,1.35,,,,PB；PE,76.58亿,1.95亿,48.90%,28.04亿,,,深圳市立业集团有限公司
2014,,,,7.06,9.73%,1.88亿,144.09%,1.33,,,,PB；PE,42.31亿,1.32亿,26.63%,16.79亿,,,深圳市立业集团有限公司
2013,,,,6.44,1.35%,7705.99万,53.84%,1.45,,,,PB；PE,31.48亿,1.39亿,11.97%,11.68亿,,,深圳市立业集团有限公司
2012,,,,6.35,14.65%,5009.15万,153.77%,0.0,,,,PB；PE,35.76亿,9215.12万,7.89%,11.01亿,,,深圳市立业集团有限公司
2011,,,,5.54,-19.95%,1973.93万,-81.13%,0.0,,,,PB；PE,33.60亿,5708.71万,3.56%,10.51亿,,,深圳市立业集团有限公司
2010,,,,6.92,-20.47%,1.05亿,-55.83%,0.0,,,,PB；PE,48.27亿,2.93亿,15.12%,12.80亿,,,深圳市立业集团有限公司
