报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,40.228,1.9681,20.44,37.89,14.74%,9187.42万,59.00%,11.94,1.0617,43.7875,1.7119,PE；PB,4.59亿,17.30亿,2.51%,24.68亿,0.22999999999999998,,霍尔果斯泰永康达创业投资有限公司
2026-03-31,40.228,1.9681,20.44,37.89,14.74%,9187.42万,59.00%,11.94,0.2654,43.7875,1.7119,PE；PB,4.59亿,17.30亿,2.51%,24.68亿,0.22999999999999998,,霍尔果斯泰永康达创业投资有限公司
2025,49.852,1.9681,25.33,145.4,23.35%,3.14亿,52.68%,11.56,0.3429,15.8998,2.1912,PE；PB,6.25亿,16.38亿,2.46%,23.87亿,0.16,,霍尔果斯泰永康达创业投资有限公司
2024,41.232,1.9681,20.95,117.88,20.55%,2.05亿,2.42%,10.02,0.3498,20.0786,2.0908,PE；PB,5.76亿,13.58亿,1.74%,20.55亿,0.08,,霍尔果斯泰永康达创业投资有限公司
2023,53.777,1.9684,27.32,97.78,7.55%,2.01亿,-31.05%,9.12,0.55,26.7948,2.9956,PE；PB,8.00亿,11.80亿,2.28%,18.52亿,0.11699999999999999,,霍尔果斯泰永康达创业投资有限公司
2022,95.118,1.9689,48.31,90.92,29.69%,2.91亿,15.15%,11.5,1.0462,32.5188,4.2009,PE；PB,11.23亿,10.19亿,4.03%,24.51亿,0.207,,霍尔果斯泰永康达创业投资有限公司
2021,111.636,1.8286,61.05,70.1,78.29%,2.53亿,35.55%,10.42,1.5925,45.1086,5.8589,PE；PB,10.77亿,7.92亿,4.21%,22.14亿,0.095,,霍尔果斯泰永康达创业投资有限公司
2020,96.632,1.8229,53.01,39.32,9.65%,1.86亿,22.38%,5.68,2.4576,51.2174,9.3327,PE；PB,4.86亿,5.71亿,5.28%,11.83亿,0.16699999999999998,,霍尔果斯泰永康达创业投资有限公司
2019,55.872,1.8,31.04,35.86,63.24%,1.52亿,29.38%,4.73,1.5581,36.699,6.5624,PE；PB,3.93亿,4.22亿,4.99%,9.89亿,0.131,,霍尔果斯泰永康达创业投资有限公司
2018,46.566,1.8,25.87,21.97,93.54%,1.18亿,58.30%,4.04,2.1195,39.5747,6.4035,PE；PB,3.34亿,3.04亿,6.24%,8.32亿,0.08299999999999999,,霍尔果斯泰永康达创业投资有限公司
2017,,,24.0,11.35,30.75%,7433.87万,20.78%,2.17,,51.0638,11.0599,PE；PB,5.10亿,2.07亿,7.53%,6.50亿,,,霍尔果斯泰永康达创业投资有限公司
2016,,,,8.68,18.54%,6154.89万,-6.51%,2.17,,,,PE；PB,1.91亿,1.36亿,7.32%,3.07亿,,,霍尔果斯泰永康达创业投资有限公司
2015,,,,7.32,16.93%,6583.17万,30.29%,1.86,,,,PE；PB,1.98亿,9595.42万,9.24%,2.60亿,,,霍尔果斯泰永康达创业投资有限公司
2014,,,,6.26,25.53%,5052.87万,69.04%,2.48,,,,PE；PB,1.41亿,5776.22万,8.15%,1.89亿,,,霍尔果斯泰永康达创业投资有限公司
2013,,,,4.99,7.84%,2989.08万,-4.12%,55.85,,,,PE；PB,5427.16万,8162.42万,5.97%,1.37亿,,,霍尔果斯泰永康达创业投资有限公司
2012,,,,4.63,False,3117.53万,False,44.9,,,,PE；PB,5803.59万,6457.30万,6.76%,1.10亿,,,霍尔果斯泰永康达创业投资有限公司
