报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,139.884,7.1772,19.49,11.1491,9.41,-8.27%,3.51亿,-1.92%,7.20,435.19亿,22.48亿,37.41%,44.05亿
2024,72.171,6.1007,11.83,5.3302,13.54,-8.56%,4.58亿,13.96%,6.75,362.04亿,19.47亿,8.02%,41.25亿
2023,72.293,6.1007,11.85,1.1572,62.47,-8.45%,4.02亿,63.32%,6.07,243.20亿,15.42亿,6.45%,37.13亿
2022,54.601,6.1007,8.95,0.8002,68.23,-35.11%,2.46亿,1.01%,5.44,206.78亿,12.07亿,3.60%,33.25亿
2021,81.078,6.1007,13.29,0.7711,105.15,6.05%,2.44亿,158.67%,4.98,181.63亿,10.17亿,2.31%,30.55亿
2020,104.342,5.8,17.99,1.0524,99.15,3.96%,9417.34万,18.47%,4.24,130.83亿,8.26亿,0.93%,24.76亿
2019,152.598,5.8,26.31,1.5999,95.38,107.91%,7949.32万,-35.84%,4.19,80.06亿,7.84亿,0.83%,24.41亿
2018,,,,,45.87,125.14%,1.24亿,-30.67%,4.02,67.44亿,7.19亿,2.69%,20.65亿
2017,,,,,20.42,162.69%,1.79亿,16.19%,3.73,74.54亿,6.10亿,8.69%,19.18亿
2016,,,,,7.77,-12.52%,1.54亿,85.77%,3.45,103.74亿,4.59亿,19.66%,17.72亿
2015,,,,,8.89,-18.76%,8278.85万,-22.88%,3.11,87.02亿,3.44亿,9.13%,16.09亿
2014,,,,,10.94,42.57%,1.07亿,-18.54%,2.77,60.25亿,2.73亿,9.82%,14.13亿
2013,,,,,7.67,56.34%,1.32亿,14.06%,2.55,42.56亿,1.84亿,17.18%,13.02亿
2012,,,,,4.91,False,1.16亿,False,2.31,36.41亿,7030.24万,23.55%,11.77亿
