报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,173.364,51.1397,3.39,6.0168,21.61,7.18%,9.96亿,6.60%,3.63,54.19亿,46.09%,185.77亿
2024,174.386,51.1397,3.41,5.9558,29.28,4.08%,13.61亿,25.73%,3.50,48.89亿,46.49%,178.88亿
2023,144.214,51.1397,2.82,5.1267,28.13,46.05%,10.82亿,29.18%,3.34,43.14亿,38.48%,170.89亿
2022,142.168,51.1397,2.78,7.3815,19.26,0.91%,8.38亿,14.44%,3.17,35.69亿,43.51%,162.18亿
2021,116.542,39.6401,2.94,6.1049,19.09,-10.22%,7.32亿,6.79%,3.09,30.43亿,38.37%,122.52亿
2020,134.776,39.6401,3.4,6.3394,21.26,21.08%,6.86亿,17.91%,2.98,25.66亿,32.26%,117.95亿
2019,156.975,39.6401,3.96,8.9394,17.56,70.89%,5.82亿,82.03%,2.77,21.02亿,33.12%,109.77亿
2018,94.343,39.6401,2.38,9.1863,10.27,-10.71%,3.19亿,-9.30%,2.63,19.27亿,31.10%,104.15亿
2017,,,3.63,,11.51,13.52%,3.52亿,-31.64%,2.57,17.18亿,30.61%,79.31亿
2016,,,6.37,,10.14,-11.94%,5.15亿,13.50%,2.50,14.94亿,50.83%,77.28亿
2015,,,6.43,,11.51,37.76%,4.54亿,29.47%,4.95,11.33亿,39.44%,76.54亿
2014,,,5.33,,8.35,0.32%,3.51亿,12.00%,3.14,8.28亿,41.97%,38.14亿
2013,,,3.36,,8.33,44.50%,3.13亿,20.12%,2.89,5.73亿,37.59%,35.09亿
2012,,,2.61,,5.76,89.31%,2.61亿,68.85%,5.64,3.90亿,45.22%,32.63亿
2011,,,2.03,,3.04,38.27%,1.54亿,89.35%,2.37,2.43亿,50.70%,8.50亿
2010,,,1.97,,2.2,-7.46%,8151.70万,86.75%,2.07,1.20亿,37.02%,7.43亿
