报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,106.825,10.0778,10.6,17.3417,4.62,-76.77%,208.97万,-87.27%,1.85,80.73亿,7879.65万,0.45%,18.67亿
2024,97.049,10.0778,9.63,26.8091,3.62,47.99%,2982.62万,282.80%,1.86,74.90亿,8678.46万,1.04%,18.77亿
2023,112.468,10.0778,11.16,5.7884,19.43,27.20%,779.15万,-37.07%,1.83,52.76亿,6593.54万,0.40%,18.47亿
2022,136.05,10.0778,13.5,8.9038,15.28,-6.84%,1238.19万,-84.56%,1.82,69.08亿,6053.74万,0.81%,18.37亿
2021,,,,,16.4,5.03%,8021.15万,20.94%,1.85,49.84亿,8563.38万,4.89%,16.82亿
2020,,,,,15.61,141.98%,6632.25万,211.87%,1.82,39.09亿,6750.40万,4.25%,16.47亿
2019,,,,,6.45,4.72%,2126.64万,-73.59%,1.76,29.61亿,2613.69万,3.30%,15.99亿
2018,,,,,6.16,17.78%,8051.41万,-12.80%,1.82,30.44亿,7958.78万,13.07%,16.47亿
2017,,,,,5.23,59.83%,9233.21万,33.45%,1.81,40.65亿,8978.91万,17.65%,16.42亿
2016,,,,,3.27,4.63%,6918.88万,11.47%,1.77,33.87亿,6980.13万,21.14%,16.09亿
2015,,,,,3.13,7.65%,6207.15万,24.08%,1.74,42.02亿,6162.97万,19.84%,15.78亿
2014,,,,,2.91,False,5002.69万,False,1.71,23.48亿,4442.07万,17.21%,11.65亿
