报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,3161.244,96.2034,32.86,925.47,-1.25%,100.41亿,4.30%,33.22,3.4158,31.5962,0.9892,PB；PE,8065.98亿,1999.06亿,11.20%,3521.54亿,,20%: 最新年度营业收入下滑,香港中央结算(代理人)有限公司
2026-03-31,3161.244,96.2034,32.86,925.47,-1.25%,100.41亿,4.30%,33.22,0.854,31.5962,0.9892,PB；PE,8065.98亿,1999.06亿,11.20%,3521.54亿,,,香港中央结算(代理人)有限公司
2025,4031.884,96.2034,41.91,4351.56,7.69%,535.05亿,19.01%,31.41,0.9265,7.5378,1.3343,PB；PE,7776.57亿,1894.47亿,12.73%,3342.24亿,1.08,,香港中央结算(代理人)有限公司
2024,3184.333,96.2034,33.1,4040.89,24.74%,449.60亿,64.95%,30.29,0.788,7.0878,1.0928,PB；PE,6965.56亿,1518.90亿,11.49%,3184.81亿,1.02,,香港中央结算(代理人)有限公司
2023,2142.45,96.2034,22.27,3239.45,-2.47%,272.57亿,-27.08%,25.94,0.6614,7.8693,0.8585,PB；PE,6130.57亿,1214.48亿,8.62%,2677.04亿,1.02,,香港中央结算(代理人)有限公司
2022,2125.133,96.2034,22.09,3321.4,3.34%,373.81亿,39.30%,23.75,0.6398,5.6787,0.9301,PB；PE,596.94亿,925.88亿,5.54%,2016.72亿,1.0,,香港中央结算(代理人)有限公司
2021,2248.273,96.2034,23.37,4406.43,4.37%,268.34亿,9.15%,23.57,0.5102,8.3763,0.9915,PB；PE,448.98亿,931.69亿,6.27%,2324.05亿,1.3,,香港中央结算(代理人)有限公司
2020,2869.029,90.62,31.66,4221.82,9.52%,245.84亿,-11.38%,22.37,0.6796,12.038,1.4153,PB；PE,333.51亿,815.33亿,6.01%,2208.35亿,1.2,,香港中央结算(代理人)有限公司
2019,2713.163,90.62,29.94,3854.89,8.78%,277.41亿,53.95%,19.69,0.7038,9.7843,1.5206,PB；PE,198.03亿,706.02亿,7.36%,1833.20亿,1.0,,香港中央结算(代理人)有限公司
2018,1985.484,90.62,21.91,3543.63,10.80%,180.19亿,22.90%,16.51,0.5603,11.0101,1.3271,PB；PE,271.58亿,546.10亿,5.20%,1540.48亿,0.8,,香港中央结算(代理人)有限公司
2017,,,31.15,3198.09,19.76%,146.62亿,21.61%,15.17,,19.2284,2.0534,PB；PE,278.47亿,457.22亿,4.69%,1411.19亿,0.7,,香港中央结算(代理人)有限公司
2016,,,20.48,2670.37,8.01%,120.57亿,-31.99%,14.54,,15.3985,1.4085,PB；PE,424.47亿,387.72亿,4.60%,1347.63亿,1.0,,香港中央结算(代理人)有限公司
2015,,,20.49,2472.02,12.48%,177.28亿,60.45%,14.71,,10.4541,1.3929,PB；PE,317.15亿,377.28亿,7.30%,1356.82亿,0.5,,香港中央结算(代理人)有限公司
2014,,,22.54,2197.78,13.79%,110.49亿,19.31%,12.93,,18.4754,1.7432,PB；PE,289.84亿,266.94亿,5.12%,1191.95亿,0.4,,香港中央结算(代理人)有限公司
2013,,,12.64,1931.37,12.65%,92.61亿,82.41%,10.92,,12.3922,1.1575,PB；PE,214.87亿,207.50亿,4.86%,1003.86亿,0.35,,香港中央结算(代理人)有限公司
2012,,,15.02,1714.51,8.56%,50.77亿,-38.93%,10.61,,25.4576,1.4156,PB；PE,255.89亿,195.96亿,2.99%,975.69亿,0.35,,香港中央结算(代理人)有限公司
2011,,,12.62,1579.34,11.49%,83.13亿,-2.85%,8.93,,13.0103,1.4132,PB；PE,178.10亿,179.93亿,5.31%,780.55亿,0.35,,香港中央结算(代理人)有限公司
2010,,,14.79,1416.62,35.80%,85.57亿,16.33%,9.34,,14.79,1.5835,PB；PE,185.64亿,132.21亿,6.12%,815.51亿,0.3,,香港中央结算(代理人)有限公司
