报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,10121.589,282.647,35.81,932.91,-15.33%,195.05亿,-32.28%,21.17,10.8495,51.8986,1.6915,PB；PE,2.15万亿,5038.11亿,21.52%,6119.87亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,中国人寿保险(集团)公司
2026-03-31,10121.589,282.647,35.81,932.91,-15.33%,195.05亿,-32.28%,21.17,2.7124,51.8986,1.6915,PB；PE,2.15万亿,5038.11亿,21.52%,6119.87亿,,,中国人寿保险(集团)公司
2025,12860.438,282.647,45.5,6156.78,16.48%,1540.78亿,44.09%,21.06,2.0888,8.3486,2.1605,PB；PE,2.21万亿,4856.03亿,25.43%,6083.93亿,0.688,,中国人寿保险(集团)公司
2024,11650.709,282.647,41.22,5285.67,30.50%,1069.35亿,108.92%,18.03,2.2042,10.9048,2.2862,PB；PE,1.99万亿,3623.77亿,20.61%,5212.48亿,0.63,,中国人寿保险(集团)公司
2023,7736.048,282.647,27.37,4050.4,1.43%,511.84亿,59.54%,16.28,1.9099,15.1215,1.6812,PB；PE,4075.74亿,2684.40亿,2.70%,3377.16亿,0.49000000000000005,,中国人寿保险(集团)公司
2022,9983.092,282.647,35.32,8260.55,-3.78%,320.82亿,-36.80%,15.43,1.2085,30.9825,2.289,PB；PE,3527.35亿,2016.88亿,4.06%,4451.21亿,0.65,,中国人寿保险(集团)公司
2021,7914.116,282.647,28.0,8585.08,4.06%,507.66亿,1.01%,16.93,0.9218,15.5556,1.6539,PB；PE,2676.58亿,2010.41亿,6.11%,4871.34亿,0.64,,中国人寿保险(集团)公司
2020,9889.819,282.647,34.99,8250.49,10.71%,502.57亿,-13.78%,15.92,1.1987,19.7684,2.1979,PB；PE,2191.97亿,1838.56亿,6.23%,4569.37亿,0.73,,中国人寿保险(集团)公司
2019,8818.586,282.647,31.2,7451.65,15.87%,582.87亿,411.51%,14.01,1.1834,15.2195,2.227,PB；PE,1966.88亿,1704.87亿,7.92%,4093.42亿,0.16,,中国人寿保险(集团)公司
2018,5124.39,282.647,18.13,6431.01,-1.55%,113.95亿,-64.67%,10.99,0.7968,46.4872,1.6497,PB；PE,1913.02亿,1330.22亿,1.86%,3232.90亿,0.4,,中国人寿保险(集团)公司
2017,,,26.64,6531.95,18.81%,322.53亿,68.63%,11.35,,23.5752,2.3471,PB；PE,1869.97亿,1392.02亿,5.01%,3253.10亿,0.24,,中国人寿保险(集团)公司
2016,,,20.89,5498.02,7.51%,191.27亿,-44.88%,10.74,,31.6515,1.9451,PB；PE,2764.44亿,1225.58亿,3.56%,3076.48亿,0.42000000000000004,,中国人寿保险(集团)公司
2015,,,24.05,5113.67,14.71%,346.99亿,7.72%,11.41,,19.7131,2.1078,PB；PE,2142.47亿,1230.55亿,6.88%,3262.14亿,0.4,,中国人寿保险(集团)公司
2014,,,28.7,4457.73,5.23%,322.11亿,30.07%,10.05,,25.1754,2.8557,PB；PE,1001.73亿,1099.37亿,7.29%,2873.31亿,0.3,,中国人寿保险(集团)公司
2013,,,12.44,4236.13,4.50%,247.65亿,123.89%,7.8,,14.1364,1.5949,PB；PE,555.65亿,950.37亿,5.90%,2225.85亿,0.13999999999999999,,中国人寿保险(集团)公司
2012,,,17.44,4053.79,5.19%,110.61亿,-39.66%,7.82,,44.7179,2.2302,PB；PE,1034.52亿,803.92亿,2.78%,2231.01亿,0.22999999999999998,,中国人寿保险(集团)公司
2011,,,14.17,3853.88,-0.88%,183.31亿,-45.49%,6.78,,21.8,2.09,PB；PE,796.11亿,798.94亿,4.80%,1933.88亿,0.4,,中国人寿保险(集团)公司
2010,,,16.74,3887.91,13.67%,336.26亿,2.27%,7.38,,14.0672,2.2683,PB；PE,575.32亿,799.33亿,8.70%,2104.75亿,0.7,,中国人寿保险(集团)公司
