报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,3104.524,442.2399,7.02,1485.36,-5.14%,88.14亿,-31.40%,7.2,2.0901,35.1,0.975,PB；PE,4451.42亿,2299.59亿,8.10%,4342.19亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,中华人民共和国财政部
2026-03-31,3104.524,442.2399,7.02,1485.36,-5.14%,88.14亿,-31.40%,7.2,0.5225,35.1,0.975,PB；PE,4451.42亿,2299.59亿,8.10%,4342.19亿,,,中华人民共和国财政部
2025,3958.047,442.2399,8.95,6690.44,7.57%,466.46亿,8.81%,7.0,0.5916,8.5238,1.2786,PB；PE,4357.01亿,2189.83亿,9.42%,4201.89亿,0.255,,中华人民共和国财政部
2024,3263.73,442.2399,7.38,6219.72,12.45%,428.69亿,88.24%,6.1,0.5247,7.6082,1.2098,PB；PE,3438.92亿,1869.46亿,9.30%,3672.26亿,0.156,,中华人民共和国财政部
2023,2016.614,442.2399,4.56,5530.97,4.43%,227.73亿,-10.23%,5.5,0.3646,8.9412,0.8291,PB；PE,4048.90亿,1536.03亿,5.69%,3316.69亿,0.16599999999999998,,中华人民共和国财政部
2022,2118.329,442.2399,4.79,5296.33,3.88%,253.69亿,17.24%,5.01,0.4,8.4035,0.9561,PB；PE,605.28亿,1441.79亿,5.53%,3030.04亿,0.147,,中华人民共和国财政部
2021,1848.563,442.2399,4.18,5976.91,2.40%,216.38亿,7.82%,4.96,0.3093,8.5306,0.8427,PB；PE,798.57亿,1183.85亿,5.12%,2967.05亿,0.137,,中华人民共和国财政部
2020,2516.345,442.2399,5.69,5836.96,5.07%,200.69亿,-10.41%,4.57,0.4311,12.6444,1.2451,PB；PE,575.37亿,1050.73亿,4.84%,2731.36亿,0.152,,中华人民共和国财政部
2019,2848.025,442.2399,6.44,5555.15,10.27%,224.01亿,66.55%,4.14,0.5127,12.6275,1.5556,PB；PE,510.96亿,939.39亿,5.71%,2468.39亿,0.045700000000000005,,中华人民共和国财政部
2018,2007.769,442.2399,4.54,5037.99,3.21%,134.50亿,-19.20%,3.45,0.3985,14.1875,1.3159,PB；PE,592.32亿,770.92亿,3.87%,2054.26亿,,,中华人民共和国财政部
2017,,,,4881.41,9.78%,166.46亿,16.13%,3.23,,,,PB；PE,534.22亿,669.97亿,4.87%,1859.59亿,,,中华人民共和国财政部
2016,,,,4446.72,10.41%,143.34亿,-25.25%,2.96,,,,PB；PE,750.67亿,639.49亿,4.68%,1701.52亿,,,中华人民共和国财政部
2015,,,,4027.36,15.52%,191.76亿,49.60%,2.72,,,,PB；PE,635.64亿,521.75亿,6.74%,1562.28亿,,,中华人民共和国财政部
2014,,,,3486.29,16.85%,128.18亿,6.32%,2.18,,,,PB；PE,513.20亿,362.62亿,5.24%,1251.42亿,,,中华人民共和国财政部
2013,,,,2983.61,18.82%,120.56亿,18.84%,0.0,,,,PB；PE,587.99亿,256.45亿,4.04%,948.01亿,,,中华人民共和国财政部
2012,,,,2511.07,11.31%,101.44亿,28.44%,0.0,,,,PB；PE,813.73亿,185.68亿,4.04%,833.41亿,,,中华人民共和国财政部
2011,,,,2255.88,False,78.98亿,False,0.0,,,,PB；PE,603.93亿,124.79亿,3.50%,479.34亿,,,中华人民共和国财政部
